EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 115588) of ITALY, PADOVA (STAID: 380)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   380,115588,19910101,-9999,    9
   380,115588,19910102,-9999,    9
   380,115588,19910103,-9999,    9
   380,115588,19910104,-9999,    9
   380,115588,19910105,-9999,    9
   380,115588,19910106,-9999,    9
   380,115588,19910107,-9999,    9
   380,115588,19910108,-9999,    9
   380,115588,19910109,-9999,    9
   380,115588,19910110,-9999,    9
   380,115588,19910111,-9999,    9
   380,115588,19910112,-9999,    9
   380,115588,19910113,-9999,    9
   380,115588,19910114,-9999,    9
   380,115588,19910115,-9999,    9
   380,115588,19910116,-9999,    9
   380,115588,19910117,-9999,    9
   380,115588,19910118,-9999,    9
   380,115588,19910119,-9999,    9
   380,115588,19910120,-9999,    9
   380,115588,19910121,-9999,    9
   380,115588,19910122,-9999,    9
   380,115588,19910123,-9999,    9
   380,115588,19910124,-9999,    9
   380,115588,19910125,-9999,    9
   380,115588,19910126,-9999,    9
   380,115588,19910127,-9999,    9
   380,115588,19910128,-9999,    9
   380,115588,19910129,-9999,    9
   380,115588,19910130,-9999,    9
   380,115588,19910131,-9999,    9
   380,115588,19910201,-9999,    9
   380,115588,19910202,-9999,    9
   380,115588,19910203,-9999,    9
   380,115588,19910204,-9999,    9
   380,115588,19910205,-9999,    9
   380,115588,19910206,-9999,    9
   380,115588,19910207,-9999,    9
   380,115588,19910208,-9999,    9
   380,115588,19910209,-9999,    9
   380,115588,19910210,-9999,    9
