EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PADOVA (STAID: 380).
Blended and updated with sources: 115587 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
115587,19970101,    5,    0
115587,19970102,   15,    0
115587,19970103,   40,    0
115587,19970104,   60,    0
115587,19970105,   70,    0
115587,19970106,   70,    0
115587,19970107,   35,    0
115587,19970108,   45,    0
115587,19970109,   60,    0
115587,19970110,   35,    0
115587,19970111,   50,    0
115587,19970112,   55,    0
115587,19970113,   55,    0
115587,19970114,   50,    0
115587,19970115,   55,    0
115587,19970116,   60,    0
115587,19970117,   55,    0
115587,19970118,   55,    0
115587,19970119,   45,    0
115587,19970120,   50,    0
115587,19970121,   50,    0
115587,19970122,   60,    0
115587,19970123,   65,    0
115587,19970124,   75,    0
115587,19970125,   80,    0
115587,19970126,   80,    0
115587,19970127,   40,    0
115587,19970128,   45,    0
115587,19970129,   40,    0
115587,19970130,   45,    0
115587,19970131,   40,    0
115587,19970201,   15,    0
115587,19970202,   40,    0
115587,19970203,   35,    0
115587,19970204,   25,    0
115587,19970205,   10,    0
115587,19970206,-9999,    9
115587,19970207,   40,    0
115587,19970208,   60,    0
115587,19970209,   55,    0
115587,19970210,   50,    0
115587,19970211,   35,    0
115587,19970212,   45,    0
115587,19970213,   70,    0
115587,19970214,   65,    0
115587,19970215,   55,    0
115587,19970216,   75,    0
115587,19970217,   75,    0
115587,19970218,   50,    0
115587,19970219,   40,    0
115587,19970220,   80,    0
115587,19970221,   65,    0
115587,19970222,   75,    0
115587,19970223,   70,    0
115587,19970224,   45,    0
115587,19970225,   60,    0
115587,19970226,   85,    0
115587,19970227,   90,    0
115587,19970228,   95,    0
115587,19970301,   90,    0
115587,19970302,   90,    0
115587,19970303,  115,    0
115587,19970304,  120,    0
115587,19970305,  130,    0
115587,19970306,  120,    0
115587,19970307,  100,    0
115587,19970308,  110,    0
115587,19970309,  135,    0
115587,19970310,  120,    0
115587,19970311,-9999,    9
115587,19970312,-9999,    9
115587,19970313,-9999,    9
115587,19970314,  120,    0
115587,19970315,  140,    0
115587,19970316,  135,    0
115587,19970317,  140,    0
115587,19970318,  140,    0
115587,19970319,  120,    0
115587,19970320,  110,    0
115587,19970321,  120,    0
115587,19970322,  100,    0
115587,19970323,  105,    0
115587,19970324,   95,    0
115587,19970325,   65,    0
115587,19970326,  100,    0
115587,19970327,  110,    0
115587,19970328,-9999,    9
115587,19970329,-9999,    9
115587,19970330,-9999,    9
115587,19970331,   95,    0
115587,19970401,  125,    0
115587,19970402,  140,    0
115587,19970403,  155,    0
115587,19970404,  165,    0
115587,19970405,-9999,    9
115587,19970406,-9999,    9
115587,19970407,  130,    0
