EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BEDONIA (STAID: 854).
Blended and updated with sources: 194264 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194264,20051201,-9999,    9
194264,20051202,-9999,    9
194264,20051203,-9999,    9
194264,20051204,-9999,    9
194264,20051205,-9999,    9
194264,20051206,-9999,    9
194264,20051207,-9999,    9
194264,20051208,-9999,    9
194264,20051209,-9999,    9
194264,20051210,-9999,    9
194264,20051211,-9999,    9
194264,20051212,-9999,    9
194264,20051213,-9999,    9
194264,20051214,-9999,    9
194264,20051215,-9999,    9
194264,20051216,-9999,    9
194264,20051217,-9999,    9
194264,20051218,-9999,    9
194264,20051219,-9999,    9
194264,20051220,-9999,    9
194264,20051221,-9999,    9
194264,20051222,-9999,    9
194264,20051223,-9999,    9
194264,20051224,-9999,    9
194264,20051225,-9999,    9
194264,20051226,-9999,    9
194264,20051227,-9999,    9
194264,20051228,-9999,    9
194264,20051229,-9999,    9
194264,20051230,-9999,    9
194264,20051231,  -11,    0
194264,20060101,  -15,    0
194264,20060102,   -8,    0
194264,20060103,    8,    0
194264,20060104,   17,    0
194264,20060105,   10,    0
194264,20060106,    2,    0
194264,20060107,   -4,    0
194264,20060108,  -10,    0
194264,20060109,   -9,    0
194264,20060110,  -36,    0
194264,20060111,  -28,    0
194264,20060112,  -25,    0
194264,20060113,  -32,    0
194264,20060114,  -40,    0
194264,20060115,  -49,    0
194264,20060116,  -17,    0
194264,20060117,    9,    0
194264,20060118,   42,    0
194264,20060119,    1,    0
194264,20060120,   23,    0
194264,20060121,   49,    0
194264,20060122,    9,    0
194264,20060123,  -21,    0
194264,20060124,  -21,    0
194264,20060125,  -32,    0
194264,20060126,  -45,    0
194264,20060127,  -36,    0
194264,20060128,   -3,    0
194264,20060129,   12,    0
194264,20060130,   27,    0
194264,20060131,   25,    0
194264,20060201,   17,    0
194264,20060202,   29,    0
194264,20060203,   24,    0
194264,20060204,   20,    0
194264,20060205,   -8,    0
194264,20060206,  -38,    0
194264,20060207,  -19,    0
194264,20060208,   23,    0
194264,20060209,   16,    0
194264,20060210,  -13,    0
194264,20060211,  -16,    0
194264,20060212,  -17,    0
194264,20060213,  -10,    0
194264,20060214,    2,    0
194264,20060215,   50,    0
194264,20060216,   73,    0
194264,20060217,   76,    0
194264,20060218,   66,    0
194264,20060219,   66,    0
194264,20060220,   55,    0
194264,20060221,   29,    0
194264,20060222,   34,    0
194264,20060223,   43,    0
194264,20060224,   21,    0
194264,20060225,   14,    0
194264,20060226,   31,    0
194264,20060227,   23,    0
194264,20060228,    8,    0
194264,20060301,    5,    0
194264,20060302,    3,    0
194264,20060303,   68,    0
194264,20060304,   92,    0
194264,20060305,   84,    0
194264,20060306,   29,    0
194264,20060307,    9,    0
194264,20060308,   14,    0
194264,20060309,   70,    0
194264,20060310,   64,    0
194264,20060311,   13,    0
194264,20060312,    4,    0
194264,20060313,   21,    0
194264,20060314,   20,    0
194264,20060315,   26,    0
194264,20060316,   22,    0
194264,20060317,   26,    0
194264,20060318,   37,    0
194264,20060319,   52,    0
194264,20060320,   63,    0
194264,20060321,   61,    0
194264,20060322,   60,    0
194264,20060323,   61,    0
194264,20060324,   63,    0
194264,20060325,   76,    0
194264,20060326,   83,    0
194264,20060327,  108,    0
194264,20060328,  100,    0
194264,20060329,   88,    0
194264,20060330,   79,    0
194264,20060331,  104,    0
194264,20060401,  112,    0
194264,20060402,   89,    0
194264,20060403,  106,    0
194264,20060404,   85,    0
194264,20060405,   88,    0
194264,20060406,   61,    0
194264,20060407,   60,    0
194264,20060408,   66,    0
194264,20060409,  102,    0
194264,20060410,   96,    0
194264,20060411,   45,    0
194264,20060412,   56,    0
194264,20060413,   80,    0
194264,20060414,  103,    0
194264,20060415,  112,    0
194264,20060416,  119,    0
194264,20060417,  112,    0
194264,20060418,  110,    0
194264,20060419,  119,    0
194264,20060420,   94,    0
194264,20060421,   93,    0
194264,20060422,  114,    0
194264,20060423,  119,    0
194264,20060424,  134,    0
194264,20060425,  137,    0
194264,20060426,  123,    0
194264,20060427,  128,    0
194264,20060428,  130,    0
194264,20060429,  123,    0
194264,20060430,  107,    0
194264,20060501,  122,    0
194264,20060502,  122,    0
194264,20060503,  129,    0
194264,20060504,  129,    0
194264,20060505,  130,    0
194264,20060506,  131,    0
194264,20060507,  120,    0
194264,20060508,  134,    0
194264,20060509,   98,    0
194264,20060510,  116,    0
194264,20060511,  119,    0
194264,20060512,  128,    0
194264,20060513,  132,    0
194264,20060514,  154,    0
194264,20060515,  149,    0
194264,20060516,  152,    0
194264,20060517,  153,    0
194264,20060518,  173,    0
194264,20060519,  171,    0
194264,20060520,  158,    0
194264,20060521,  160,    0
194264,20060522,  169,    0
194264,20060523,  166,    0
194264,20060524,  139,    0
194264,20060525,  144,    0
194264,20060526,  154,    0
194264,20060527,  176,    0
194264,20060528,  177,    0
194264,20060529,  168,    0
194264,20060530,  123,    0
194264,20060531,   81,    0
194264,20060601,  126,    0
194264,20060602,   99,    0
194264,20060603,  132,    0
194264,20060604,  130,    0
194264,20060605,  135,    0
194264,20060606,  130,    0
194264,20060607,  136,    0
194264,20060608,  137,    0
194264,20060609,  139,    0
194264,20060610,  155,    0
194264,20060611,  150,    0
194264,20060612,  151,    0
194264,20060613,  168,    0
194264,20060614,  177,    0
194264,20060615,  178,    0
194264,20060616,  175,    0
194264,20060617,  188,    0
194264,20060618,  190,    0
194264,20060619,  199,    0
194264,20060620,  223,    0
194264,20060621,  208,    0
194264,20060622,  217,    0
194264,20060623,  221,    0
194264,20060624,  220,    0
194264,20060625,  222,    0
194264,20060626,  218,    0
194264,20060627,  215,    0
194264,20060628,  228,    0
194264,20060629,  221,    0
194264,20060630,  221,    0
194264,20060701,  226,    0
194264,20060702,  223,    0
194264,20060703,  223,    0
194264,20060704,  224,    0
194264,20060705,  224,    0
194264,20060706,  193,    0
