EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BOBBIO (STAID: 855).
Blended and updated with sources: 194344 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194344,20051201,-9999,    9
194344,20051202,-9999,    9
194344,20051203,-9999,    9
194344,20051204,-9999,    9
194344,20051205,-9999,    9
194344,20051206,-9999,    9
194344,20051207,-9999,    9
194344,20051208,-9999,    9
194344,20051209,-9999,    9
194344,20051210,-9999,    9
194344,20051211,-9999,    9
194344,20051212,-9999,    9
194344,20051213,-9999,    9
194344,20051214,-9999,    9
194344,20051215,-9999,    9
194344,20051216,-9999,    9
194344,20051217,-9999,    9
194344,20051218,-9999,    9
194344,20051219,-9999,    9
194344,20051220,-9999,    9
194344,20051221,-9999,    9
194344,20051222,-9999,    9
194344,20051223,-9999,    9
194344,20051224,-9999,    9
194344,20051225,-9999,    9
194344,20051226,-9999,    9
194344,20051227,-9999,    9
194344,20051228,-9999,    9
194344,20051229,-9999,    9
194344,20051230,-9999,    9
194344,20051231,  -13,    0
194344,20060101,  -11,    0
194344,20060102,   11,    0
194344,20060103,    7,    0
194344,20060104,   -8,    0
194344,20060105,    5,    0
194344,20060106,   10,    0
194344,20060107,    6,    0
194344,20060108,   -6,    0
194344,20060109,  -10,    0
194344,20060110,  -18,    0
194344,20060111,   -1,    0
194344,20060112,   -7,    0
194344,20060113,  -24,    0
194344,20060114,  -21,    0
194344,20060115,  -40,    0
194344,20060116,  -11,    0
194344,20060117,   -5,    0
194344,20060118,   14,    0
194344,20060119,    9,    0
194344,20060120,   11,    0
194344,20060121,   21,    0
194344,20060122,   17,    0
194344,20060123,  -10,    0
194344,20060124,  -38,    0
194344,20060125,  -45,    0
194344,20060126,  -36,    0
194344,20060127,  -25,    0
194344,20060128,    0,    0
194344,20060129,   12,    0
194344,20060130,   16,    0
194344,20060131,   32,    0
194344,20060201,   37,    0
194344,20060202,   48,    0
194344,20060203,   45,    0
194344,20060204,   28,    0
194344,20060205,   -1,    0
194344,20060206,  -25,    0
194344,20060207,  -18,    0
194344,20060208,    0,    0
194344,20060209,   34,    0
194344,20060210,   19,    0
194344,20060211,   12,    0
194344,20060212,    8,    0
194344,20060213,   12,    0
194344,20060214,   17,    0
194344,20060215,   18,    0
194344,20060216,   22,    0
194344,20060217,   83,    0
194344,20060218,   75,    0
194344,20060219,   31,    0
194344,20060220,   47,    0
194344,20060221,   49,    0
194344,20060222,   52,    0
194344,20060223,   54,    0
194344,20060224,   22,    0
194344,20060225,   26,    0
194344,20060226,   37,    0
194344,20060227,   31,    0
194344,20060228,   17,    0
194344,20060301,   14,    0
194344,20060302,   20,    0
194344,20060303,   40,    0
194344,20060304,  124,    0
194344,20060305,  103,    0
194344,20060306,   48,    0
194344,20060307,   37,    0
194344,20060308,   37,    0
194344,20060309,   69,    0
194344,20060310,   90,    0
194344,20060311,   53,    0
194344,20060312,   25,    0
194344,20060313,   22,    0
194344,20060314,   44,    0
194344,20060315,   45,    0
194344,20060316,   34,    0
194344,20060317,   41,    0
194344,20060318,   49,    0
194344,20060319,   68,    0
194344,20060320,   73,    0
194344,20060321,   64,    0
194344,20060322,   78,    0
194344,20060323,   90,    0
194344,20060324,   76,    0
194344,20060325,   86,    0
194344,20060326,  116,    0
194344,20060327,  127,    0
194344,20060328,  137,    0
194344,20060329,  138,    0
194344,20060330,  123,    0
194344,20060331,  148,    0
194344,20060401,  122,    0
194344,20060402,  130,    0
194344,20060403,  138,    0
194344,20060404,   98,    0
194344,20060405,  100,    0
194344,20060406,   70,    0
194344,20060407,   73,    0
194344,20060408,   92,    0
194344,20060409,   99,    0
194344,20060410,  107,    0
194344,20060411,   67,    0
194344,20060412,   85,    0
194344,20060413,  120,    0
194344,20060414,  149,    0
194344,20060415,  140,    0
194344,20060416,  152,    0
194344,20060417,  122,    0
194344,20060418,  111,    0
194344,20060419,  123,    0
194344,20060420,  124,    0
