EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BOSCO CENTRALE (STAID: 856).
Blended and updated with sources: 194448 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194448,20051201,-9999,    9
194448,20051202,-9999,    9
194448,20051203,-9999,    9
194448,20051204,-9999,    9
194448,20051205,-9999,    9
194448,20051206,-9999,    9
194448,20051207,-9999,    9
194448,20051208,-9999,    9
194448,20051209,-9999,    9
194448,20051210,-9999,    9
194448,20051211,-9999,    9
194448,20051212,-9999,    9
194448,20051213,-9999,    9
194448,20051214,-9999,    9
194448,20051215,-9999,    9
194448,20051216,-9999,    9
194448,20051217,-9999,    9
194448,20051218,-9999,    9
194448,20051219,-9999,    9
194448,20051220,-9999,    9
194448,20051221,-9999,    9
194448,20051222,-9999,    9
194448,20051223,-9999,    9
194448,20051224,-9999,    9
194448,20051225,-9999,    9
194448,20051226,-9999,    9
194448,20051227,-9999,    9
194448,20051228,-9999,    9
194448,20051229,-9999,    9
194448,20051230,-9999,    9
194448,20051231,  -27,    0
194448,20060101,   -6,    0
194448,20060102,    4,    0
194448,20060103,   14,    0
194448,20060104,    2,    0
194448,20060105,  -18,    0
194448,20060106,  -12,    0
194448,20060107,    1,    0
194448,20060108,   -8,    0
194448,20060109,  -26,    0
194448,20060110,  -21,    0
194448,20060111,    0,    0
194448,20060112,    4,    0
194448,20060113,  -17,    0
194448,20060114,  -12,    0
194448,20060115,  -35,    0
194448,20060116,  -30,    0
194448,20060117,    3,    0
194448,20060118,   55,    0
194448,20060119,   39,    0
194448,20060120,   47,    0
194448,20060121,   51,    0
194448,20060122,   11,    0
194448,20060123,  -29,    0
194448,20060124,  -55,    0
194448,20060125,  -39,    0
194448,20060126,  -56,    0
194448,20060127,  -33,    0
194448,20060128,    6,    0
194448,20060129,   30,    0
194448,20060130,   36,    0
194448,20060131,   49,    0
194448,20060201,   69,    0
194448,20060202,   77,    0
194448,20060203,   41,    0
194448,20060204,   29,    0
194448,20060205,  -16,    0
194448,20060206,  -35,    0
194448,20060207,    0,    0
194448,20060208,   34,    0
194448,20060209,   29,    0
194448,20060210,    6,    0
194448,20060211,   -1,    0
194448,20060212,   -4,    0
194448,20060213,    0,    0
194448,20060214,   23,    0
194448,20060215,   47,    0
194448,20060216,   70,    0
194448,20060217,   62,    0
194448,20060218,   58,    0
194448,20060219,   61,    0
194448,20060220,   42,    0
194448,20060221,   13,    0
194448,20060222,   17,    0
194448,20060223,   17,    0
194448,20060224,   -3,    0
194448,20060225,    0,    0
194448,20060226,   22,    0
194448,20060227,    4,    0
194448,20060228,   -7,    0
194448,20060301,    4,    0
194448,20060302,   -1,    0
194448,20060303,   50,    0
194448,20060304,   69,    0
194448,20060305,   59,    0
194448,20060306,    0,    0
194448,20060307,   -1,    0
194448,20060308,   19,    0
194448,20060309,   62,    0
194448,20060310,   55,    0
194448,20060311,   19,    0
194448,20060312,  -15,    0
194448,20060313,    0,    0
194448,20060314,   28,    0
194448,20060315,   31,    0
194448,20060316,   11,    0
194448,20060317,   27,    0
194448,20060318,   27,    0
194448,20060319,   27,    0
194448,20060320,   59,    0
194448,20060321,   46,    0
194448,20060322,   46,    0
194448,20060323,   68,    0
194448,20060324,   55,    0
194448,20060325,   67,    0
194448,20060326,   86,    0
194448,20060327,  107,    0
194448,20060328,   84,    0
194448,20060329,   85,    0
194448,20060330,   87,    0
194448,20060331,  102,    0
194448,20060401,   97,    0
194448,20060402,  103,    0
194448,20060403,  114,    0
194448,20060404,   97,    0
194448,20060405,   88,    0
194448,20060406,   41,    0
194448,20060407,   44,    0
194448,20060408,   68,    0
194448,20060409,   87,    0
194448,20060410,   91,    0
194448,20060411,   31,    0
194448,20060412,   61,    0
194448,20060413,   89,    0
194448,20060414,  120,    0
194448,20060415,  103,    0
194448,20060416,  106,    0
194448,20060417,  113,    0
194448,20060418,   85,    0
194448,20060419,  105,    0
194448,20060420,  103,    0
194448,20060421,  107,    0
194448,20060422,  136,    0
194448,20060423,  140,    0
194448,20060424,  146,    0
194448,20060425,  139,    0
194448,20060426,  122,    0
194448,20060427,  120,    0
194448,20060428,  103,    0
194448,20060429,  107,    0
194448,20060430,   82,    0
194448,20060501,   99,    0
194448,20060502,  107,    0
194448,20060503,  116,    0
194448,20060504,  124,    0
194448,20060505,  116,    0
194448,20060506,  113,    0
194448,20060507,  120,    0
194448,20060508,  128,    0
194448,20060509,   82,    0
194448,20060510,  103,    0
194448,20060511,  108,    0
194448,20060512,  143,    0
194448,20060513,  135,    0
194448,20060514,  135,    0
194448,20060515,  150,    0
194448,20060516,  162,    0
194448,20060517,  166,    0
194448,20060518,  185,    0
194448,20060519,  169,    0
194448,20060520,  145,    0
194448,20060521,  151,    0
194448,20060522,  178,    0
194448,20060523,  159,    0
194448,20060524,  130,    0
