EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LIGONCHIO CENTRALE (STAID: 859).
Blended and updated with sources: 195712 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195712,20051201,-9999,    9
195712,20051202,-9999,    9
195712,20051203,-9999,    9
195712,20051204,-9999,    9
195712,20051205,-9999,    9
195712,20051206,-9999,    9
195712,20051207,-9999,    9
195712,20051208,-9999,    9
195712,20051209,-9999,    9
195712,20051210,-9999,    9
195712,20051211,-9999,    9
195712,20051212,-9999,    9
195712,20051213,-9999,    9
195712,20051214,-9999,    9
195712,20051215,-9999,    9
195712,20051216,-9999,    9
195712,20051217,-9999,    9
195712,20051218,-9999,    9
195712,20051219,-9999,    9
195712,20051220,-9999,    9
195712,20051221,-9999,    9
195712,20051222,-9999,    9
195712,20051223,-9999,    9
195712,20051224,-9999,    9
195712,20051225,-9999,    9
195712,20051226,-9999,    9
195712,20051227,-9999,    9
195712,20051228,-9999,    9
195712,20051229,-9999,    9
195712,20051230,-9999,    9
195712,20051231,  -10,    0
195712,20060101,    7,    0
195712,20060102,    1,    0
195712,20060103,    0,    0
195712,20060104,  -13,    0
195712,20060105,  -20,    0
195712,20060106,  -22,    0
195712,20060107,   -7,    0
195712,20060108,  -13,    0
195712,20060109,  -30,    0
195712,20060110,  -44,    0
195712,20060111,  -25,    0
195712,20060112,  -20,    0
195712,20060113,  -41,    0
195712,20060114,  -44,    0
195712,20060115,  -51,    0
195712,20060116,  -34,    0
195712,20060117,    4,    0
195712,20060118,   47,    0
195712,20060119,   13,    0
195712,20060120,   27,    0
195712,20060121,   40,    0
195712,20060122,    0,    0
195712,20060123,  -38,    0
195712,20060124,  -61,    0
195712,20060125,  -60,    0
195712,20060126,  -55,    0
195712,20060127,  -29,    0
195712,20060128,    7,    0
195712,20060129,   22,    0
195712,20060130,   26,    0
195712,20060131,   24,    0
195712,20060201,   39,    0
195712,20060202,   57,    0
195712,20060203,   29,    0
195712,20060204,   19,    0
195712,20060205,  -22,    0
195712,20060206,  -49,    0
195712,20060207,  -19,    0
195712,20060208,   22,    0
195712,20060209,   10,    0
195712,20060210,  -13,    0
195712,20060211,  -18,    0
195712,20060212,  -22,    0
195712,20060213,  -15,    0
195712,20060214,   12,    0
195712,20060215,   47,    0
195712,20060216,   73,    0
195712,20060217,   62,    0
195712,20060218,   61,    0
195712,20060219,   60,    0
195712,20060220,   40,    0
195712,20060221,    9,    0
195712,20060222,   14,    0
195712,20060223,   13,    0
195712,20060224,   -6,    0
195712,20060225,    0,    0
195712,20060226,   16,    0
195712,20060227,   -1,    0
195712,20060228,   -7,    0
195712,20060301,    0,    0
195712,20060302,  -10,    0
195712,20060303,   47,    0
195712,20060304,   68,    0
195712,20060305,   55,    0
195712,20060306,   -9,    0
195712,20060307,  -17,    0
195712,20060308,   15,    0
195712,20060309,   69,    0
195712,20060310,   50,    0
195712,20060311,    8,    0
195712,20060312,  -16,    0
195712,20060313,   -9,    0
195712,20060314,   14,    0
195712,20060315,   21,    0
195712,20060316,    5,    0
195712,20060317,   21,    0
195712,20060318,   24,    0
195712,20060319,   21,    0
195712,20060320,   57,    0
195712,20060321,   50,    0
195712,20060322,   44,    0
195712,20060323,   59,    0
195712,20060324,   51,    0
195712,20060325,   64,    0
195712,20060326,   94,    0
195712,20060327,  120,    0
195712,20060328,  101,    0
195712,20060329,   92,    0
195712,20060330,   94,    0
195712,20060331,  117,    0
195712,20060401,   97,    0
195712,20060402,   94,    0
195712,20060403,   96,    0
195712,20060404,   88,    0
195712,20060405,   89,    0
195712,20060406,   48,    0
195712,20060407,   37,    0
195712,20060408,   65,    0
195712,20060409,  105,    0
