EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTEOMBRARO (STAID: 860).
Blended and updated with sources: 194488 196128 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196128,20051201,-9999,    9
196128,20051202,-9999,    9
196128,20051203,-9999,    9
196128,20051204,-9999,    9
196128,20051205,-9999,    9
196128,20051206,-9999,    9
196128,20051207,-9999,    9
196128,20051208,-9999,    9
196128,20051209,-9999,    9
196128,20051210,-9999,    9
196128,20051211,-9999,    9
196128,20051212,-9999,    9
196128,20051213,-9999,    9
196128,20051214,-9999,    9
196128,20051215,-9999,    9
196128,20051216,-9999,    9
196128,20051217,-9999,    9
196128,20051218,-9999,    9
196128,20051219,-9999,    9
196128,20051220,-9999,    9
196128,20051221,-9999,    9
196128,20051222,-9999,    9
196128,20051223,-9999,    9
196128,20051224,-9999,    9
196128,20051225,-9999,    9
196128,20051226,-9999,    9
196128,20051227,-9999,    9
196128,20051228,-9999,    9
196128,20051229,-9999,    9
196128,20051230,-9999,    9
196128,20051231,  -23,    0
196128,20060101,  -30,    0
196128,20060102,    3,    0
196128,20060103,   14,    0
196128,20060104,   -3,    0
196128,20060105,  -11,    0
196128,20060106,    0,    0
196128,20060107,   10,    0
196128,20060108,   -3,    0
196128,20060109,  -24,    0
196128,20060110,  -13,    0
196128,20060111,   12,    0
196128,20060112,    6,    0
196128,20060113,  -13,    0
196128,20060114,  -14,    0
196128,20060115,  -30,    0
196128,20060116,  -33,    0
196128,20060117,  -24,    0
196128,20060118,    0,    0
196128,20060119,   42,    0
196128,20060120,   42,    0
196128,20060121,   37,    0
196128,20060122,    6,    0
196128,20060123,  -32,    0
196128,20060124,  -64,    0
196128,20060125,  -47,    0
196128,20060126,  -45,    0
196128,20060127,  -28,    0
196128,20060128,   24,    0
196128,20060129,   33,    0
196128,20060130,   33,    0
196128,20060131,   54,    0
196128,20060201,   73,    0
196128,20060202,   82,    0
196128,20060203,   49,    0
196128,20060204,   34,    0
196128,20060205,  -20,    0
196128,20060206,  -28,    0
196128,20060207,  -20,    0
196128,20060208,   11,    0
196128,20060209,   30,    0
196128,20060210,   13,    0
196128,20060211,   12,    0
196128,20060212,    7,    0
196128,20060213,    4,    0
196128,20060214,   16,    0
196128,20060215,   40,    0
196128,20060216,   45,    0
196128,20060217,   80,    0
196128,20060218,   74,    0
196128,20060219,   75,    0
196128,20060220,   49,    0
196128,20060221,   18,    0
196128,20060222,   25,    0
196128,20060223,   24,    0
196128,20060224,   -3,    0
196128,20060225,    1,    0
196128,20060226,   19,    0
196128,20060227,    3,    0
196128,20060228,  -16,    0
196128,20060301,    5,    0
196128,20060302,   -2,    0
196128,20060303,   56,    0
196128,20060304,   94,    0
196128,20060305,   71,    0
196128,20060306,   -2,    0
196128,20060307,    5,    0
196128,20060308,   24,    0
196128,20060309,   41,    0
196128,20060310,   46,    0
196128,20060311,   20,    0
196128,20060312,  -10,    0
196128,20060313,   -2,    0
196128,20060314,   19,    0
196128,20060315,   28,    0
196128,20060316,    7,    0
196128,20060317,   20,    0
196128,20060318,   24,    0
196128,20060319,   28,    0
196128,20060320,   53,    0
196128,20060321,   49,    0
196128,20060322,   47,    0
196128,20060323,   72,    0
196128,20060324,   64,    0
196128,20060325,   68,    0
196128,20060326,  100,    0
196128,20060327,  104,    0
196128,20060328,  112,    0
196128,20060329,  110,    0
196128,20060330,  109,    0
196128,20060331,  120,    0
196128,20060401,  105,    0
