EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONZUNO (STAID: 861).
Blended and updated with sources: 196200 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196200,20180401,-9999,    9
196200,20180402,-9999,    9
196200,20180403,-9999,    9
196200,20180404,-9999,    9
196200,20180405,-9999,    9
196200,20180406,-9999,    9
196200,20180407,  128,    0
196200,20180408,  123,    0
196200,20180409,   89,    0
196200,20180410,  101,    0
196200,20180411,   98,    0
196200,20180412,  111,    0
196200,20180413,  118,    0
196200,20180414,  124,    0
196200,20180415,  123,    0
196200,20180416,  148,    0
196200,20180417,  151,    0
196200,20180418,  153,    0
196200,20180419,  158,    0
196200,20180420,-9999,    9
196200,20180421,  190,    0
196200,20180422,  194,    0
196200,20180423,  197,    0
196200,20180424,  186,    0
196200,20180425,  193,    0
196200,20180426,-9999,    9
196200,20180427,  151,    0
196200,20180428,  179,    0
196200,20180429,  182,    0
196200,20180430,  144,    0
196200,20180501,  115,    0
196200,20180502,  106,    0
196200,20180503,  120,    0
196200,20180504,  132,    0
196200,20180505,  150,    0
196200,20180506,  169,    0
196200,20180507,  173,    0
196200,20180508,  176,    0
196200,20180509,  161,    0
196200,20180510,  181,    0
196200,20180511,  204,    0
196200,20180512,  207,    0
196200,20180513,  200,    0
196200,20180514,  156,    0
196200,20180515,  141,    0
196200,20180516,  170,    0
196200,20180517,  164,    0
196200,20180518,  187,    0
196200,20180519,  199,    0
196200,20180520,  201,    0
196200,20180521,  190,    0
196200,20180522,  181,    0
196200,20180523,  189,    0
196200,20180524,  222,    0
196200,20180525,  238,    0
196200,20180526,  249,    0
196200,20180527,  253,    0
196200,20180528,  235,    0
196200,20180529,  231,    0
196200,20180530,  231,    0
196200,20180531,  241,    0
196200,20180601,  229,    0
196200,20180602,  239,    0
196200,20180603,  251,    0
196200,20180604,  240,    0
196200,20180605,  227,    0
196200,20180606,  234,    0
196200,20180607,  236,    0
196200,20180608,  204,    0
196200,20180609,  240,    0
196200,20180610,  245,    0
196200,20180611,  268,    0
196200,20180612,  252,    0
196200,20180613,  218,    0
196200,20180614,  197,    0
196200,20180615,  217,    0
196200,20180616,  232,    0
196200,20180617,  253,    0
196200,20180618,  245,    0
196200,20180619,  252,    0
196200,20180620,  258,    0
196200,20180621,  272,    0
196200,20180622,  221,    0
196200,20180623,  201,    0
196200,20180624,  222,    0
196200,20180625,  186,    0
196200,20180626,  204,    0
196200,20180627,  227,    0
196200,20180628,  227,    0
196200,20180629,  259,    0
196200,20180630,  286,    0
196200,20180701,  279,    0
196200,20180702,  257,    0
196200,20180703,  266,    0
196200,20180704,  262,    0
196200,20180705,  267,    0
196200,20180706,  242,    0
196200,20180707,  264,    0
196200,20180708,  265,    0
196200,20180709,  269,    0
196200,20180710,  270,    0
196200,20180711,  233,    0
196200,20180712,  244,    0
196200,20180713,  264,    0
196200,20180714,  277,    0
196200,20180715,  254,    0
196200,20180716,  236,    0
196200,20180717,  254,    0
196200,20180718,  291,    0
196200,20180719,  289,    0
196200,20180720,  287,    0
196200,20180721,  251,    0
196200,20180722,  242,    0
196200,20180723,  247,    0
196200,20180724,  278,    0
196200,20180725,  283,    0
196200,20180726,  271,    0
196200,20180727,  279,    0
196200,20180728,  280,    0
196200,20180729,  279,    0
196200,20180730,  292,    0
196200,20180731,  309,    0
196200,20180801,  312,    0
196200,20180802,  286,    0
196200,20180803,  272,    0
196200,20180804,  282,    0
196200,20180805,  294,    0
196200,20180806,  305,    0
196200,20180807,  285,    0
196200,20180808,  275,    0
196200,20180809,  286,    0
196200,20180810,  283,    0
196200,20180811,  276,    0
196200,20180812,  267,    0
196200,20180813,  271,    0
196200,20180814,  230,    0
196200,20180815,  224,    0
196200,20180816,  249,    0
196200,20180817,  262,    0
196200,20180818,  268,    0
196200,20180819,  265,    0
196200,20180820,  274,    0
196200,20180821,  274,    0
196200,20180822,  280,    0
196200,20180823,  275,    0
196200,20180824,  278,    0
196200,20180825,  242,    0
196200,20180826,  176,    0
196200,20180827,  205,    0
196200,20180828,  242,    0
196200,20180829,  268,    0
196200,20180830,  258,    0
196200,20180831,  245,    0
196200,20180901,  193,    0
196200,20180902,  189,    0
196200,20180903,  197,    0
196200,20180904,  224,    0
196200,20180905,  239,    0
196200,20180906,  246,    0
196200,20180907,  216,    0
196200,20180908,  231,    0
196200,20180909,  250,    0
196200,20180910,  258,    0
196200,20180911,  265,    0
196200,20180912,  272,    0
196200,20180913,  248,    0
196200,20180914,  255,    0
196200,20180915,  240,    0
196200,20180916,  246,    0
196200,20180917,-9999,    9
196200,20180918,-9999,    9
196200,20180919,-9999,    9
196200,20180920,-9999,    9
196200,20180921,-9999,    9
196200,20180922,  261,    0
196200,20180923,  261,    0
196200,20180924,-9999,    9
196200,20180925,  158,    0
196200,20180926,  145,    0
196200,20180927,  180,    0
196200,20180928,  216,    0
196200,20180929,  201,    0
196200,20180930,  184,    0
196200,20181001,  148,    0
196200,20181002,  132,    0
196200,20181003,  164,    0
196200,20181004,  175,    0
196200,20181005,  170,    0
196200,20181006,  159,    0
196200,20181007,  182,    0
196200,20181008,  186,    0
196200,20181009,  191,    0
196200,20181010,  190,    0
196200,20181011,  178,    0
196200,20181012,  186,    0
196200,20181013,  184,    0
196200,20181014,  179,    0
196200,20181015,  172,    0
196200,20181016,  169,    0
196200,20181017,  160,    0
196200,20181018,  182,    0
196200,20181019,  189,    0
196200,20181020,  188,    0
196200,20181021,  151,    0
196200,20181022,  122,    0
196200,20181023,  155,    0
196200,20181024,  246,    0
196200,20181025,  203,    0
196200,20181026,  190,    0
196200,20181027,  197,    0
196200,20181028,  193,    0
196200,20181029,  175,    0
196200,20181030,  132,    0
196200,20181031,  145,    0
196200,20181101,  154,    0
196200,20181102,  138,    0
196200,20181103,-9999,    9
196200,20181104,-9999,    9
196200,20181105,-9999,    9
196200,20181106,  164,    0
196200,20181107,  156,    0
196200,20181108,  155,    0
196200,20181109,  148,    0
196200,20181110,  138,    0
196200,20181111,  168,    0
196200,20181112,  156,    0
196200,20181113,  154,    0
196200,20181114,  137,    0
196200,20181115,  122,    0
196200,20181116,   97,    0
196200,20181117,   75,    0
196200,20181118,   53,    0
196200,20181119,   49,    0
196200,20181120,   37,    0
196200,20181121,   79,    0
196200,20181122,   90,    0
196200,20181123,  101,    0
196200,20181124,  128,    0
196200,20181125,   95,    0
196200,20181126,  101,    0
196200,20181127,   91,    0
196200,20181128,   80,    0
196200,20181129,   66,    0
196200,20181130,   45,    0
196200,20181201,   56,    0
196200,20181202,   75,    0
196200,20181203,   87,    0
196200,20181204,  122,    0
196200,20181205,  115,    0
196200,20181206,-9999,    9
196200,20181207,-9999,    9
196200,20181208,-9999,    9
196200,20181209,  139,    0
196200,20181210,  118,    0
196200,20181211,   83,    0
196200,20181212,   67,    0
196200,20181213,-9999,    9
196200,20181214,-9999,    9
196200,20181215,   27,    0
196200,20181216,   39,    0
196200,20181217,-9999,    9
196200,20181218,   66,    0
196200,20181219,   60,    0
196200,20181220,   35,    0
196200,20181221,   60,    0
196200,20181222,  123,    0
196200,20181223,  121,    0
196200,20181224,  122,    0
196200,20181225,   90,    0
196200,20181226,   88,    0
196200,20181227,   88,    0
196200,20181228,  106,    0
196200,20181229,  108,    0
