EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MARINA DI RAVENNA (STAID: 1733).
Blended and updated with sources: 195816 196632 196840 198016 916145 916146 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916145,20051201,   41,    0
916145,20051202,   41,    0
916145,20051203,  102,    0
916145,20051204,   54,    0
916145,20051205,   91,    0
916145,20051206,   67,    0
916145,20051207,   67,    0
916145,20051208,   41,    0
916145,20051209,   78,    0
916145,20051210,   73,    0
916145,20051211,   65,    0
916145,20051212,   38,    0
916145,20051213,   40,    0
916145,20051214,   42,    0
916145,20051215,   41,    0
916145,20051216,   20,    0
916145,20051217,   18,    0
916145,20051218,   28,    0
916145,20051219,   21,    0
916145,20051220,   25,    0
916145,20051221,   26,    0
916145,20051222,   15,    0
916145,20051223,   18,    0
916145,20051224,   13,    0
916145,20051225,   22,    0
916145,20051226,   38,    0
916145,20051227,   38,    0
916145,20051228,   38,    0
916145,20051229,    5,    0
916145,20051230,   -1,    0
196840,20051231,   -7,    0
196840,20060101,    0,    0
196840,20060102,   18,    0
196840,20060103,   41,    1
196840,20060104,   28,    0
196840,20060105,   26,    0
196840,20060106,   29,    0
196840,20060107,   41,    0
196840,20060108,   33,    0
196840,20060109,   11,    0
196840,20060110,    5,    0
196840,20060111,    9,    0
196840,20060112,    3,    0
196840,20060113,    3,    0
196840,20060114,   -8,    0
196840,20060115,    0,    0
196840,20060116,    6,    0
196840,20060117,    1,    0
196840,20060118,    7,    0
196840,20060119,   -6,    0
196840,20060120,  -16,    0
196840,20060121,   -1,    0
196840,20060122,   23,    0
196840,20060123,   26,    0
196840,20060124,    9,    0
196840,20060125,  -22,    0
196840,20060126,   -9,    0
196840,20060127,   14,    0
196840,20060128,   36,    0
196840,20060129,   46,    0
196840,20060130,   62,    0
196840,20060131,   61,    0
196840,20060201,   47,    0
196840,20060202,   49,    0
196840,20060203,   41,    0
196840,20060204,   34,    0
196840,20060205,   32,    0
196840,20060206,    5,    0
196840,20060207,   -8,    0
196840,20060208,   15,    0
196840,20060209,   23,    0
196840,20060210,   21,    0
196840,20060211,   17,    0
196840,20060212,   17,    0
196840,20060213,   12,    0
196840,20060214,   17,    0
196840,20060215,   44,    0
196840,20060216,   36,    0
196840,20060217,   72,    1
196840,20060218,   99,    0
196840,20060219,   68,    0
196840,20060220,   94,    0
196840,20060221,   58,    0
196840,20060222,   70,    0
196840,20060223,   81,    1
196840,20060224,   60,    0
196840,20060225,   57,    0
196840,20060226,   60,    0
196840,20060227,   57,    0
196840,20060228,   33,    0
196840,20060301,   35,    0
196840,20060302,   33,    0
196840,20060303,   58,    0
196840,20060304,  139,    0
196840,20060305,  118,    0
196840,20060306,   60,    0
196840,20060307,   42,    0
196840,20060308,   43,    0
196840,20060309,   74,    0
196840,20060310,   73,    0
196840,20060311,   72,    0
196840,20060312,   38,    0
196840,20060313,   50,    0
196840,20060314,   35,    0
196840,20060315,   49,    0
196840,20060316,   53,    0
196840,20060317,   57,    0
196840,20060318,   46,    0
196840,20060319,   52,    0
196840,20060320,   78,    0
196840,20060321,   81,    0
196840,20060322,   82,    0
196840,20060323,  100,    0
196840,20060324,   87,    0
196840,20060325,   91,    0
196840,20060326,  110,    0
196840,20060327,  129,    0
196840,20060328,  140,    0
196840,20060329,  137,    0
196840,20060330,  128,    0
196840,20060331,  130,    0
196840,20060401,  129,    0
196840,20060402,  132,    0
196840,20060403,  117,    0
196840,20060404,  107,    0
196840,20060405,  127,    0
196840,20060406,  100,    0
196840,20060407,   76,    0
196840,20060408,   93,    0
196840,20060409,  119,    0
196840,20060410,  134,    0
196840,20060411,  102,    0
196840,20060412,   95,    0
196840,20060413,  112,    0
196840,20060414,  131,    0
196840,20060415,  138,    0
196840,20060416,  152,    0
196840,20060417,  136,    0
196840,20060418,  131,    0
196840,20060419,  142,    0
196840,20060420,  150,    0
196840,20060421,  152,    0
196840,20060422,  165,    0
196840,20060423,  171,    0
196840,20060424,  164,    0
196840,20060425,  157,    0
196840,20060426,  171,    0
196840,20060427,  152,    0
196840,20060428,  157,    0
196840,20060429,  156,    0
196840,20060430,  125,    0
196840,20060501,  134,    0
196840,20060502,  154,    0
196840,20060503,  153,    0
196840,20060504,  156,    0
196840,20060505,  163,    0
196840,20060506,  155,    0
196840,20060507,  161,    0
196840,20060508,  169,    0
196840,20060509,  137,    0
196840,20060510,  159,    0
196840,20060511,  174,    0
196840,20060512,  176,    0
196840,20060513,  187,    0
196840,20060514,  158,    0
196840,20060515,  172,    0
196840,20060516,  193,    0
196840,20060517,  205,    0
196840,20060518,  210,    0
196840,20060519,  228,    0
196840,20060520,  206,    0
196840,20060521,  218,    0
196840,20060522,  209,    0
196840,20060523,  208,    0
196840,20060524,  172,    0
196840,20060525,  159,    0
196840,20060526,  188,    0
196840,20060527,  208,    0
196840,20060528,  207,    0
196840,20060529,  201,    0
196840,20060530,  126,    0
196840,20060531,  139,    0
196840,20060601,  161,    0
196840,20060602,  152,    0
196840,20060603,  142,    0
196840,20060604,  182,    0
196840,20060605,  175,    0
196840,20060606,  162,    0
196840,20060607,  163,    0
196840,20060608,  158,    0
196840,20060609,  169,    0
196840,20060610,  194,    0
196840,20060611,  186,    0
196840,20060612,  182,    0
196840,20060613,  209,    0
196840,20060614,  222,    0
196840,20060615,  235,    0
196840,20060616,  238,    0
196840,20060617,  239,    0
196840,20060618,  247,    0
196840,20060619,  247,    0
196840,20060620,  257,    0
196840,20060621,  248,    0
196840,20060622,  261,    0
196840,20060623,  253,    0
196840,20060624,  253,    0
196840,20060625,  256,    0
196840,20060626,  266,    0
196840,20060627,  270,    0
196840,20060628,  268,    0
196840,20060629,  268,    0
196840,20060630,  254,    0
196840,20060701,  253,    0
196840,20060702,  243,    0
196840,20060703,  237,    0
196840,20060704,  232,    0
196840,20060705,  230,    0
196840,20060706,  233,    0
196840,20060707,  211,    0
196840,20060708,  226,    0
196840,20060709,  244,    0
196840,20060710,  251,    0
196840,20060711,  253,    0
196840,20060712,  256,    0
196840,20060713,  253,    0
196840,20060714,  254,    0
196840,20060715,  261,    0
196840,20060716,  245,    0
196840,20060717,  222,    0
196840,20060718,  219,    0
196840,20060719,  235,    0
196840,20060720,  251,    0
196840,20060721,  262,    0
196840,20060722,  269,    0
196840,20060723,  281,    0
196840,20060724,  301,    0
196840,20060725,  297,    0
196840,20060726,  300,    0
196840,20060727,  297,    0
196840,20060728,  289,    0
196840,20060729,  273,    0
196840,20060730,  275,    0
196840,20060731,  282,    0
196632,20060801,  262,    0
196632,20060802,  240,    0
196632,20060803,  235,    0
196632,20060804,  195,    0
196632,20060805,  209,    0
196632,20060806,  224,    0
196632,20060807,  238,    0
196632,20060808,  230,    0
196632,20060809,  218,    0
196632,20060810,  217,    0
198016,20060811,  198,    0
198016,20060812,  168,    0
198016,20060813,  190,    0
198016,20060814,  206,    0
198016,20060815,  219,    0
196840,20060816,  260,    0
196840,20060817,  255,    0
196840,20060818,  276,    1
196840,20060819,  240,    0
196840,20060820,  245,    0
196840,20060821,  229,    0
196840,20060822,  236,    0
196840,20060823,  245,    0
196840,20060824,  248,    0
196840,20060825,  241,    0
196840,20060826,  227,    0
196840,20060827,  214,    0
196840,20060828,  225,    0
196840,20060829,  226,    0
196840,20060830,  201,    0
196840,20060831,  200,    0
196840,20060901,  207,    0
196840,20060902,  216,    0
196840,20060903,  231,    0
196840,20060904,  249,    0
196840,20060905,  251,    0
196840,20060906,  253,    0
196840,20060907,  258,    0
196840,20060908,  256,    0
196840,20060909,  220,    0
196840,20060910,  194,    0
196840,20060911,  199,    0
196840,20060912,  205,    0
196840,20060913,  218,    0
196840,20060914,  226,    0
196840,20060915,  248,    1
196840,20060916,  201,    0
196840,20060917,  194,    0
196840,20060918,  215,    1
196840,20060919,  226,    0
196840,20060920,  228,    0
196840,20060921,  215,    0
196840,20060922,  212,    0
196840,20060923,  202,    0
196840,20060924,  195,    0
196840,20060925,  200,    0
196840,20060926,  229,    1
196840,20060927,  227,    0
196840,20060928,  202,    0
196840,20060929,  207,    0
196840,20060930,  214,    0
196840,20061001,  228,    0
196840,20061002,  228,    0
196840,20061003,  236,    0
196840,20061004,  219,    0
196840,20061005,  176,    0
196840,20061006,  170,    0
196840,20061007,  165,    0
196840,20061008,  170,    0
196840,20061009,  162,    0
196840,20061010,  161,    0
196840,20061011,  161,    0
196840,20061012,  156,    0
196840,20061013,  164,    0
196840,20061014,  175,    0
196840,20061015,  168,    0
196840,20061016,  148,    0
196840,20061017,  133,    0
196840,20061018,  119,    0
196840,20061019,  149,    0
196840,20061020,  163,    0
196840,20061021,  165,    0
196840,20061022,  172,    1
196840,20061023,  198,    1
196840,20061024,  216,    0
196840,20061025,  193,    0
196840,20061026,  173,    0
196840,20061027,  175,    0
196840,20061028,  172,    0
196840,20061029,  176,    0
196840,20061030,  162,    0
196840,20061031,  143,    0
196840,20061101,  157,    0
196840,20061102,  126,    0
196840,20061103,   69,    0
196840,20061104,   76,    0
196840,20061105,   78,    0
196840,20061106,  100,    0
196840,20061107,   96,    0
196840,20061108,  120,    0
196840,20061109,  130,    0
196840,20061110,  114,    0
196840,20061111,   83,    0
196840,20061112,   95,    0
196840,20061113,   88,    0
196840,20061114,   93,    0
196840,20061115,  101,    0
196840,20061116,  125,    0
196840,20061117,  106,    0
196840,20061118,  130,    1
196840,20061119,  125,    0
196840,20061120,  131,    0
196840,20061121,  119,    0
196840,20061122,  107,    0
196840,20061123,   90,    0
196840,20061124,  113,    0
196840,20061125,  110,    0
196840,20061126,  111,    0
196840,20061127,  117,    0
196840,20061128,  125,    1
196840,20061129,  123,    0
196840,20061130,   99,    0
196840,20061201,   85,    0
196840,20061202,   65,    0
196840,20061203,   83,    0
196840,20061204,   81,    0
196840,20061205,  107,    1
196840,20061206,  136,    1
196840,20061207,  125,    0
196840,20061208,  141,    1
196840,20061209,  134,    0
196840,20061210,   99,    0
196840,20061211,   64,    0
196840,20061212,   51,    0
196840,20061213,   50,    0
196840,20061214,   44,    0
196840,20061215,   51,    0
196840,20061216,   68,    0
196840,20061217,   79,    0
196840,20061218,   89,    1
196840,20061219,   90,    0
196840,20061220,   43,    0
196840,20061221,   64,    0
196840,20061222,   79,    0
196840,20061223,   29,    0
196840,20061224,   31,    0
196840,20061225,   44,    0
196840,20061226,   40,    0
196840,20061227,   20,    0
196840,20061228,    2,    0
196840,20061229,   20,    1
196840,20061230,   25,    1
196840,20061231,   47,    1
196840,20070101,   69,    1
196840,20070102,   61,    0
196840,20070103,   74,    1
196840,20070104,   58,    0
196840,20070105,   58,    0
196840,20070106,   47,    0
196840,20070107,   61,    0
196840,20070108,   81,    0
196840,20070109,   85,    1
196840,20070110,   81,    0
196840,20070111,   67,    0
196840,20070112,   61,    0
196840,20070113,   63,    0
196632,20070114,   58,    0
196632,20070115,   56,    0
196632,20070116,   50,    0
196840,20070117,   76,    1
196840,20070118,   88,    1
196840,20070119,   94,    1
196840,20070120,   71,    0
196840,20070121,   81,    0
196840,20070122,   83,    1
196840,20070123,  137,    1
196840,20070124,   74,    0
196840,20070125,   73,    0
196840,20070126,   39,    0
196840,20070127,   42,    1
196840,20070128,   52,    0
196840,20070129,   64,    0
196840,20070130,   48,    0
196840,20070131,   37,    0
196840,20070201,   40,    0
196840,20070202,   52,    1
196840,20070203,   66,    1
196840,20070204,   62,    0
196840,20070205,   54,    0
196840,20070206,   84,    0
196840,20070207,   85,    0
196840,20070208,   87,    1
196840,20070209,   96,    0
196840,20070210,  100,    1
196840,20070211,  104,    0
196840,20070212,   92,    0
196840,20070213,  102,    1
196840,20070214,   95,    0
196840,20070215,   92,    0
196840,20070216,   63,    0
196840,20070217,   69,    0
196840,20070218,   80,    0
196840,20070219,   79,    0
196840,20070220,   89,    0
196840,20070221,  121,    1
196840,20070222,  116,    0
196840,20070223,  101,    0
196840,20070224,  103,    0
196840,20070225,  131,    1
196840,20070226,  104,    0
196840,20070227,   97,    0
196840,20070228,  108,    0
196840,20070301,  118,    0
196840,20070302,  151,    0
196840,20070303,  138,    0
196840,20070304,  128,    0
196840,20070305,  135,    0
196840,20070306,  135,    0
196840,20070307,  130,    0
196840,20070308,  119,    0
196840,20070309,  128,    0
196840,20070310,  111,    0
196840,20070311,  115,    0
196840,20070312,   93,    0
196840,20070313,  116,    0
196840,20070314,  128,    0
196840,20070315,  118,    0
196840,20070316,  121,    0
196840,20070317,  133,    0
196840,20070318,  144,    0
196840,20070319,  129,    0
196840,20070320,   77,    0
196840,20070321,   97,    0
196840,20070322,   79,    0
196840,20070323,   70,    0
196840,20070324,   95,    0
196840,20070325,   99,    0
196840,20070326,   96,    0
196840,20070327,  114,    1
196840,20070328,  101,    0
196840,20070329,  106,    0
196840,20070330,  109,    0
196840,20070331,  122,    0
196840,20070401,  138,    0
196840,20070402,  138,    0
196840,20070403,  134,    0
196840,20070404,  139,    0
196840,20070405,  126,    0
196840,20070406,  132,    0
196840,20070407,  140,    0
196840,20070408,  141,    0
196840,20070409,  150,    0
196840,20070410,  163,    0
196840,20070411,  163,    0
196840,20070412,  167,    0
196840,20070413,  160,    0
196840,20070414,  161,    0
196840,20070415,  169,    0
196840,20070416,  168,    0
196840,20070417,  157,    0
196840,20070418,  165,    0
196840,20070419,  169,    0
196840,20070420,  174,    0
196840,20070421,  171,    0
196840,20070422,  183,    0
196840,20070423,  191,    0
196840,20070424,  208,    0
196840,20070425,  206,    0
196840,20070426,  190,    0
196840,20070427,  174,    0
196840,20070428,  182,    0
196840,20070429,  194,    0
196840,20070430,  191,    0
196840,20070501,  185,    0
196840,20070502,  175,    0
196840,20070503,  169,    0
196840,20070504,  172,    0
196840,20070505,  170,    0
196840,20070506,  173,    0
196840,20070507,  198,    0
196840,20070508,  219,    0
196840,20070509,  231,    0
196840,20070510,  219,    0
196840,20070511,  228,    0
196840,20070512,  226,    0
196840,20070513,  230,    0
196840,20070514,  236,    0
196840,20070515,  208,    0
196840,20070516,  180,    0
196840,20070517,  189,    0
196840,20070518,  194,    0
196840,20070519,  182,    0
196840,20070520,  206,    0
196840,20070521,  222,    0
196840,20070522,  258,    0
196840,20070523,  264,    0
196840,20070524,  254,    0
196840,20070525,  256,    0
196840,20070526,  248,    0
196840,20070527,  216,    0
196840,20070528,  176,    0
196840,20070529,  160,    0
196840,20070530,  189,    0
196840,20070531,  201,    0
196840,20070601,  193,    0
196840,20070602,  186,    0
196840,20070603,  211,    0
196840,20070604,  216,    0
196840,20070605,  227,    0
196840,20070606,  202,    0
196840,20070607,  211,    0
196840,20070608,  225,    0
196840,20070609,  241,    0
196840,20070610,  249,    0
196840,20070611,  252,    0
196840,20070612,  230,    0
196840,20070613,  243,    0
196840,20070614,  252,    0
196840,20070615,  262,    0
196840,20070616,  249,    0
196840,20070617,  249,    0
196840,20070618,  262,    0
196840,20070619,  268,    0
196840,20070620,  277,    0
196840,20070621,  286,    0
196840,20070622,  272,    0
196840,20070623,  259,    0
196840,20070624,  257,    0
196840,20070625,  281,    0
196840,20070626,  250,    0
196840,20070627,  236,    0
196840,20070628,  230,    0
196840,20070629,  239,    0
196840,20070630,  249,    0
196840,20070701,  260,    0
196840,20070702,  268,    0
196840,20070703,  259,    0
196840,20070704,  239,    0
196840,20070705,  219,    0
196840,20070706,  247,    0
196840,20070707,  262,    0
196840,20070708,  267,    0
196840,20070709,  285,    0
196840,20070710,  240,    0
196840,20070711,  212,    0
196840,20070712,  230,    0
196840,20070713,  245,    0
196840,20070714,  265,    0
196840,20070715,  275,    0
196840,20070716,  279,    0
196840,20070717,  290,    0
196840,20070718,  293,    0
