EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BADIA TEDALDA (STAID: 2768).
Blended and updated with sources: 194136 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194136,20051201,-9999,    9
194136,20051202,-9999,    9
194136,20051203,-9999,    9
194136,20051204,-9999,    9
194136,20051205,-9999,    9
194136,20051206,-9999,    9
194136,20051207,-9999,    9
194136,20051208,-9999,    9
194136,20051209,-9999,    9
194136,20051210,-9999,    9
194136,20051211,-9999,    9
194136,20051212,-9999,    9
194136,20051213,-9999,    9
194136,20051214,-9999,    9
194136,20051215,-9999,    9
194136,20051216,-9999,    9
194136,20051217,-9999,    9
194136,20051218,-9999,    9
194136,20051219,-9999,    9
194136,20051220,-9999,    9
194136,20051221,-9999,    9
194136,20051222,-9999,    9
194136,20051223,-9999,    9
194136,20051224,-9999,    9
194136,20051225,-9999,    9
194136,20051226,-9999,    9
194136,20051227,-9999,    9
194136,20051228,-9999,    9
194136,20051229,-9999,    9
194136,20051230,-9999,    9
194136,20051231,   25,    0
194136,20060101,   44,    0
194136,20060102,   13,    0
194136,20060103,    1,    0
194136,20060104,   -5,    0
194136,20060105,  -11,    0
194136,20060106,  -11,    0
194136,20060107,   -2,    0
194136,20060108,   -6,    0
194136,20060109,  -27,    0
194136,20060110,  -27,    0
194136,20060111,   -8,    0
194136,20060112,   -3,    0
194136,20060113,  -16,    0
