EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BAISO (STAID: 2771).
Blended and updated with sources: 194168 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194168,20051201,-9999,    9
194168,20051202,-9999,    9
194168,20051203,-9999,    9
194168,20051204,-9999,    9
194168,20051205,-9999,    9
194168,20051206,-9999,    9
194168,20051207,-9999,    9
194168,20051208,-9999,    9
194168,20051209,-9999,    9
194168,20051210,-9999,    9
194168,20051211,-9999,    9
194168,20051212,-9999,    9
194168,20051213,-9999,    9
194168,20051214,-9999,    9
194168,20051215,-9999,    9
194168,20051216,-9999,    9
194168,20051217,-9999,    9
194168,20051218,-9999,    9
194168,20051219,-9999,    9
194168,20051220,-9999,    9
194168,20051221,-9999,    9
194168,20051222,-9999,    9
194168,20051223,-9999,    9
194168,20051224,-9999,    9
194168,20051225,-9999,    9
194168,20051226,-9999,    9
194168,20051227,-9999,    9
194168,20051228,-9999,    9
194168,20051229,-9999,    9
194168,20051230,-9999,    9
194168,20051231,  -21,    0
194168,20060101,  -23,    0
194168,20060102,   11,    0
194168,20060103,   29,    0
194168,20060104,   15,    0
194168,20060105,    1,    0
194168,20060106,   15,    0
194168,20060107,   25,    0
194168,20060108,    4,    0
194168,20060109,   -9,    0
194168,20060110,    7,    0
194168,20060111,   32,    0
194168,20060112,   24,    0
194168,20060113,    7,    0
194168,20060114,    5,    0
194168,20060115,  -28,    0
194168,20060116,  -28,    0
194168,20060117,  -23,    0
194168,20060118,  -10,    0
194168,20060119,   33,    0
194168,20060120,   45,    0
194168,20060121,   42,    0
194168,20060122,   24,    0
194168,20060123,  -20,    0
194168,20060124,  -46,    0
194168,20060125,  -33,    0
194168,20060126,  -49,    0
194168,20060127,  -26,    0
194168,20060128,   12,    0
194168,20060129,   32,    0
194168,20060130,   40,    0
194168,20060131,   68,    0
194168,20060201,   84,    0
194168,20060202,   81,    0
194168,20060203,   63,    0
194168,20060204,   47,    0
194168,20060205,  -10,    0
194168,20060206,  -16,    0
194168,20060207,  -11,    0
194168,20060208,   15,    0
194168,20060209,   41,    0
194168,20060210,   31,    0
194168,20060211,   26,    0
194168,20060212,   20,    0
194168,20060213,   19,    0
194168,20060214,   31,    0
194168,20060215,   27,    0
194168,20060216,    9,    0
194168,20060217,   76,    0
194168,20060218,   86,    0
194168,20060219,   69,    0
194168,20060220,   58,    0
194168,20060221,   21,    0
194168,20060222,   33,    0
194168,20060223,   32,    0
194168,20060224,    0,    0
194168,20060225,    8,    0
194168,20060226,   26,    0
194168,20060227,    7,    0
194168,20060228,   -5,    0
194168,20060301,   14,    0
194168,20060302,    5,    0
194168,20060303,   48,    0
194168,20060304,  106,    0
194168,20060305,   81,    0
194168,20060306,   10,    0
194168,20060307,   20,    0
194168,20060308,   34,    0
194168,20060309,   50,    0
194168,20060310,   54,    0
194168,20060311,   34,    0
194168,20060312,    0,    0
194168,20060313,   18,    0
194168,20060314,   30,    0
194168,20060315,   36,    0
194168,20060316,   14,    0
194168,20060317,   39,    0
