EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BARCO (STAID: 2773).
Blended and updated with sources: 194200 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194200,20051201,-9999,    9
194200,20051202,-9999,    9
194200,20051203,-9999,    9
194200,20051204,-9999,    9
194200,20051205,-9999,    9
194200,20051206,-9999,    9
194200,20051207,-9999,    9
194200,20051208,-9999,    9
194200,20051209,-9999,    9
194200,20051210,-9999,    9
194200,20051211,-9999,    9
194200,20051212,-9999,    9
194200,20051213,-9999,    9
194200,20051214,-9999,    9
194200,20051215,-9999,    9
194200,20051216,-9999,    9
194200,20051217,-9999,    9
194200,20051218,-9999,    9
194200,20051219,-9999,    9
194200,20051220,-9999,    9
194200,20051221,-9999,    9
194200,20051222,-9999,    9
194200,20051223,-9999,    9
194200,20051224,-9999,    9
194200,20051225,-9999,    9
194200,20051226,-9999,    9
194200,20051227,-9999,    9
194200,20051228,-9999,    9
194200,20051229,-9999,    9
194200,20051230,-9999,    9
194200,20051231,   13,    0
194200,20060101,   27,    0
194200,20060102,   13,    0
194200,20060103,   11,    0
194200,20060104,   -3,    0
194200,20060105,  -14,    0
194200,20060106,   -3,    0
194200,20060107,    9,    0
194200,20060108,   -1,    0
194200,20060109,  -22,    0
194200,20060110,  -18,    0
194200,20060111,    4,    0
194200,20060112,    5,    0
194200,20060113,  -13,    0
194200,20060114,  -17,    0
194200,20060115,  -33,    0
194200,20060116,  -30,    0
194200,20060117,   10,    0
194200,20060118,   37,    0
194200,20060119,   21,    0
194200,20060120,   36,    0
194200,20060121,   32,    0
194200,20060122,    0,    0
194200,20060123,  -34,    0
194200,20060124,  -64,    0
194200,20060125,  -55,    0
194200,20060126,  -30,    0
194200,20060127,    8,    0
194200,20060128,   23,    0
194200,20060129,   24,    0
194200,20060130,   39,    0
194200,20060131,   51,    0
194200,20060201,   62,    0
194200,20060202,   66,    0
194200,20060203,   45,    0
194200,20060204,   39,    0
194200,20060205,  -15,    0
194200,20060206,  -38,    0
194200,20060207,  -16,    0
194200,20060208,    7,    0
194200,20060209,   25,    0
194200,20060210,   10,    0
194200,20060211,    2,    0
194200,20060212,   -2,    0
194200,20060213,   -1,    0
194200,20060214,   16,    0
194200,20060215,   29,    0
194200,20060216,   59,    0
194200,20060217,   62,    0
194200,20060218,   61,    0
194200,20060219,   66,    0
194200,20060220,   41,    0
194200,20060221,   30,    0
194200,20060222,   30,    0
194200,20060223,   24,    0
194200,20060224,   -2,    0
