EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BRISIGHELLA (STAID: 2782).
Blended and updated with sources: 194464 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194464,20051201,-9999,    9
194464,20051202,-9999,    9
194464,20051203,-9999,    9
194464,20051204,-9999,    9
194464,20051205,-9999,    9
194464,20051206,-9999,    9
194464,20051207,-9999,    9
194464,20051208,-9999,    9
194464,20051209,-9999,    9
194464,20051210,-9999,    9
194464,20051211,-9999,    9
194464,20051212,-9999,    9
194464,20051213,-9999,    9
194464,20051214,-9999,    9
194464,20051215,-9999,    9
194464,20051216,-9999,    9
194464,20051217,-9999,    9
194464,20051218,-9999,    9
194464,20051219,-9999,    9
194464,20051220,-9999,    9
194464,20051221,-9999,    9
194464,20051222,-9999,    9
194464,20051223,-9999,    9
194464,20051224,-9999,    9
194464,20051225,-9999,    9
194464,20051226,-9999,    9
194464,20051227,-9999,    9
194464,20051228,-9999,    9
194464,20051229,-9999,    9
194464,20051230,-9999,    9
194464,20051231,   -9,    0
194464,20060101,   -4,    0
194464,20060102,   30,    0
194464,20060103,   51,    0
194464,20060104,   34,    0
194464,20060105,   27,    0
194464,20060106,   42,    0
194464,20060107,   43,    0
194464,20060108,   34,    0
194464,20060109,   16,    0
194464,20060110,   13,    0
194464,20060111,   25,    0
194464,20060112,   28,    0
194464,20060113,   14,    0
194464,20060114,    4,    0
194464,20060115,   -4,    0
194464,20060116,    0,    0
194464,20060117,   -5,    0
194464,20060118,    1,    0
194464,20060119,    5,    0
194464,20060120,   10,    0
194464,20060121,    5,    0
194464,20060122,   31,    0
194464,20060123,    9,    0
194464,20060124,  -17,    0
194464,20060125,  -22,    0
194464,20060126,  -13,    0
194464,20060127,    1,    0
194464,20060128,   32,    0
194464,20060129,   52,    0
194464,20060130,   59,    0
194464,20060131,   75,    0
194464,20060201,   73,    0
194464,20060202,   82,    0
194464,20060203,   75,    0
194464,20060204,   66,    0
194464,20060205,   22,    0
194464,20060206,   -6,    0
194464,20060207,    3,    0
194464,20060208,   27,    0
194464,20060209,   34,    0
194464,20060210,   39,    0
194464,20060211,   34,    0
194464,20060212,   28,    0
194464,20060213,   23,    0
194464,20060214,   38,    0
194464,20060215,   71,    0
194464,20060216,   31,    0
194464,20060217,  101,    0
194464,20060218,  122,    0
194464,20060219,  101,    0
194464,20060220,   83,    0
194464,20060221,   54,    0
194464,20060222,   61,    0
194464,20060223,   59,    0
194464,20060224,   39,    0
194464,20060225,   36,    0
194464,20060226,   53,    0
194464,20060227,   39,    0
194464,20060228,   24,    0
194464,20060301,   35,    0
194464,20060302,   26,    0
194464,20060303,   92,    0
194464,20060304,  134,    0
194464,20060305,  110,    0
194464,20060306,   34,    0
194464,20060307,   39,    0
194464,20060308,   52,    0
194464,20060309,   70,    0
194464,20060310,   64,    0
194464,20060311,   48,    0
194464,20060312,   22,    0
194464,20060313,   44,    0
194464,20060314,   39,    0
194464,20060315,   46,    0
194464,20060316,   38,    0
194464,20060317,   55,    0
194464,20060318,   46,    0
194464,20060319,   53,    0
194464,20060320,   71,    0
194464,20060321,   76,    0
194464,20060322,   72,    0
194464,20060323,   92,    0
194464,20060324,   81,    0
194464,20060325,   92,    0
194464,20060326,  131,    0
194464,20060327,  159,    0
194464,20060328,  148,    0
194464,20060329,  144,    0
194464,20060330,  146,    0
194464,20060331,  168,    0
194464,20060401,  148,    0
194464,20060402,  135,    0
194464,20060403,  122,    0
194464,20060404,  110,    0
194464,20060405,  140,    0
194464,20060406,   85,    0
194464,20060407,   76,    0
194464,20060408,  101,    0
194464,20060409,  142,    0
194464,20060410,  146,    0
194464,20060411,   98,    0
194464,20060412,   99,    0
194464,20060413,  119,    0
194464,20060414,  170,    0
194464,20060415,  157,    0
194464,20060416,  159,    0
194464,20060417,  145,    0
194464,20060418,  118,    0
194464,20060419,  129,    0
194464,20060420,  147,    0
194464,20060421,  155,    0
194464,20060422,  178,    0
194464,20060423,  199,    0
194464,20060424,  180,    0
194464,20060425,  176,    0
194464,20060426,  160,    0
194464,20060427,  130,    0
194464,20060428,  134,    0
194464,20060429,  143,    0
194464,20060430,  105,    0
194464,20060501,  122,    0
194464,20060502,  144,    0
194464,20060503,  140,    0
194464,20060504,  152,    0
194464,20060505,  147,    0
194464,20060506,  158,    0
194464,20060507,  161,    0
194464,20060508,  156,    0
194464,20060509,  129,    0
194464,20060510,  143,    0
194464,20060511,  153,    0
194464,20060512,  183,    0
194464,20060513,  196,    0
194464,20060514,  146,    0
194464,20060515,  174,    0
194464,20060516,  209,    0
194464,20060517,  220,    0
194464,20060518,  233,    0
194464,20060519,  227,    0
194464,20060520,  199,    0
194464,20060521,  214,    0
194464,20060522,  234,    0
194464,20060523,  213,    0
194464,20060524,  158,    0
194464,20060525,  160,    0
194464,20060526,  191,    0
194464,20060527,  233,    0
194464,20060528,  239,    0
194464,20060529,  211,    0
194464,20060530,  109,    0
194464,20060531,  123,    0
194464,20060601,  132,    0
194464,20060602,  129,    0
194464,20060603,  126,    0
194464,20060604,  181,    0
194464,20060605,  179,    0
194464,20060606,  150,    0
194464,20060607,  145,    0
194464,20060608,  154,    0
194464,20060609,  159,    0
194464,20060610,  188,    0
194464,20060611,  174,    0
194464,20060612,  177,    0
194464,20060613,  214,    0
194464,20060614,  236,    0
194464,20060615,  251,    0
194464,20060616,  247,    0
194464,20060617,  257,    0
194464,20060618,  250,    0
194464,20060619,  264,    0
194464,20060620,  261,    0
194464,20060621,  262,    0
194464,20060622,  278,    0
194464,20060623,  266,    0
194464,20060624,  253,    0
194464,20060625,  263,    0
194464,20060626,  276,    0
194464,20060627,  274,    0
194464,20060628,  274,    0
194464,20060629,  263,    0
194464,20060630,  258,    0
194464,20060701,  249,    0
194464,20060702,  235,    0
194464,20060703,  229,    0
194464,20060704,  224,    0
194464,20060705,  227,    0
194464,20060706,  236,    0
194464,20060707,  197,    0
194464,20060708,  218,    0
194464,20060709,  237,    0
194464,20060710,  249,    0
194464,20060711,  253,    0
194464,20060712,  252,    0
194464,20060713,  250,    0
194464,20060714,  252,    0
194464,20060715,  246,    0
194464,20060716,  228,    0
194464,20060717,  224,    0
194464,20060718,  225,    0
194464,20060719,  242,    0
194464,20060720,  266,    0
194464,20060721,  281,    0
194464,20060722,  289,    0
194464,20060723,  290,    0
194464,20060724,  282,    0
194464,20060725,  278,    0
194464,20060726,  278,    0
194464,20060727,  266,    0
194464,20060728,  283,    0
194464,20060729,  232,    0
194464,20060730,  255,    0
194464,20060731,  275,    0
194464,20060801,  272,    0
194464,20060802,  215,    0
194464,20060803,  214,    0
194464,20060804,  199,    0
194464,20060805,  199,    0
194464,20060806,  219,    0
194464,20060807,  251,    0
194464,20060808,  217,    0
194464,20060809,  196,    0
194464,20060810,  209,    0
194464,20060811,  181,    0
