EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CABANNE (STAID: 2783).
Blended and updated with sources: 194480 194712 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194480,20051201,-9999,    9
194480,20051202,-9999,    9
194480,20051203,-9999,    9
194480,20051204,-9999,    9
194480,20051205,-9999,    9
194480,20051206,-9999,    9
194480,20051207,-9999,    9
194480,20051208,-9999,    9
194480,20051209,-9999,    9
194480,20051210,-9999,    9
194480,20051211,-9999,    9
194480,20051212,-9999,    9
194480,20051213,-9999,    9
194480,20051214,-9999,    9
194480,20051215,-9999,    9
194480,20051216,-9999,    9
194480,20051217,-9999,    9
194480,20051218,-9999,    9
194480,20051219,-9999,    9
194480,20051220,-9999,    9
194480,20051221,-9999,    9
194480,20051222,-9999,    9
194480,20051223,-9999,    9
194480,20051224,-9999,    9
194480,20051225,-9999,    9
194480,20051226,-9999,    9
194480,20051227,-9999,    9
194480,20051228,-9999,    9
194480,20051229,-9999,    9
194480,20051230,-9999,    9
194480,20051231,   13,    0
194480,20060101,    5,    0
194480,20060102,   -1,    0
194480,20060103,   30,    0
194480,20060104,   18,    0
194480,20060105,    3,    0
194480,20060106,   -7,    0
194480,20060107,    0,    0
194480,20060108,    2,    0
194480,20060109,   -7,    0
194480,20060110,   -2,    0
194480,20060111,   -5,    0
194480,20060112,   -5,    0
194480,20060113,   -2,    0
194480,20060114,   -7,    0
194480,20060115,  -32,    0
194480,20060116,  -28,    0
194480,20060117,    9,    0
194480,20060118,   31,    0
194480,20060119,    2,    0
194480,20060120,   12,    0
194480,20060121,   43,    0
194480,20060122,   18,    0
194480,20060123,  -15,    0
194480,20060124,  -20,    0
194480,20060125,  -15,    0
194480,20060126,  -38,    0
194480,20060127,  -38,    0
194480,20060128,    4,    0
194480,20060129,   24,    0
194480,20060130,   50,    0
194480,20060131,   52,    0
194480,20060201,   36,    0
194480,20060202,   24,    0
194480,20060203,   26,    0
194480,20060204,   24,    0
194480,20060205,   -5,    0
194480,20060206,  -27,    0
194480,20060207,   -1,    0
194480,20060208,   30,    0
194480,20060209,    7,    0
194480,20060210,    3,    0
194480,20060211,  -13,    0
194480,20060212,  -29,    0
194480,20060213,  -12,    0
194480,20060214,   10,    0
194480,20060215,   51,    0
194480,20060216,   63,    0
194480,20060217,   51,    0
194480,20060218,   58,    0
194480,20060219,   57,    0
194480,20060220,   42,    0
194480,20060221,   23,    0
194480,20060222,   26,    0
194480,20060223,   33,    0
194480,20060224,    9,    0
194480,20060225,    9,    0
194480,20060226,   19,    0
194480,20060227,   16,    0
194480,20060228,    3,    0
194480,20060301,   -4,    0
194480,20060302,  -10,    0
194480,20060303,   51,    0
