EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CALESTANO (STAID: 2786).
Blended and updated with sources: 194512 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194512,20051201,-9999,    9
194512,20051202,-9999,    9
194512,20051203,-9999,    9
194512,20051204,-9999,    9
194512,20051205,-9999,    9
194512,20051206,-9999,    9
194512,20051207,-9999,    9
194512,20051208,-9999,    9
194512,20051209,-9999,    9
194512,20051210,-9999,    9
194512,20051211,-9999,    9
194512,20051212,-9999,    9
194512,20051213,-9999,    9
194512,20051214,-9999,    9
194512,20051215,-9999,    9
194512,20051216,-9999,    9
194512,20051217,-9999,    9
194512,20051218,-9999,    9
194512,20051219,-9999,    9
194512,20051220,-9999,    9
194512,20051221,-9999,    9
194512,20051222,-9999,    9
194512,20051223,-9999,    9
194512,20051224,-9999,    9
194512,20051225,-9999,    9
194512,20051226,-9999,    9
194512,20051227,-9999,    9
194512,20051228,-9999,    9
194512,20051229,-9999,    9
194512,20051230,-9999,    9
194512,20051231,    0,    0
194512,20060101,    9,    0
194512,20060102,   23,    0
194512,20060103,   27,    0
194512,20060104,   12,    0
194512,20060105,   29,    0
194512,20060106,   24,    0
194512,20060107,   24,    0
194512,20060108,   12,    0
194512,20060109,    9,    0
194512,20060110,    0,    0
194512,20060111,   12,    0
194512,20060112,    3,    0
194512,20060113,   -7,    0
194512,20060114,   -1,    0
194512,20060115,  -21,    0
194512,20060116,    5,    0
194512,20060117,   10,    0
194512,20060118,   13,    0
194512,20060119,   14,    0
194512,20060120,   19,    0
194512,20060121,   38,    0
194512,20060122,   30,    0
194512,20060123,    9,    0
194512,20060124,   -6,    0
194512,20060125,  -17,    0
194512,20060126,  -20,    0
194512,20060127,   -1,    0
194512,20060128,   29,    0
194512,20060129,   34,    0
194512,20060130,   39,    0
194512,20060131,   54,    0
194512,20060201,   53,    0
194512,20060202,   53,    0
194512,20060203,   53,    0
194512,20060204,   43,    0
194512,20060205,   18,    0
194512,20060206,    0,    0
194512,20060207,   -1,    0
194512,20060208,   16,    0
194512,20060209,   50,    0
194512,20060210,   37,    0
194512,20060211,   29,    0
194512,20060212,   18,    0
194512,20060213,   17,    0
194512,20060214,   29,    0
194512,20060215,   34,    0
194512,20060216,   32,    0
194512,20060217,   98,    0
194512,20060218,  111,    0
194512,20060219,   59,    0
194512,20060220,   67,    0
194512,20060221,   53,    0
194512,20060222,   62,    0
194512,20060223,   64,    0
194512,20060224,   27,    0
194512,20060225,   34,    0
194512,20060226,   39,    0
194512,20060227,   35,    0
194512,20060228,   28,    0
194512,20060301,   31,    0
194512,20060302,   35,    0
194512,20060303,   78,    0
194512,20060304,  141,    0
194512,20060305,  115,    0
194512,20060306,   50,    0
194512,20060307,   49,    0
194512,20060308,   50,    0
194512,20060309,   79,    0
194512,20060310,   88,    0
194512,20060311,   50,    0
194512,20060312,   27,    0
194512,20060313,   38,    0
194512,20060314,   47,    0
194512,20060315,   46,    0
194512,20060316,   38,    0
194512,20060317,   59,    0
194512,20060318,   58,    0
194512,20060319,   67,    0
194512,20060320,   87,    0
194512,20060321,   81,    0
194512,20060322,   85,    0
194512,20060323,   99,    0
194512,20060324,   82,    0
194512,20060325,   93,    0
194512,20060326,  128,    0
194512,20060327,  135,    0
194512,20060328,  143,    0
194512,20060329,  144,    0
194512,20060330,  143,    0
194512,20060331,  156,    0
194512,20060401,  131,    0
194512,20060402,  135,    0
194512,20060403,  140,    0
194512,20060404,  111,    0
194512,20060405,  114,    0
194512,20060406,   79,    0
194512,20060407,   79,    0
194512,20060408,  102,    0
194512,20060409,  116,    0
194512,20060410,  120,    0
194512,20060411,   73,    0
194512,20060412,   93,    0
194512,20060413,  128,    0
194512,20060414,  166,    0
194512,20060415,  145,    0
194512,20060416,  159,    0
194512,20060417,  139,    0
194512,20060418,  122,    0
194512,20060419,  141,    0
194512,20060420,  139,    0
194512,20060421,  148,    0
194512,20060422,  175,    0
194512,20060423,  192,    0
194512,20060424,  178,    0
194512,20060425,  159,    0
194512,20060426,  160,    0
194512,20060427,  161,    0
194512,20060428,  153,    0
194512,20060429,  155,    0
194512,20060430,  122,    0
194512,20060501,  138,    0
194512,20060502,  147,    0
194512,20060503,  158,    0
194512,20060504,  168,    0
194512,20060505,  159,    0
194512,20060506,  155,    0
194512,20060507,  163,    0
194512,20060508,  164,    0
194512,20060509,  125,    0
194512,20060510,  158,    0
194512,20060511,  163,    0
194512,20060512,  187,    0
194512,20060513,  181,    0
194512,20060514,  191,    0
194512,20060515,  186,    0
194512,20060516,  211,    0
