EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CATTOLICA (STAID: 2795).
Blended and updated with sources: 194840 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194840,20060701,-9999,    9
194840,20060702,-9999,    9
194840,20060703,-9999,    9
194840,20060704,-9999,    9
194840,20060705,-9999,    9
194840,20060706,-9999,    9
194840,20060707,-9999,    9
194840,20060708,-9999,    9
194840,20060709,-9999,    9
194840,20060710,-9999,    9
194840,20060711,-9999,    9
194840,20060712,-9999,    9
194840,20060713,-9999,    9
194840,20060714,-9999,    9
194840,20060715,-9999,    9
194840,20060716,-9999,    9
194840,20060717,-9999,    9
194840,20060718,-9999,    9
194840,20060719,-9999,    9
194840,20060720,-9999,    9
194840,20060721,-9999,    9
194840,20060722,-9999,    9
194840,20060723,-9999,    9
194840,20060724,-9999,    9
194840,20060725,-9999,    9
194840,20060726,-9999,    9
194840,20060727,  281,    0
194840,20060728,  279,    0
194840,20060729,  238,    0
194840,20060730,  248,    0
194840,20060731,  268,    0
194840,20060801,  264,    0
194840,20060802,  233,    0
194840,20060803,  245,    0
194840,20060804,  204,    0
194840,20060805,  201,    0
194840,20060806,  221,    0
194840,20060807,  240,    0
194840,20060808,  229,    0
194840,20060809,  211,    0
194840,20060810,  208,    0
194840,20060811,  195,    0
194840,20060812,  183,    0
194840,20060813,  193,    0
194840,20060814,  215,    0
194840,20060815,  224,    0
194840,20060816,  248,    0
194840,20060817,  253,    0
194840,20060818,  268,    0
194840,20060819,  236,    0
194840,20060820,  235,    0
194840,20060821,  221,    0
194840,20060822,  220,    0
194840,20060823,  227,    0
194840,20060824,  241,    0
194840,20060825,  230,    0
194840,20060826,  208,    0
194840,20060827,  193,    0
194840,20060828,  222,    0
194840,20060829,  216,    0
194840,20060830,  179,    0
194840,20060831,  183,    0
194840,20060901,  194,    0
194840,20060902,  200,    0
194840,20060903,  213,    0
194840,20060904,  231,    0
