EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CIVITELLA DI ROMAGNA (STAID: 2798).
Blended and updated with sources: 194952 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194952,20051201,-9999,    9
194952,20051202,-9999,    9
194952,20051203,-9999,    9
194952,20051204,-9999,    9
194952,20051205,-9999,    9
194952,20051206,-9999,    9
194952,20051207,-9999,    9
194952,20051208,-9999,    9
194952,20051209,-9999,    9
194952,20051210,-9999,    9
194952,20051211,-9999,    9
194952,20051212,-9999,    9
194952,20051213,-9999,    9
194952,20051214,-9999,    9
194952,20051215,-9999,    9
194952,20051216,-9999,    9
194952,20051217,-9999,    9
194952,20051218,-9999,    9
194952,20051219,-9999,    9
194952,20051220,-9999,    9
194952,20051221,-9999,    9
194952,20051222,-9999,    9
194952,20051223,-9999,    9
194952,20051224,-9999,    9
194952,20051225,-9999,    9
194952,20051226,-9999,    9
194952,20051227,-9999,    9
194952,20051228,-9999,    9
194952,20051229,-9999,    9
194952,20051230,-9999,    9
194952,20051231,   -5,    0
194952,20060101,  -10,    0
194952,20060102,   17,    0
194952,20060103,   23,    0
194952,20060104,   15,    0
194952,20060105,   11,    0
194952,20060106,   20,    0
194952,20060107,   27,    0
194952,20060108,   12,    0
194952,20060109,   -6,    0
194952,20060110,    1,    0
194952,20060111,   19,    0
194952,20060112,   17,    0
194952,20060113,    6,    0
194952,20060114,   -1,    0
194952,20060115,  -15,    0
194952,20060116,  -18,    0
194952,20060117,   -1,    0
194952,20060118,    4,    0
194952,20060119,   37,    0
194952,20060120,   53,    0
194952,20060121,   51,    0
194952,20060122,   13,    0
194952,20060123,  -23,    0
194952,20060124,  -44,    0
194952,20060125,  -42,    0
194952,20060126,  -10,    0
194952,20060127,   17,    0
194952,20060128,   37,    0
194952,20060129,   43,    0
194952,20060130,   47,    0
194952,20060131,   64,    0
194952,20060201,   78,    0
194952,20060202,   91,    0
194952,20060203,   77,    0
194952,20060204,   54,    0
194952,20060205,   -2,    0
194952,20060206,  -26,    0
194952,20060207,   -5,    0
194952,20060208,   32,    0
194952,20060209,   38,    0
194952,20060210,   30,    0
194952,20060211,   26,    0
194952,20060212,   17,    0
194952,20060213,   15,    0
194952,20060214,   33,    0
194952,20060215,   71,    0
194952,20060216,   95,    0
194952,20060217,  101,    0
194952,20060218,  100,    0
194952,20060219,  102,    0
194952,20060220,   76,    0
194952,20060221,   47,    0
194952,20060222,   47,    0
194952,20060223,   39,    0
194952,20060224,    4,    0
194952,20060225,   13,    0
194952,20060226,   43,    0
194952,20060227,   22,    0
194952,20060228,    2,    0
194952,20060301,   17,    0
