EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, COLLAGNA (STAID: 2800).
Blended and updated with sources: 195000 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195000,20051201,-9999,    9
195000,20051202,-9999,    9
195000,20051203,-9999,    9
195000,20051204,-9999,    9
195000,20051205,-9999,    9
195000,20051206,-9999,    9
195000,20051207,-9999,    9
195000,20051208,-9999,    9
195000,20051209,-9999,    9
195000,20051210,-9999,    9
195000,20051211,-9999,    9
195000,20051212,-9999,    9
195000,20051213,-9999,    9
195000,20051214,-9999,    9
195000,20051215,-9999,    9
195000,20051216,-9999,    9
195000,20051217,-9999,    9
195000,20051218,-9999,    9
195000,20051219,-9999,    9
195000,20051220,-9999,    9
195000,20051221,-9999,    9
195000,20051222,-9999,    9
195000,20051223,-9999,    9
195000,20051224,-9999,    9
195000,20051225,-9999,    9
195000,20051226,-9999,    9
195000,20051227,-9999,    9
195000,20051228,-9999,    9
195000,20051229,-9999,    9
195000,20051230,-9999,    9
195000,20051231,  -20,    0
195000,20060101,  -10,    0
195000,20060102,    3,    0
195000,20060103,   14,    0
195000,20060104,    0,    0
195000,20060105,  -16,    0
195000,20060106,   -8,    0
195000,20060107,    6,    0
195000,20060108,   -7,    0
195000,20060109,  -21,    0
195000,20060110,  -13,    0
195000,20060111,    6,    0
195000,20060112,    9,    0
195000,20060113,  -12,    0
195000,20060114,   -7,    0
195000,20060115,  -34,    0
195000,20060116,  -31,    0
195000,20060117,    0,    0
195000,20060118,   51,    0
195000,20060119,   42,    0
195000,20060120,   49,    0
195000,20060121,   45,    0
195000,20060122,   11,    0
195000,20060123,  -30,    0
195000,20060124,  -54,    0
195000,20060125,  -36,    0
195000,20060126,  -58,    0
195000,20060127,  -32,    0
195000,20060128,    5,    0
195000,20060129,   27,    0
195000,20060130,   32,    0
195000,20060131,   51,    0
195000,20060201,   76,    0
195000,20060202,   88,    0
195000,20060203,   50,    0
195000,20060204,   38,    0
195000,20060205,  -14,    0
195000,20060206,  -31,    0
195000,20060207,    1,    0
195000,20060208,   32,    0
195000,20060209,   34,    0
195000,20060210,   11,    0
195000,20060211,    1,    0
195000,20060212,    0,    0
195000,20060213,    4,    0
195000,20060214,   21,    0
195000,20060215,   44,    0
195000,20060216,   70,    0
195000,20060217,   64,    0
195000,20060218,   64,    0
195000,20060219,   64,    0
195000,20060220,   43,    0
195000,20060221,   12,    0
195000,20060222,   17,    0
195000,20060223,   16,    0
195000,20060224,   -5,    0
195000,20060225,    0,    0
195000,20060226,   24,    0
195000,20060227,    2,    0
195000,20060228,   -9,    0
195000,20060301,    7,    0
195000,20060302,   -5,    0
195000,20060303,   48,    0
195000,20060304,   68,    0
195000,20060305,   58,    0
195000,20060306,   -5,    0
195000,20060307,    0,    0
195000,20060308,   18,    0
195000,20060309,   70,    0
195000,20060310,   51,    0
195000,20060311,   20,    0
195000,20060312,  -10,    0
195000,20060313,   -1,    0
195000,20060314,   26,    0
195000,20060315,   36,    0
195000,20060316,    9,    0
195000,20060317,   30,    0
195000,20060318,   30,    0
195000,20060319,   29,    0
195000,20060320,   60,    0
195000,20060321,   51,    0
195000,20060322,   44,    0
195000,20060323,   71,    0
195000,20060324,   61,    0
195000,20060325,   70,    0
195000,20060326,   94,    0
195000,20060327,  111,    0
195000,20060328,  101,    0
195000,20060329,   90,    0
195000,20060330,   83,    0
195000,20060331,  100,    0
195000,20060401,  107,    0
195000,20060402,  104,    0
195000,20060403,  112,    0
195000,20060404,   99,    0
195000,20060405,   92,    0
195000,20060406,   46,    0
195000,20060407,   43,    0
195000,20060408,   71,    0
195000,20060409,  101,    0
195000,20060410,  103,    0
195000,20060411,   39,    0
195000,20060412,   60,    0
195000,20060413,   89,    0
195000,20060414,  118,    0
195000,20060415,  109,    0
195000,20060416,  111,    0
195000,20060417,  114,    0
195000,20060418,   90,    0
195000,20060419,  104,    0
195000,20060420,  108,    0
195000,20060421,  109,    0
195000,20060422,  134,    0
195000,20060423,  141,    0
195000,20060424,  146,    0
195000,20060425,  140,    0
195000,20060426,  114,    0
195000,20060427,  112,    0
195000,20060428,  103,    0
195000,20060429,  109,    0
195000,20060430,   77,    0
195000,20060501,   99,    0
195000,20060502,  112,    0
195000,20060503,  122,    0
195000,20060504,  126,    0
195000,20060505,  117,    0
195000,20060506,  120,    0
195000,20060507,  124,    0
195000,20060508,  129,    0
195000,20060509,   86,    0
195000,20060510,  104,    0
195000,20060511,  107,    0
195000,20060512,  144,    0
195000,20060513,  138,    0
195000,20060514,  137,    0
195000,20060515,  154,    0
195000,20060516,  166,    0
195000,20060517,  175,    0
195000,20060518,  194,    0
195000,20060519,  178,    0
195000,20060520,  145,    0
195000,20060521,  146,    0
195000,20060522,  189,    0
195000,20060523,  159,    0
195000,20060524,  138,    0
195000,20060525,  149,    0
195000,20060526,  171,    0
195000,20060527,  205,    0
195000,20060528,  202,    0
195000,20060529,  172,    0
195000,20060530,   99,    0
195000,20060531,   79,    0
195000,20060601,   96,    0
195000,20060602,   66,    0
195000,20060603,  117,    0
195000,20060604,  138,    0
195000,20060605,  141,    0
195000,20060606,  128,    0
195000,20060607,  119,    0
195000,20060608,  133,    0
195000,20060609,  134,    0
195000,20060610,  153,    0
195000,20060611,  151,    0
195000,20060612,  150,    0
195000,20060613,  182,    0
195000,20060614,  197,    0
195000,20060615,  206,    0
195000,20060616,  204,    0
195000,20060617,  213,    0
195000,20060618,  220,    0
195000,20060619,  229,    0
195000,20060620,  238,    0
195000,20060621,  234,    0
195000,20060622,  240,    0
195000,20060623,  232,    0
195000,20060624,  230,    0
195000,20060625,  231,    0
195000,20060626,  237,    0
195000,20060627,  242,    0
195000,20060628,  252,    0
195000,20060629,  219,    0
195000,20060630,  228,    0
195000,20060701,  230,    0
195000,20060702,  208,    0
195000,20060703,  211,    0
195000,20060704,  211,    0
195000,20060705,  217,    0
195000,20060706,  201,    0
195000,20060707,  161,    0
195000,20060708,  185,    0
195000,20060709,  206,    0
195000,20060710,  223,    0
195000,20060711,  231,    0
195000,20060712,  237,    0
195000,20060713,  204,    0
195000,20060714,  214,    0
195000,20060715,  221,    0
195000,20060716,  213,    0
195000,20060717,  204,    0
195000,20060718,  207,    0
195000,20060719,  222,    0
195000,20060720,  243,    0
195000,20060721,  253,    0
195000,20060722,  253,    0
195000,20060723,  240,    0
195000,20060724,  235,    0
195000,20060725,  235,    0
195000,20060726,  229,    0
195000,20060727,  226,    0
195000,20060728,  235,    0
195000,20060729,  199,    0
195000,20060730,  220,    0
195000,20060731,  232,    0
195000,20060801,  220,    0
195000,20060802,  195,    0
195000,20060803,  165,    0
195000,20060804,  164,    0
195000,20060805,  158,    0
195000,20060806,  175,    0
195000,20060807,  192,    0
195000,20060808,  187,    0
195000,20060809,  180,    0
195000,20060810,  161,    0
195000,20060811,  149,    0
195000,20060812,  131,    0
195000,20060813,  143,    0
195000,20060814,  144,    0
195000,20060815,  169,    0
195000,20060816,  165,    0
195000,20060817,  198,    0
195000,20060818,  196,    0
195000,20060819,  181,    0
195000,20060820,  194,    0
195000,20060821,  181,    0
195000,20060822,  191,    0
195000,20060823,  192,    0
195000,20060824,  183,    0
195000,20060825,  172,    0
195000,20060826,  161,    0
195000,20060827,  164,    0
