EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, COPPARO (STAID: 2801).
Blended and updated with sources: 195040 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195040,20051201,-9999,    9
195040,20051202,-9999,    9
195040,20051203,-9999,    9
195040,20051204,-9999,    9
195040,20051205,-9999,    9
195040,20051206,-9999,    9
195040,20051207,-9999,    9
195040,20051208,-9999,    9
195040,20051209,-9999,    9
195040,20051210,-9999,    9
195040,20051211,-9999,    9
195040,20051212,-9999,    9
195040,20051213,-9999,    9
195040,20051214,-9999,    9
195040,20051215,-9999,    9
195040,20051216,-9999,    9
195040,20051217,-9999,    9
195040,20051218,-9999,    9
195040,20051219,-9999,    9
195040,20051220,-9999,    9
195040,20051221,-9999,    9
195040,20051222,-9999,    9
195040,20051223,-9999,    9
195040,20051224,-9999,    9
195040,20051225,-9999,    9
195040,20051226,-9999,    9
195040,20051227,-9999,    9
195040,20051228,-9999,    9
195040,20051229,-9999,    9
195040,20051230,-9999,    9
195040,20051231,  -10,    0
195040,20060101,   -1,    0
195040,20060102,    9,    0
195040,20060103,   28,    0
195040,20060104,   32,    0
195040,20060105,   34,    0
195040,20060106,   21,    0
195040,20060107,   24,    0
195040,20060108,   32,    0
195040,20060109,   10,    0
195040,20060110,   -3,    0
195040,20060111,    0,    0
195040,20060112,    9,    0
195040,20060113,    8,    0
195040,20060114,  -30,    0
195040,20060115,   -1,    0
195040,20060116,    3,    0
195040,20060117,    0,    0
195040,20060118,    1,    0
195040,20060119,  -12,    0
195040,20060120,  -29,    0
195040,20060121,  -12,    0
195040,20060122,   15,    0
195040,20060123,    7,    0
195040,20060124,  -12,    0
195040,20060125,  -28,    0
195040,20060126,  -17,    0
195040,20060127,   33,    0
195040,20060128,   58,    0
195040,20060129,   72,    0
195040,20060130,   61,    0
195040,20060131,   51,    0
195040,20060201,   28,    0
195040,20060202,   41,    0
195040,20060203,   33,    0
195040,20060204,   24,    0
195040,20060205,   21,    0
195040,20060206,   -9,    0
195040,20060207,  -17,    0
