EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CORNIOLO (STAID: 2802).
Blended and updated with sources: 195056 195176 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195056,20051201,-9999,    9
195056,20051202,-9999,    9
195056,20051203,-9999,    9
195056,20051204,-9999,    9
195056,20051205,-9999,    9
195056,20051206,-9999,    9
195056,20051207,-9999,    9
195056,20051208,-9999,    9
195056,20051209,-9999,    9
195056,20051210,-9999,    9
195056,20051211,-9999,    9
195056,20051212,-9999,    9
195056,20051213,-9999,    9
195056,20051214,-9999,    9
195056,20051215,-9999,    9
195056,20051216,-9999,    9
195056,20051217,-9999,    9
195056,20051218,-9999,    9
195056,20051219,-9999,    9
195056,20051220,-9999,    9
195056,20051221,-9999,    9
195056,20051222,-9999,    9
195056,20051223,-9999,    9
195056,20051224,-9999,    9
195056,20051225,-9999,    9
195056,20051226,-9999,    9
195056,20051227,-9999,    9
195056,20051228,-9999,    9
195056,20051229,-9999,    9
195056,20051230,-9999,    9
195056,20051231,   15,    0
195056,20060101,   28,    0
195056,20060102,    0,    0
195056,20060103,   -7,    0
195056,20060104,  -15,    0
195056,20060105,  -24,    0
195056,20060106,  -20,    0
195056,20060107,  -11,    0
195056,20060108,  -21,    0
195056,20060109,  -39,    0
195056,20060110,  -38,    0
195056,20060111,   -5,    0
195056,20060112,   -7,    0
195056,20060113,  -28,    0
195056,20060114,  -30,    0
195056,20060115,  -41,    0
195056,20060116,  -36,    0
195056,20060117,    3,    0
195056,20060118,   32,    0
195056,20060119,   26,    0
195056,20060120,   37,    0
195056,20060121,   27,    0
195056,20060122,  -12,    0
195056,20060123,  -64,    0
195056,20060124,  -87,    0
195056,20060125,  -70,    0
195056,20060126,  -23,    0
195056,20060127,    3,    0
195056,20060128,   29,    0
195056,20060129,   26,    0
195056,20060130,   27,    0
195056,20060131,   38,    0
195056,20060201,   60,    0
195056,20060202,   77,    0
195056,20060203,   38,    0
195056,20060204,   24,    0
195056,20060205,  -41,    0
195056,20060206,  -60,    0
195056,20060207,  -24,    0
195056,20060208,   14,    0
195056,20060209,   19,    0
195056,20060210,   -1,    0
195056,20060211,   -8,    0
195056,20060212,  -14,    0
195056,20060213,   -7,    0
195056,20060214,    8,    0
195056,20060215,   26,    0
195056,20060216,   57,    0
195056,20060217,   48,    0
195056,20060218,   52,    0
195056,20060219,   52,    0
195056,20060220,   29,    0
