EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, COTTEDE (STAID: 2804).
Blended and updated with sources: 195104 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195104,20051201,-9999,    9
195104,20051202,-9999,    9
195104,20051203,-9999,    9
195104,20051204,-9999,    9
195104,20051205,-9999,    9
195104,20051206,-9999,    9
195104,20051207,-9999,    9
195104,20051208,-9999,    9
195104,20051209,-9999,    9
195104,20051210,-9999,    9
195104,20051211,-9999,    9
195104,20051212,-9999,    9
195104,20051213,-9999,    9
195104,20051214,-9999,    9
195104,20051215,-9999,    9
195104,20051216,-9999,    9
195104,20051217,-9999,    9
195104,20051218,-9999,    9
195104,20051219,-9999,    9
195104,20051220,-9999,    9
195104,20051221,-9999,    9
195104,20051222,-9999,    9
195104,20051223,-9999,    9
195104,20051224,-9999,    9
195104,20051225,-9999,    9
195104,20051226,-9999,    9
195104,20051227,-9999,    9
195104,20051228,-9999,    9
195104,20051229,-9999,    9
195104,20051230,-9999,    9
195104,20051231,    7,    0
195104,20060101,   26,    0
195104,20060102,    3,    0
195104,20060103,    4,    0
195104,20060104,  -11,    0
195104,20060105,  -23,    0
195104,20060106,   -9,    0
195104,20060107,    2,    0
195104,20060108,   -8,    0
195104,20060109,  -31,    0
195104,20060110,  -19,    0
195104,20060111,    3,    0
195104,20060112,    4,    0
195104,20060113,  -15,    0
195104,20060114,  -13,    0
195104,20060115,  -34,    0
195104,20060116,  -36,    0
195104,20060117,    7,    0
195104,20060118,   34,    0
195104,20060119,   30,    0
195104,20060120,   38,    0
195104,20060121,   28,    0
195104,20060122,   -6,    0
195104,20060123,  -41,    0
195104,20060124,  -73,    0
195104,20060125,  -53,    0
195104,20060126,  -31,    0
195104,20060127,    3,    0
195104,20060128,   19,    0
195104,20060129,   23,    0
195104,20060130,   27,    0
195104,20060131,   45,    0
195104,20060201,   64,    0
195104,20060202,   74,    0
195104,20060203,   38,    0
195104,20060204,   33,    0
195104,20060205,  -22,    0
195104,20060206,  -42,    0
195104,20060207,  -15,    0
195104,20060208,    1,    0
195104,20060209,   25,    0
195104,20060210,    7,    0
195104,20060211,    0,    0
195104,20060212,   -1,    0
195104,20060213,    0,    0
195104,20060214,   18,    0
195104,20060215,   24,    0
195104,20060216,   53,    0
195104,20060217,   54,    0
195104,20060218,   52,    0
195104,20060219,   53,    0
195104,20060220,   32,    0
195104,20060221,   17,    0
195104,20060222,   20,    0
195104,20060223,   17,    0
195104,20060224,   -8,    0
195104,20060225,   -4,    0
195104,20060226,    8,    0
195104,20060227,    0,    0
195104,20060228,  -17,    0
195104,20060301,   -5,    0
195104,20060302,   -7,    0
195104,20060303,   25,    0
195104,20060304,   55,    0
195104,20060305,   47,    0
195104,20060306,  -17,    0
195104,20060307,  -11,    0
195104,20060308,   15,    0
195104,20060309,   35,    0
195104,20060310,   37,    0
195104,20060311,    7,    0
195104,20060312,  -18,    0
195104,20060313,  -11,    0
195104,20060314,    8,    0
195104,20060315,   26,    0
195104,20060316,    7,    0
195104,20060317,   10,    0
195104,20060318,   18,    0
195104,20060319,   17,    0
195104,20060320,   47,    0
195104,20060321,   63,    0
195104,20060322,   47,    0
195104,20060323,   56,    0
195104,20060324,   46,    0
195104,20060325,   66,    0
195104,20060326,   78,    0
195104,20060327,   86,    0
195104,20060328,   72,    0
195104,20060329,   77,    0
195104,20060330,   77,    0
195104,20060331,   89,    0
195104,20060401,  103,    0
195104,20060402,  104,    0
195104,20060403,   78,    0
195104,20060404,   95,    0
195104,20060405,   80,    0
195104,20060406,   50,    0
195104,20060407,   34,    0
195104,20060408,   72,    0
195104,20060409,   90,    0
195104,20060410,  101,    0
195104,20060411,   39,    0
195104,20060412,   57,    0
195104,20060413,   77,    0
195104,20060414,   97,    0
195104,20060415,   96,    0
195104,20060416,   93,    0
195104,20060417,  118,    0
195104,20060418,   82,    0
195104,20060419,   85,    0
195104,20060420,  106,    0
195104,20060421,  112,    0
195104,20060422,  138,    0
195104,20060423,  131,    0
195104,20060424,  158,    0
195104,20060425,  151,    0
195104,20060426,  126,    0
195104,20060427,  103,    0
195104,20060428,   95,    0
195104,20060429,  105,    0
195104,20060430,   70,    0
195104,20060501,  102,    0
195104,20060502,  106,    0
195104,20060503,  120,    0
195104,20060504,  123,    0
195104,20060505,  109,    0
195104,20060506,  119,    0
195104,20060507,  124,    0
195104,20060508,  118,    0
195104,20060509,   85,    0
195104,20060510,   94,    0
195104,20060511,  113,    0
195104,20060512,  146,    0
195104,20060513,  131,    0
195104,20060514,  109,    0
195104,20060515,  152,    0
195104,20060516,  159,    0
195104,20060517,  151,    0
195104,20060518,  168,    0
195104,20060519,  167,    0
195104,20060520,  138,    0
195104,20060521,  155,    0
195104,20060522,  179,    0
195104,20060523,  157,    0
195104,20060524,  129,    0
195104,20060525,  147,    0
195104,20060526,  165,    0
195104,20060527,  172,    0
195104,20060528,  169,    0
195104,20060529,  154,    0
195104,20060530,   78,    0
195104,20060531,   77,    0
195104,20060601,   87,    0
195104,20060602,   72,    0
195104,20060603,   94,    0
195104,20060604,  134,    0
195104,20060605,  119,    0
195104,20060606,  118,    0
195104,20060607,  112,    0
195104,20060608,  129,    0
195104,20060609,  128,    0
195104,20060610,  157,    0
195104,20060611,  137,    0
195104,20060612,  142,    0
195104,20060613,  183,    0
195104,20060614,  182,    0
195104,20060615,  181,    0
195104,20060616,  181,    0
195104,20060617,  199,    0
195104,20060618,  215,    0
195104,20060619,  213,    0
195104,20060620,  230,    0
195104,20060621,  226,    0
195104,20060622,  216,    0
195104,20060623,  225,    0
195104,20060624,  233,    0
195104,20060625,  244,    0
195104,20060626,  243,    0
195104,20060627,  244,    0
195104,20060628,  242,    0
195104,20060629,  225,    0
195104,20060630,  225,    0
195104,20060701,  227,    0
195104,20060702,  203,    0
195104,20060703,  200,    0
195104,20060704,  195,    0
195104,20060705,  207,    0
195104,20060706,  203,    0
195104,20060707,  164,    0
195104,20060708,  178,    0
195104,20060709,  207,    0
195104,20060710,  219,    0
195104,20060711,  228,    0
195104,20060712,  231,    0
195104,20060713,  220,    0
195104,20060714,  223,    0
195104,20060715,  225,    0
195104,20060716,  204,    0
195104,20060717,  197,    0
195104,20060718,  203,    0
195104,20060719,  224,    0
195104,20060720,  249,    0
195104,20060721,  261,    0
195104,20060722,  261,    0
195104,20060723,  238,    0
195104,20060724,  236,    0
195104,20060725,  242,    0
195104,20060726,  216,    0
195104,20060727,  214,    0
195104,20060728,  230,    0
195104,20060729,  201,    0
195104,20060730,  225,    0
195104,20060731,  233,    0
195104,20060801,  222,    0
195104,20060802,  194,    0
195104,20060803,  169,    0
195104,20060804,  164,    0
195104,20060805,  165,    0
195104,20060806,  167,    0
195104,20060807,  188,    0
195104,20060808,  185,    0
195104,20060809,  173,    0
195104,20060810,  174,    0
195104,20060811,  151,    0
195104,20060812,  124,    0
195104,20060813,  144,    0
195104,20060814,  140,    0
195104,20060815,  166,    0
195104,20060816,  178,    0
195104,20060817,  199,    0
195104,20060818,  200,    0
195104,20060819,  199,    0
195104,20060820,  192,    0
195104,20060821,  184,    0
195104,20060822,  200,    0
195104,20060823,  197,    0
195104,20060824,  176,    0
195104,20060825,  176,    0
195104,20060826,  166,    0
195104,20060827,  162,    0
195104,20060828,  168,    0
195104,20060829,  169,    0
195104,20060830,  137,    0
195104,20060831,  161,    0
195104,20060901,  177,    0
195104,20060902,  178,    0
195104,20060903,  181,    0
195104,20060904,  194,    0
195104,20060905,  212,    0
195104,20060906,  238,    0
195104,20060907,  235,    0
195104,20060908,  191,    0
195104,20060909,  162,    0
195104,20060910,  153,    0
195104,20060911,  168,    0
195104,20060912,  169,    0
195104,20060913,  178,    0
195104,20060914,  164,    0
195104,20060915,  167,    0
195104,20060916,  143,    0
195104,20060917,  128,    0
195104,20060918,  150,    0
195104,20060919,  162,    0
195104,20060920,  172,    0
195104,20060921,  173,    0
195104,20060922,  174,    0
