EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, DIGA DEL BRUGNETO (STAID: 2806).
Blended and updated with sources: 195144 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195144,20051201,-9999,    9
195144,20051202,-9999,    9
195144,20051203,-9999,    9
195144,20051204,-9999,    9
195144,20051205,-9999,    9
195144,20051206,-9999,    9
195144,20051207,-9999,    9
195144,20051208,-9999,    9
195144,20051209,-9999,    9
195144,20051210,-9999,    9
195144,20051211,-9999,    9
195144,20051212,-9999,    9
195144,20051213,-9999,    9
195144,20051214,-9999,    9
195144,20051215,-9999,    9
195144,20051216,-9999,    9
195144,20051217,-9999,    9
195144,20051218,-9999,    9
195144,20051219,-9999,    9
195144,20051220,-9999,    9
195144,20051221,-9999,    9
195144,20051222,-9999,    9
195144,20051223,-9999,    9
195144,20051224,-9999,    9
195144,20051225,-9999,    9
195144,20051226,-9999,    9
195144,20051227,-9999,    9
195144,20051228,-9999,    9
195144,20051229,-9999,    9
195144,20051230,-9999,    9
195144,20051231,   -9,    0
195144,20060101,  -16,    0
195144,20060102,   -5,    0
195144,20060103,   29,    0
195144,20060104,   14,    0
195144,20060105,    0,    0
195144,20060106,   -4,    0
195144,20060107,    0,    0
195144,20060108,    4,    0
195144,20060109,   -5,    0
195144,20060110,    7,    0
195144,20060111,   -4,    0
195144,20060112,   -7,    0
195144,20060113,    5,    0
195144,20060114,   -1,    0
195144,20060115,  -38,    0
195144,20060116,  -32,    0
195144,20060117,   -1,    0
195144,20060118,   26,    0
195144,20060119,   10,    0
195144,20060120,   17,    0
195144,20060121,   33,    0
195144,20060122,   18,    0
195144,20060123,  -14,    0
195144,20060124,  -25,    0
195144,20060125,  -15,    0
195144,20060126,  -39,    0
195144,20060127,  -39,    0
195144,20060128,   -4,    0
195144,20060129,   13,    0
195144,20060130,   53,    0
195144,20060131,   54,    0
195144,20060201,   28,    0
195144,20060202,   26,    0
195144,20060203,   26,    0
195144,20060204,   23,    0
195144,20060205,   -1,    0
195144,20060206,  -23,    0
195144,20060207,   -8,    0
195144,20060208,   23,    0
195144,20060209,    6,    0
195144,20060210,   14,    0
195144,20060211,  -11,    0
195144,20060212,  -15,    0
195144,20060213,   -7,    0
195144,20060214,    9,    0
195144,20060215,   44,    0
195144,20060216,   48,    0
195144,20060217,   47,    0
195144,20060218,   44,    0
195144,20060219,   44,    0
195144,20060220,   36,    0
195144,20060221,   21,    0
195144,20060222,   21,    0
195144,20060223,   28,    0
195144,20060224,   10,    0
195144,20060225,    9,    0
195144,20060226,   19,    0
195144,20060227,   16,    0
195144,20060228,    0,    0
195144,20060301,   -1,    0
195144,20060302,    0,    0
195144,20060303,   47,    0
195144,20060304,   66,    0
195144,20060305,   66,    0
195144,20060306,   21,    0
195144,20060307,   14,    0
195144,20060308,    6,    0
195144,20060309,   53,    0
195144,20060310,   62,    0
195144,20060311,   25,    0
195144,20060312,   -1,    0
195144,20060313,   13,    0
195144,20060314,   23,    0
195144,20060315,   26,    0
195144,20060316,   19,    0
195144,20060317,   22,    0
195144,20060318,   29,    0
195144,20060319,   46,    0
195144,20060320,   56,    0
195144,20060321,   48,    0
195144,20060322,   52,    0
195144,20060323,   51,    0
195144,20060324,   49,    0
195144,20060325,   56,    0
195144,20060326,   67,    0
195144,20060327,   81,    0
195144,20060328,   72,    0
195144,20060329,   69,    0
195144,20060330,   64,    0
195144,20060331,   80,    0
195144,20060401,   91,    0
195144,20060402,   93,    0
195144,20060403,   98,    0
195144,20060404,   76,    0
195144,20060405,   67,    0
195144,20060406,   53,    0
195144,20060407,   53,    0
195144,20060408,   57,    0
195144,20060409,   73,    0
195144,20060410,   78,    0
195144,20060411,   45,    0
195144,20060412,   57,    0
195144,20060413,   73,    0
195144,20060414,   79,    0
195144,20060415,   86,    0
195144,20060416,  104,    0
195144,20060417,   99,    0
195144,20060418,  103,    0
195144,20060419,  103,    0
195144,20060420,   82,    0
195144,20060421,   83,    0
195144,20060422,  105,    0
195144,20060423,  107,    0
195144,20060424,  126,    0
195144,20060425,  121,    0
195144,20060426,  113,    0
195144,20060427,  109,    0
195144,20060428,  117,    0
195144,20060429,  113,    0
195144,20060430,   95,    0
195144,20060501,  101,    0
195144,20060502,  110,    0
195144,20060503,  118,    0
195144,20060504,  130,    0
195144,20060505,  129,    0
195144,20060506,  113,    0
195144,20060507,  112,    0
195144,20060508,  114,    0
195144,20060509,   84,    0
195144,20060510,  102,    0
195144,20060511,  111,    0
195144,20060512,  119,    0
195144,20060513,  119,    0
195144,20060514,  139,    0
195144,20060515,  138,    0
195144,20060516,  137,    0
195144,20060517,  145,    0
195144,20060518,  159,    0
195144,20060519,  150,    0
195144,20060520,  138,    0
195144,20060521,  142,    0
195144,20060522,  150,    0
195144,20060523,  140,    0
195144,20060524,  122,    0
195144,20060525,  132,    0
195144,20060526,  145,    0
195144,20060527,  166,    0
195144,20060528,  162,    0
195144,20060529,  150,    0
195144,20060530,  121,    0
195144,20060531,   75,    0
195144,20060601,  115,    0
195144,20060602,   89,    0
195144,20060603,  119,    0
195144,20060604,  117,    0
195144,20060605,  132,    0
195144,20060606,  121,    0
195144,20060607,  129,    0
195144,20060608,  129,    0
195144,20060609,  116,    0
195144,20060610,  137,    0
195144,20060611,  140,    0
195144,20060612,  151,    0
195144,20060613,  156,    0
195144,20060614,  161,    0
195144,20060615,  164,    0
195144,20060616,  161,    0
195144,20060617,  174,    0
195144,20060618,  179,    0
195144,20060619,  184,    0
195144,20060620,  202,    0
195144,20060621,  204,    0
195144,20060622,  199,    0
195144,20060623,  206,    0
195144,20060624,  213,    0
195144,20060625,  208,    0
195144,20060626,  205,    0
195144,20060627,  202,    0
195144,20060628,  211,    0
195144,20060629,  206,    0
195144,20060630,  207,    0
195144,20060701,  211,    0
195144,20060702,  206,    0
195144,20060703,  198,    0
195144,20060704,  207,    0
195144,20060705,  207,    0
195144,20060706,  178,    0
195144,20060707,  166,    0
195144,20060708,  187,    0
195144,20060709,  185,    0
195144,20060710,  204,    0
195144,20060711,  212,    0
195144,20060712,  212,    0
195144,20060713,  191,    0
195144,20060714,  192,    0
195144,20060715,  203,    0
195144,20060716,  208,    0
195144,20060717,  202,    0
195144,20060718,  201,    0
195144,20060719,  205,    0
195144,20060720,  216,    0
195144,20060721,  219,    0
195144,20060722,  222,    0
195144,20060723,  204,    0
195144,20060724,  189,    0
195144,20060725,  200,    0
195144,20060726,  200,    0
195144,20060727,  215,    0
195144,20060728,  193,    0
195144,20060729,  203,    0
195144,20060730,  210,    0
195144,20060731,  218,    0
195144,20060801,  211,    0
195144,20060802,  204,    0
195144,20060803,  167,    0
195144,20060804,  159,    0
195144,20060805,  139,    0
195144,20060806,  163,    0
195144,20060807,  167,    0
195144,20060808,  164,    0
195144,20060809,  162,    0
195144,20060810,  158,    0
195144,20060811,  157,    0
195144,20060812,  135,    0
195144,20060813,  138,    0
195144,20060814,  125,    0
195144,20060815,  142,    0
195144,20060816,  153,    0
195144,20060817,  169,    0
195144,20060818,  179,    0
195144,20060819,  178,    0
195144,20060820,  167,    0
195144,20060821,  167,    0
195144,20060822,  166,    0
195144,20060823,  163,    0
195144,20060824,  159,    0
195144,20060825,  169,    0
195144,20060826,  152,    0
195144,20060827,  158,    0
195144,20060828,  142,    0
