EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, DIGA DI QUARTO (STAID: 2808).
Blended and updated with sources: 195168 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195168,20180401,-9999,    9
195168,20180402,-9999,    9
195168,20180403,-9999,    9
195168,20180404,-9999,    9
195168,20180405,-9999,    9
195168,20180406,-9999,    9
195168,20180407,  112,    0
195168,20180408,  124,    0
195168,20180409,  102,    0
195168,20180410,  117,    0
195168,20180411,  113,    0
195168,20180412,  125,    0
195168,20180413,  126,    0
195168,20180414,  117,    0
195168,20180415,  120,    0
195168,20180416,  145,    0
195168,20180417,  145,    0
195168,20180418,-9999,    9
195168,20180419,-9999,    9
195168,20180420,-9999,    9
195168,20180421,-9999,    9
195168,20180422,-9999,    9
195168,20180423,-9999,    9
195168,20180424,-9999,    9
195168,20180425,-9999,    9
195168,20180426,-9999,    9
195168,20180427,-9999,    9
195168,20180428,-9999,    9
195168,20180429,-9999,    9
195168,20180430,-9999,    9
195168,20180501,-9999,    9
195168,20180502,-9999,    9
195168,20180503,-9999,    9
195168,20180504,-9999,    9
195168,20180505,-9999,    9
195168,20180506,-9999,    9
195168,20180507,-9999,    9
195168,20180508,-9999,    9
195168,20180509,-9999,    9
195168,20180510,-9999,    9
195168,20180511,-9999,    9
195168,20180512,-9999,    9
195168,20180513,-9999,    9
195168,20180514,-9999,    9
195168,20180515,-9999,    9
195168,20180516,-9999,    9
195168,20180517,-9999,    9
195168,20180518,-9999,    9
195168,20180519,-9999,    9
195168,20180520,-9999,    9
195168,20180521,-9999,    9
195168,20180522,-9999,    9
195168,20180523,-9999,    9
195168,20180524,-9999,    9
195168,20180525,-9999,    9
195168,20180526,-9999,    9
195168,20180527,-9999,    9
195168,20180528,-9999,    9
195168,20180529,-9999,    9
195168,20180530,  201,    0
195168,20180531,  214,    0
195168,20180601,  206,    0
195168,20180602,  207,    0
195168,20180603,  218,    0
195168,20180604,  213,    0
195168,20180605,  198,    0
195168,20180606,  204,    0
195168,20180607,  215,    0
195168,20180608,  183,    0
195168,20180609,  209,    0
195168,20180610,  225,    0
195168,20180611,  237,    0
195168,20180612,  223,    0
195168,20180613,  202,    0
195168,20180614,  178,    0
195168,20180615,  176,    0
195168,20180616,  193,    0
195168,20180617,  209,    0
195168,20180618,  209,    0
195168,20180619,  210,    0
195168,20180620,  215,    0
195168,20180621,  239,    0
195168,20180622,  201,    0
195168,20180623,  180,    0
195168,20180624,  184,    0
195168,20180625,  159,    0
195168,20180626,  174,    0
195168,20180627,  189,    0
195168,20180628,  196,    0
195168,20180629,  216,    0
195168,20180630,  239,    0
195168,20180701,  247,    0
195168,20180702,  237,    0
195168,20180703,  242,    0
195168,20180704,  243,    0
195168,20180705,  247,    0
195168,20180706,  209,    0
195168,20180707,  222,    0
195168,20180708,  222,    0
195168,20180709,  224,    0
195168,20180710,  233,    0
195168,20180711,  234,    0
195168,20180712,  229,    0
195168,20180713,  237,    0
195168,20180714,  248,    0
195168,20180715,  234,    0
195168,20180716,  218,    0
195168,20180717,  219,    0
195168,20180718,  245,    0
195168,20180719,  243,    0
195168,20180720,  252,    0
195168,20180721,  245,    0
195168,20180722,  230,    0
195168,20180723,  208,    0
195168,20180724,  226,    0
195168,20180725,  237,    0
195168,20180726,  225,    0
195168,20180727,  240,    0
195168,20180728,  253,    0
195168,20180729,  256,    0
195168,20180730,  261,    0
195168,20180731,  266,    0
195168,20180801,  267,    0
195168,20180802,  260,    0
195168,20180803,  242,    0
195168,20180804,  249,    0
195168,20180805,  251,    0
195168,20180806,  260,    0
195168,20180807,  257,    0
195168,20180808,  231,    0
195168,20180809,  252,    0
195168,20180810,  249,    0
195168,20180811,  252,    0
195168,20180812,  239,    0
195168,20180813,  245,    0
195168,20180814,  220,    0
195168,20180815,  194,    0
195168,20180816,  211,    0
195168,20180817,  222,    0
195168,20180818,  233,    0
195168,20180819,  232,    0
195168,20180820,  236,    0
195168,20180821,  237,    0
195168,20180822,  232,    0
195168,20180823,  229,    0
195168,20180824,  222,    0
195168,20180825,  212,    0
195168,20180826,  165,    0
195168,20180827,  175,    0
195168,20180828,  196,    0
195168,20180829,  218,    0
195168,20180830,  217,    0
195168,20180831,  221,    0
195168,20180901,  190,    0
195168,20180902,  168,    0
195168,20180903,  172,    0
195168,20180904,  195,    0
195168,20180905,  205,    0
195168,20180906,  196,    0
195168,20180907,  188,    0
195168,20180908,  193,    0
195168,20180909,  203,    0
195168,20180910,  201,    0
195168,20180911,  210,    0
195168,20180912,  222,    0
195168,20180913,  206,    0
195168,20180914,  208,    0
195168,20180915,  206,    0
195168,20180916,  204,    0
195168,20180917,  202,    0
195168,20180918,  197,    0
195168,20180919,  198,    0
195168,20180920,  201,    0
195168,20180921,  207,    0
195168,20180922,  220,    0
195168,20180923,  227,    0
195168,20180924,  192,    0
195168,20180925,  139,    0
195168,20180926,  114,    0
195168,20180927,  121,    0
195168,20180928,  147,    0
195168,20180929,  149,    0
195168,20180930,  140,    0
195168,20181001,  144,    0
195168,20181002,  116,    0
195168,20181003,  124,    0
195168,20181004,  142,    0
195168,20181005,  136,    0
195168,20181006,  142,    0
195168,20181007,  159,    0
195168,20181008,  159,    0
195168,20181009,  162,    0
195168,20181010,  158,    0
195168,20181011,  167,    0
195168,20181012,  166,    0
195168,20181013,  155,    0
195168,20181014,  142,    0
195168,20181015,  145,    0
195168,20181016,  163,    0
195168,20181017,  157,    0
195168,20181018,  166,    0
195168,20181019,  155,    0
195168,20181020,  148,    0
195168,20181021,  115,    0
195168,20181022,  108,    0
195168,20181023,  118,    0
195168,20181024,  160,    0
195168,20181025,  155,    0
195168,20181026,  156,    0
195168,20181027,  199,    0
195168,20181028,  164,    0
195168,20181029,  167,    0
195168,20181030,  128,    0
195168,20181031,  126,    0
195168,20181101,  138,    0
195168,20181102,  139,    0
195168,20181103,  145,    0
195168,20181104,  151,    0
195168,20181105,  153,    0
195168,20181106,  147,    0
195168,20181107,  141,    0
195168,20181108,  125,    0
195168,20181109,  141,    0
195168,20181110,  128,    0
195168,20181111,  124,    0
195168,20181112,  125,    0
195168,20181113,  109,    0
195168,20181114,  118,    0
195168,20181115,  116,    0
195168,20181116,   95,    0
195168,20181117,   80,    0
195168,20181118,   54,    0
195168,20181119,   54,    0
195168,20181120,   51,    0
195168,20181121,   83,    0
195168,20181122,   80,    0
195168,20181123,   91,    0
195168,20181124,  161,    0
195168,20181125,  111,    0
195168,20181126,  108,    0
195168,20181127,  103,    0
195168,20181128,  105,    0
195168,20181129,   77,    0
195168,20181130,   55,    0
195168,20181201,   62,    0
195168,20181202,   66,    0
195168,20181203,   71,    0
195168,20181204,   73,    0
195168,20181205,   72,    0
195168,20181206,   72,    0
195168,20181207,  117,    0
195168,20181208,  147,    0
195168,20181209,  152,    0
195168,20181210,   92,    0
195168,20181211,   76,    0
195168,20181212,   72,    0
195168,20181213,   52,    0
195168,20181214,   38,    0
195168,20181215,   40,    0
195168,20181216,-9999,    9
195168,20181217,-9999,    9
195168,20181218,-9999,    9
195168,20181219,-9999,    9
195168,20181220,-9999,    9
195168,20181221,   34,    0
195168,20181222,  117,    0
195168,20181223,   28,    0
195168,20181224,   82,    0
195168,20181225,   30,    0
195168,20181226,   26,    0
195168,20181227,-9999,    9
195168,20181228,-9999,    9
195168,20181229,-9999,    9
195168,20181230,   47,    0
195168,20181231,   40,    0
195168,20190101,   22,    0
195168,20190102,   -7,    0
195168,20190103,-9999,    9
195168,20190104,-9999,    9
195168,20190105,-9999,    9
195168,20190106,-9999,    9
195168,20190107,-9999,    9
195168,20190108,   34,    0
195168,20190109,-9999,    9
195168,20190110,   12,    0
195168,20190111,    9,    0
195168,20190112,   19,    0
195168,20190113,   70,    0
195168,20190114,   99,    0
195168,20190115,   40,    0
195168,20190116,   85,    0
195168,20190117,   81,    0
195168,20190118,   64,    0
195168,20190119,   31,    0
195168,20190120,   26,    0
195168,20190121,    9,    0
195168,20190122,    1,    0
195168,20190123,    6,    0
195168,20190124,    6,    0
195168,20190125,   12,    0
195168,20190126,   12,    0
195168,20190127,   65,    0
195168,20190128,   29,    0
195168,20190129,   19,    0
195168,20190130,    8,    0
195168,20190131,   13,    0
195168,20190201,   87,    0
195168,20190202,   89,    0
195168,20190203,   50,    0
195168,20190204,   43,    0
195168,20190205,   28,    0
195168,20190206,   31,    0
195168,20190207,   42,    0
195168,20190208,   41,    0
195168,20190209,   70,    0
195168,20190210,   98,    0
195168,20190211,   78,    0
195168,20190212,   51,    0
195168,20190213,   34,    0
195168,20190214,   54,    0
195168,20190215,   62,    0
195168,20190216,   58,    0
195168,20190217,   79,    0
195168,20190218,   82,    0
195168,20190219,   66,    0
195168,20190220,   57,    0
195168,20190221,-9999,    9
195168,20190222,   77,    0
195168,20190223,   40,    0
195168,20190224,   28,    0
