EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, DIGA DI SUVIANA (STAID: 2809).
Blended and updated with sources: 195160 195184 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195184,20180401,-9999,    9
195184,20180402,-9999,    9
195184,20180403,-9999,    9
195184,20180404,-9999,    9
195184,20180405,-9999,    9
195184,20180406,-9999,    9
195184,20180407,  125,    0
195184,20180408,  127,    0
195184,20180409,   88,    0
195184,20180410,  101,    0
195184,20180411,   96,    0
195184,20180412,  117,    0
195184,20180413,  111,    0
195184,20180414,  118,    0
195184,20180415,  114,    0
195184,20180416,  139,    0
195184,20180417,  151,    0
195184,20180418,  145,    0
195184,20180419,  150,    0
195184,20180420,-9999,    9
195184,20180421,  180,    0
195184,20180422,  184,    0
195184,20180423,  178,    0
195184,20180424,  176,    0
195184,20180425,  184,    0
195160,20180426,  185,    0
195184,20180427,  165,    0
195184,20180428,  181,    0
195184,20180429,  177,    0
195184,20180430,  145,    0
195184,20180501,  120,    0
195184,20180502,  109,    0
195184,20180503,  124,    0
195184,20180504,  132,    0
195184,20180505,  146,    0
195184,20180506,  167,    0
195184,20180507,  161,    0
195184,20180508,  165,    0
195184,20180509,  144,    0
195184,20180510,  147,    0
195184,20180511,  150,    0
195184,20180512,  160,    0
195184,20180513,  149,    0
195184,20180514,  113,    0
195184,20180515,  104,    0
195184,20180516,  130,    0
195184,20180517,  130,    0
