EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FARNETA CENTRALE (STAID: 2811).
Blended and updated with sources: 195248 197840 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195248,20051201,-9999,    9
195248,20051202,-9999,    9
195248,20051203,-9999,    9
195248,20051204,-9999,    9
195248,20051205,-9999,    9
195248,20051206,-9999,    9
195248,20051207,-9999,    9
195248,20051208,-9999,    9
195248,20051209,-9999,    9
195248,20051210,-9999,    9
195248,20051211,-9999,    9
195248,20051212,-9999,    9
195248,20051213,-9999,    9
195248,20051214,-9999,    9
195248,20051215,-9999,    9
195248,20051216,-9999,    9
195248,20051217,-9999,    9
195248,20051218,-9999,    9
195248,20051219,-9999,    9
195248,20051220,-9999,    9
195248,20051221,-9999,    9
195248,20051222,-9999,    9
195248,20051223,-9999,    9
195248,20051224,-9999,    9
195248,20051225,-9999,    9
195248,20051226,-9999,    9
195248,20051227,-9999,    9
195248,20051228,-9999,    9
195248,20051229,-9999,    9
195248,20051230,-9999,    9
195248,20051231,  -13,    0
195248,20060101,  -12,    0
195248,20060102,   19,    0
195248,20060103,   30,    0
195248,20060104,   16,    0
195248,20060105,    2,    0
195248,20060106,    9,    0
195248,20060107,   22,    0
195248,20060108,    6,    0
195248,20060109,   -8,    0
195248,20060110,   -3,    0
195248,20060111,   18,    0
195248,20060112,   17,    0
195248,20060113,    0,    0
195248,20060114,    0,    0
195248,20060115,  -25,    0
195248,20060116,  -21,    0
195248,20060117,  -13,    0
195248,20060118,   -1,    0
195248,20060119,   40,    0
195248,20060120,   45,    0
195248,20060121,   44,    0
195248,20060122,   21,    0
195248,20060123,  -18,    0
195248,20060124,  -45,    0
195248,20060125,  -32,    0
195248,20060126,  -43,    0
195248,20060127,  -20,    0
195248,20060128,   15,    0
195248,20060129,   40,    0
195248,20060130,   43,    0
195248,20060131,   61,    0
195248,20060201,   79,    0
195248,20060202,   84,    0
195248,20060203,   59,    0
195248,20060204,   46,    0
195248,20060205,   -6,    0
195248,20060206,  -17,    0
195248,20060207,  -11,    0
195248,20060208,   16,    0
195248,20060209,   41,    0
195248,20060210,   25,    0
195248,20060211,   18,    0
195248,20060212,    9,    0
195248,20060213,   12,    0
195248,20060214,   24,    0
195248,20060215,   33,    0
195248,20060216,   36,    0
195248,20060217,   91,    0
195248,20060218,   88,    0
195248,20060219,   88,    0
195248,20060220,   64,    0
195248,20060221,   22,    0
195248,20060222,   32,    0
195248,20060223,   32,    0
195248,20060224,    8,    0
195248,20060225,   15,    0
195248,20060226,   32,    0
195248,20060227,   14,    0
195248,20060228,    0,    0
195248,20060301,   15,    0
195248,20060302,    6,    0
195248,20060303,   66,    0
195248,20060304,  103,    0
195248,20060305,   81,    0
195248,20060306,   10,    0
195248,20060307,   14,    0
195248,20060308,   30,    0
195248,20060309,   53,    0
195248,20060310,   56,    0
195248,20060311,   31,    0
195248,20060312,    2,    0
195248,20060313,   12,    0
195248,20060314,   32,    0
195248,20060315,   37,    0
195248,20060316,   18,    0
195248,20060317,   40,    0
195248,20060318,   39,    0
195248,20060319,   41,    0
195248,20060320,   64,    0
195248,20060321,   58,    0
195248,20060322,   60,    0
195248,20060323,   84,    0
195248,20060324,   70,    0
195248,20060325,   80,    0
195248,20060326,  110,    0
195248,20060327,  119,    0
195248,20060328,  118,    0
195248,20060329,  119,    0
195248,20060330,  116,    0
195248,20060331,  138,    0
195248,20060401,  117,    0
195248,20060402,  117,    0
195248,20060403,  120,    0
195248,20060404,  109,    0
195248,20060405,  110,    0
195248,20060406,   51,    0
195248,20060407,   54,    0
195248,20060408,   84,    0
195248,20060409,  111,    0
195248,20060410,  113,    0
195248,20060411,   61,    0
195248,20060412,   77,    0
195248,20060413,  102,    0
195248,20060414,  144,    0
195248,20060415,  127,    0
195248,20060416,  135,    0
195248,20060417,  116,    0
195248,20060418,  100,    0
195248,20060419,  116,    0
195248,20060420,  125,    0
195248,20060421,  133,    0
195248,20060422,  152,    0
195248,20060423,  163,    0
195248,20060424,  162,    0
195248,20060425,  145,    0
195248,20060426,  140,    0
195248,20060427,  125,    0
195248,20060428,  115,    0
195248,20060429,  121,    0
195248,20060430,   86,    0
195248,20060501,  106,    0
195248,20060502,  124,    0
195248,20060503,  135,    0
195248,20060504,  138,    0
195248,20060505,  129,    0
195248,20060506,  135,    0
195248,20060507,  136,    0
195248,20060508,  139,    0
195248,20060509,   99,    0
195248,20060510,  121,    0
195248,20060511,  127,    0
195248,20060512,  159,    0
195248,20060513,  165,    0
195248,20060514,  145,    0
195248,20060515,  167,    0
195248,20060516,  185,    0
195248,20060517,  205,    0
195248,20060518,  205,    0
195248,20060519,  203,    0
195248,20060520,  181,    0
