EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FIORENZUOLA D'ARDA (STAID: 2814).
Blended and updated with sources: 195296 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195296,20051201,-9999,    9
195296,20051202,-9999,    9
195296,20051203,-9999,    9
195296,20051204,-9999,    9
195296,20051205,-9999,    9
195296,20051206,-9999,    9
195296,20051207,-9999,    9
195296,20051208,-9999,    9
195296,20051209,-9999,    9
195296,20051210,-9999,    9
195296,20051211,-9999,    9
195296,20051212,-9999,    9
195296,20051213,-9999,    9
195296,20051214,-9999,    9
195296,20051215,-9999,    9
195296,20051216,-9999,    9
195296,20051217,-9999,    9
195296,20051218,-9999,    9
195296,20051219,-9999,    9
195296,20051220,-9999,    9
195296,20051221,-9999,    9
195296,20051222,-9999,    9
195296,20051223,-9999,    9
195296,20051224,-9999,    9
195296,20051225,-9999,    9
195296,20051226,-9999,    9
195296,20051227,-9999,    9
195296,20051228,-9999,    9
195296,20051229,-9999,    9
195296,20051230,-9999,    9
195296,20051231,  -27,    0
195296,20060101,  -19,    0
195296,20060102,  -25,    0
195296,20060103,   -5,    0
195296,20060104,  -30,    0
195296,20060105,   -5,    0
195296,20060106,    1,    0
195296,20060107,   -2,    0
195296,20060108,  -17,    0
195296,20060109,  -11,    0
195296,20060110,  -20,    0
195296,20060111,  -13,    0
195296,20060112,  -25,    0
195296,20060113,  -24,    0
195296,20060114,  -28,    0
195296,20060115,  -32,    0
195296,20060116,  -20,    0
195296,20060117,  -14,    0
195296,20060118,   -6,    0
195296,20060119,  -25,    0
195296,20060120,  -36,    0
195296,20060121,  -18,    0
195296,20060122,    7,    0
195296,20060123,  -15,    0
195296,20060124,  -30,    0
195296,20060125,  -47,    0
195296,20060126,  -41,    0
195296,20060127,  -27,    0
195296,20060128,   -7,    0
195296,20060129,    0,    0
195296,20060130,    7,    0
195296,20060131,   12,    0
195296,20060201,    0,    0
195296,20060202,    7,    0
195296,20060203,    1,    0
195296,20060204,   -8,    0
195296,20060205,  -12,    0
195296,20060206,  -46,    0
195296,20060207,  -35,    0
195296,20060208,  -16,    0
195296,20060209,  -15,    0
195296,20060210,    8,    0
195296,20060211,    0,    0
195296,20060212,  -16,    0
195296,20060213,  -12,    0
195296,20060214,  -10,    0
195296,20060215,    2,    0
195296,20060216,    9,    0
195296,20060217,    1,    0
195296,20060218,    9,    0
195296,20060219,   19,    0
195296,20060220,   23,    0
195296,20060221,   31,    0
195296,20060222,   46,    0
195296,20060223,   52,    0
195296,20060224,   20,    0
195296,20060225,   26,    0
195296,20060226,   35,    0
195296,20060227,   19,    0
195296,20060228,   14,    0
195296,20060301,   11,    0
195296,20060302,   21,    0
195296,20060303,   19,    0
195296,20060304,   62,    0
195296,20060305,   84,    0
195296,20060306,   48,    0
195296,20060307,   33,    0
195296,20060308,   22,    0
195296,20060309,   62,    0
195296,20060310,   76,    0
195296,20060311,   57,    0
195296,20060312,   26,    0
195296,20060313,   32,    0
195296,20060314,   33,    0
195296,20060315,   34,    0
195296,20060316,   38,    0
195296,20060317,   43,    0
195296,20060318,   49,    0
195296,20060319,   54,    0
195296,20060320,   62,    0
195296,20060321,   59,    0
195296,20060322,   77,    0
195296,20060323,   80,    0
195296,20060324,   61,    0
195296,20060325,   81,    0
195296,20060326,  103,    0
195296,20060327,  119,    0
195296,20060328,  112,    0
195296,20060329,  130,    0
195296,20060330,   96,    0
195296,20060331,  125,    0
195296,20060401,  108,    0
195296,20060402,  124,    0
195296,20060403,  130,    0
195296,20060404,  109,    0
195296,20060405,   91,    0
195296,20060406,   63,    0
195296,20060407,   63,    0
195296,20060408,   79,    0
195296,20060409,   92,    0
195296,20060410,   96,    0
195296,20060411,   70,    0
195296,20060412,   73,    0
195296,20060413,   94,    0
195296,20060414,  135,    0
195296,20060415,  114,    0
195296,20060416,  141,    0
195296,20060417,  117,    0
195296,20060418,  110,    0
195296,20060419,  126,    0
195296,20060420,  119,    0
195296,20060421,  130,    0
195296,20060422,  151,    0
195296,20060423,  153,    0
195296,20060424,  155,    0
195296,20060425,  142,    0
195296,20060426,  150,    0
195296,20060427,  144,    0
195296,20060428,  138,    0
195296,20060429,  140,    0
195296,20060430,  105,    0
195296,20060501,  114,    0
195296,20060502,  126,    0
195296,20060503,  136,    0
195296,20060504,  148,    0
195296,20060505,  147,    0
195296,20060506,  145,    0
195296,20060507,  151,    0
195296,20060508,  144,    0
195296,20060509,  132,    0
195296,20060510,  142,    0
195296,20060511,  150,    0
195296,20060512,  165,    0
195296,20060513,  162,    0
195296,20060514,  179,    0
195296,20060515,  171,    0
195296,20060516,  185,    0
195296,20060517,  199,    0
195296,20060518,  198,    0
195296,20060519,  207,    0
195296,20060520,  186,    0
195296,20060521,  198,    0
195296,20060522,-9999,    9
195296,20060523,  213,    0
195296,20060524,  169,    0
195296,20060525,  159,    0
195296,20060526,-9999,    9
195296,20060527,  234,    0
195296,20060528,  214,    0
195296,20060529,  184,    0
195296,20060530,  138,    0
195296,20060531,  116,    0
195296,20060601,  136,    0
195296,20060602,  130,    0
195296,20060603,  159,    0
195296,20060604,  169,    0
195296,20060605,  174,    0
195296,20060606,  161,    0
195296,20060607,  162,    0
195296,20060608,  165,    0
195296,20060609,  175,    0
195296,20060610,  192,    0
195296,20060611,  186,    0
195296,20060612,  182,    0
195296,20060613,  209,    0
195296,20060614,  225,    0
195296,20060615,  223,    0
195296,20060616,  204,    0
195296,20060617,  222,    0
195296,20060618,  232,    0
195296,20060619,  235,    0
195296,20060620,  237,    0
195296,20060621,  248,    0
195296,20060622,  253,    0
195296,20060623,  254,    0
195296,20060624,  257,    0
195296,20060625,  236,    0
195296,20060626,  249,    0
195296,20060627,  258,    0
195296,20060628,  256,    0
195296,20060629,  237,    0
195296,20060630,  241,    0
195296,20060701,  250,    0
195296,20060702,  241,    0
195296,20060703,  245,    0
195296,20060704,  241,    0
195296,20060705,  240,    0
195296,20060706,  216,    0
195296,20060707,  193,    0
195296,20060708,  230,    0
195296,20060709,  241,    0
195296,20060710,  252,    0
195296,20060711,  263,    0
195296,20060712,  274,    0
195296,20060713,  255,    0
195296,20060714,  251,    0
195296,20060715,  262,    0
195296,20060716,  244,    0
195296,20060717,  231,    0
195296,20060718,  227,    0
195296,20060719,  240,    0
195296,20060720,  255,    0
195296,20060721,  266,    0
195296,20060722,  274,    0
195296,20060723,  265,    0
195296,20060724,  271,    0
195296,20060725,  266,    0
195296,20060726,  262,    0
195296,20060727,  269,    0
195296,20060728,  239,    0
195296,20060729,  234,    0
195296,20060730,  259,    0
195296,20060731,  253,    0
195296,20060801,-9999,    9
195296,20060802,-9999,    9
195296,20060803,-9999,    9
195296,20060804,-9999,    9
195296,20060805,-9999,    9
195296,20060806,-9999,    9
195296,20060807,-9999,    9
195296,20060808,-9999,    9
195296,20060809,-9999,    9
195296,20060810,-9999,    9
195296,20060811,-9999,    9
195296,20060812,-9999,    9
195296,20060813,-9999,    9
195296,20060814,-9999,    9
195296,20060815,-9999,    9
195296,20060816,  175,    0
195296,20060817,  202,    0
195296,20060818,  235,    0
195296,20060819,  211,    0
195296,20060820,  222,    0
195296,20060821,  208,    0
195296,20060822,  214,    0
195296,20060823,  210,    0
195296,20060824,-9999,    9
195296,20060825,  202,    0
195296,20060826,  193,    0
195296,20060827,  193,    0
195296,20060828,  185,    0
195296,20060829,  202,    0
195296,20060830,  177,    0
195296,20060831,  171,    0
195296,20060901,  178,    0
195296,20060902,  130,    0
195296,20060903,  208,    0
195296,20060904,  228,    0
195296,20060905,  236,    0
195296,20060906,  236,    0
195296,20060907,  243,    0
195296,20060908,  225,    0
195296,20060909,  197,    0
195296,20060910,  178,    0
195296,20060911,  180,    0
195296,20060912,  182,    0
195296,20060913,  185,    0
195296,20060914,  173,    0
195296,20060915,  189,    0
195296,20060916,  179,    0
195296,20060917,  170,    0
195296,20060918,  181,    0
195296,20060919,  192,    0
195296,20060920,  184,    0
195296,20060921,  186,    0
195296,20060922,  192,    0
195296,20060923,  180,    0
195296,20060924,  173,    0
195296,20060925,  156,    0
195296,20060926,  163,    0
195296,20060927,  175,    0
195296,20060928,  169,    0
195296,20060929,  174,    0
195296,20060930,  173,    0
195296,20061001,  185,    0
195296,20061002,  189,    0
195296,20061003,  202,    0
195296,20061004,  178,    0
195296,20061005,  142,    0
195296,20061006,  135,    0
195296,20061007,  120,    0
195296,20061008,  132,    0
195296,20061009,  131,    0
195296,20061010,  132,    0
195296,20061011,  128,    0
195296,20061012,  136,    0
195296,20061013,  134,    0
195296,20061014,  131,    0
195296,20061015,  135,    0
195296,20061016,  121,    0
195296,20061017,  105,    0
195296,20061018,  107,    0
195296,20061019,  110,    0
195296,20061020,  115,    0
195296,20061021,  120,    0
195296,20061022,  141,    0
195296,20061023,  137,    0
195296,20061024,  154,    0
195296,20061025,  136,    0
195296,20061026,  139,    0
195296,20061027,  145,    0
195296,20061028,  128,    0
195296,20061029,  131,    0
195296,20061030,  105,    0
195296,20061031,  108,    0
195296,20061101,  120,    0
195296,20061102,   74,    0
195296,20061103,   47,    0
195296,20061104,   30,    0
195296,20061105,   42,    0
195296,20061106,   63,    0
195296,20061107,   71,    0
195296,20061108,   77,    0
195296,20061109,   96,    0
195296,20061110,   75,    0
195296,20061111,   53,    0
195296,20061112,   77,    0
195296,20061113,   42,    0
195296,20061114,   65,    0
195296,20061115,   85,    0
195296,20061116,   94,    0
195296,20061117,   94,    0
195296,20061118,   96,    0
195296,20061119,   79,    0
195296,20061120,   89,    0
195296,20061121,   76,    0
195296,20061122,   76,    0
195296,20061123,   52,    0
195296,20061124,   65,    0
195296,20061125,   67,    0
195296,20061126,   98,    0
195296,20061127,   82,    0
195296,20061128,   80,    0
195296,20061129,   80,    0
195296,20061130,   65,    0
195296,20061201,   39,    0
195296,20061202,   50,    0
195296,20061203,   67,    0
195296,20061204,   62,    0
195296,20061205,   63,    0
195296,20061206,   68,    0
195296,20061207,   74,    0
195296,20061208,   74,    0
195296,20061209,   83,    0
195296,20061210,   33,    0
195296,20061211,   21,    0
195296,20061212,   12,    0
195296,20061213,    9,    0
195296,20061214,    2,    0
195296,20061215,    8,    0
195296,20061216,   17,    0
195296,20061217,   37,    0
195296,20061218,   40,    0
195296,20061219,   22,    0
195296,20061220,   -3,    0
195296,20061221,  -12,    0
195296,20061222,   -5,    0
195296,20061223,  -30,    0
195296,20061224,-9999,    9
195296,20061225,-9999,    9
195296,20061226,-9999,    9
195296,20061227,-9999,    9
195296,20061228,-9999,    9
195296,20061229,-9999,    9
195296,20061230,-9999,    9
195296,20061231,-9999,    9
195296,20070101,-9999,    9
195296,20070102,-9999,    9
195296,20070103,-9999,    9
195296,20070104,-9999,    9
195296,20070105,-9999,    9
195296,20070106,-9999,    9
195296,20070107,-9999,    9
195296,20070108,-9999,    9
195296,20070109,-9999,    9
195296,20070110,-9999,    9
195296,20070111,-9999,    9
195296,20070112,-9999,    9
195296,20070113,-9999,    9
195296,20070114,-9999,    9
195296,20070115,-9999,    9
195296,20070116,-9999,    9
195296,20070117,-9999,    9
195296,20070118,-9999,    9
195296,20070119,-9999,    9
195296,20070120,-9999,    9
195296,20070121,-9999,    9
195296,20070122,-9999,    9
195296,20070123,-9999,    9
195296,20070124,-9999,    9
195296,20070125,-9999,    9
195296,20070126,-9999,    9
195296,20070127,-9999,    9
195296,20070128,-9999,    9
195296,20070129,-9999,    9
195296,20070130,-9999,    9
195296,20070131,-9999,    9
195296,20070201,-9999,    9
195296,20070202,-9999,    9
195296,20070203,-9999,    9
195296,20070204,-9999,    9
195296,20070205,-9999,    9
195296,20070206,-9999,    9
195296,20070207,-9999,    9
195296,20070208,-9999,    9
195296,20070209,-9999,    9
195296,20070210,-9999,    9
195296,20070211,-9999,    9
195296,20070212,-9999,    9
195296,20070213,-9999,    9
195296,20070214,-9999,    9
195296,20070215,-9999,    9
195296,20070216,-9999,    9
195296,20070217,-9999,    9
195296,20070218,-9999,    9
195296,20070219,-9999,    9
195296,20070220,-9999,    9
195296,20070221,-9999,    9
195296,20070222,-9999,    9
195296,20070223,-9999,    9
195296,20070224,-9999,    9
195296,20070225,-9999,    9
195296,20070226,-9999,    9
195296,20070227,-9999,    9
195296,20070228,-9999,    9
195296,20070301,-9999,    9
195296,20070302,-9999,    9
195296,20070303,-9999,    9
195296,20070304,-9999,    9
195296,20070305,-9999,    9
195296,20070306,-9999,    9
195296,20070307,-9999,    9
195296,20070308,-9999,    9
195296,20070309,-9999,    9
195296,20070310,-9999,    9
195296,20070311,-9999,    9
195296,20070312,-9999,    9
195296,20070313,-9999,    9
195296,20070314,-9999,    9
195296,20070315,  139,    0
195296,20070316,   92,    0
195296,20070317,  111,    0
195296,20070318,  110,    0
195296,20070319,   95,    0
195296,20070320,   25,    0
195296,20070321,   51,    0
195296,20070322,   42,    0
195296,20070323,   42,    0
195296,20070324,   53,    0
195296,20070325,   46,    0
195296,20070326,   55,    0
195296,20070327,   63,    0
195296,20070328,   63,    0
195296,20070329,   62,    0
195296,20070330,   56,    0
195296,20070331,   79,    0
195296,20070401,   82,    0
195296,20070402,  107,    0
195296,20070403,  100,    0
195296,20070404,   90,    0
195296,20070405,   89,    0
195296,20070406,  100,    0
195296,20070407,  115,    0
195296,20070408,  113,    0
195296,20070409,  126,    0
195296,20070410,  132,    0
195296,20070411,  140,    0
195296,20070412,  138,    0
195296,20070413,  135,    0
195296,20070414,  136,    0
195296,20070415,  146,    0
195296,20070416,  145,    0
195296,20070417,  142,    0
195296,20070418,  159,    0
195296,20070419,  144,    0
195296,20070420,  146,    0
195296,20070421,  141,    0
195296,20070422,  156,    0
195296,20070423,  177,    0
195296,20070424,  190,    0
195296,20070425,  177,    0
195296,20070426,  155,    0
195296,20070427,  153,    0
195296,20070428,  157,    0
195296,20070429,  176,    0
195296,20070430,  155,    0
195296,20070501,  155,    0
195296,20070502,  131,    0
195296,20070503,  135,    0
195296,20070504,  115,    0
195296,20070505,  122,    0
195296,20070506,  152,    0
195296,20070507,  170,    0
195296,20070508,  188,    0
195296,20070509,  214,    0
195296,20070510,  196,    0
195296,20070511,  184,    0
195296,20070512,  191,    0
195296,20070513,  192,    0
195296,20070514,  193,    0
195296,20070515,  162,    0
195296,20070516,  150,    0
195296,20070517,  161,    0
195296,20070518,  167,    0
195296,20070519,  172,    0
195296,20070520,  181,    0
195296,20070521,  206,    0
195296,20070522,  228,    0
195296,20070523,  232,    0
195296,20070524,  228,    0
195296,20070525,  218,    0
195296,20070526,  188,    0
195296,20070527,  199,    0
195296,20070528,  132,    0
195296,20070529,  132,    0
195296,20070530,  172,    0
195296,20070531,  156,    0
195296,20070601,  132,    0
195296,20070602,  129,    0
195296,20070603,  178,    0
195296,20070604,  203,    0
195296,20070605,  188,    0
195296,20070606,  170,    0
195296,20070607,  160,    0
195296,20070608,  197,    0
195296,20070609,  219,    0
195296,20070610,  225,    0
195296,20070611,  220,    0
195296,20070612,  202,    0
195296,20070613,  211,    0
195296,20070614,  224,    0
195296,20070615,  210,    0
195296,20070616,  200,    0
195296,20070617,  211,    0
195296,20070618,  210,    0
195296,20070619,  242,    0
195296,20070620,  262,    0
195296,20070621,  246,    0
195296,20070622,  231,    0
195296,20070623,  233,    0
195296,20070624,  227,    0
195296,20070625,  244,    0
195296,20070626,  230,    0
195296,20070627,  195,    0
195296,20070628,  196,    0
195296,20070629,  215,    0
195296,20070630,  224,    0
195296,20070701,  238,    0
195296,20070702,  226,    0
195296,20070703,  221,    0
195296,20070704,  226,    0
195296,20070705,  203,    0
195296,20070706,  225,    0
195296,20070707,  234,    0
195296,20070708,  248,    0
195296,20070709,  243,    0
195296,20070710,  216,    0
195296,20070711,  199,    0
195296,20070712,  214,    0
195296,20070713,  228,    0
195296,20070714,  246,    0
195296,20070715,  260,    0
195296,20070716,  271,    0
195296,20070717,  267,    0
195296,20070718,  277,    0
195296,20070719,  280,    0
195296,20070720,  281,    0
195296,20070721,  272,    0
195296,20070722,  257,    0
195296,20070723,  263,    0
195296,20070724,  265,    0
195296,20070725,  254,    0
195296,20070726,  254,    0
195296,20070727,  273,    0
195296,20070728,  276,    0
195296,20070729,  276,    0
195296,20070730,  270,    0
195296,20070731,  232,    0
195296,20070801,  241,    0
195296,20070802,-9999,    9
