EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FIRENZUOLA (STAID: 2815).
Blended and updated with sources: 195304 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195304,20051201,-9999,    9
195304,20051202,-9999,    9
195304,20051203,-9999,    9
195304,20051204,-9999,    9
195304,20051205,-9999,    9
195304,20051206,-9999,    9
195304,20051207,-9999,    9
195304,20051208,-9999,    9
195304,20051209,-9999,    9
195304,20051210,-9999,    9
195304,20051211,-9999,    9
195304,20051212,-9999,    9
195304,20051213,-9999,    9
195304,20051214,-9999,    9
195304,20051215,-9999,    9
195304,20051216,-9999,    9
195304,20051217,-9999,    9
195304,20051218,-9999,    9
195304,20051219,-9999,    9
195304,20051220,-9999,    9
195304,20051221,-9999,    9
195304,20051222,-9999,    9
195304,20051223,-9999,    9
195304,20051224,-9999,    9
195304,20051225,-9999,    9
195304,20051226,-9999,    9
195304,20051227,-9999,    9
195304,20051228,-9999,    9
195304,20051229,-9999,    9
195304,20051230,-9999,    9
195304,20051231,    5,    0
195304,20060101,    5,    0
195304,20060102,   17,    0
195304,20060103,   34,    0
195304,20060104,   17,    0
195304,20060105,    1,    0
195304,20060106,   -4,    0
195304,20060107,   21,    0
195304,20060108,   19,    0
195304,20060109,   -2,    0
195304,20060110,  -25,    0
195304,20060111,  -15,    0
195304,20060112,  -10,    0
