EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, GUIGLIA (STAZ. AGRARIA) (STAID: 2819).
Blended and updated with sources: 195496 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195496,20051201,-9999,    9
195496,20051202,-9999,    9
195496,20051203,-9999,    9
195496,20051204,-9999,    9
195496,20051205,-9999,    9
195496,20051206,-9999,    9
195496,20051207,-9999,    9
195496,20051208,-9999,    9
195496,20051209,-9999,    9
195496,20051210,-9999,    9
195496,20051211,-9999,    9
195496,20051212,-9999,    9
195496,20051213,-9999,    9
195496,20051214,-9999,    9
195496,20051215,-9999,    9
195496,20051216,-9999,    9
195496,20051217,-9999,    9
195496,20051218,-9999,    9
195496,20051219,-9999,    9
195496,20051220,-9999,    9
195496,20051221,-9999,    9
195496,20051222,-9999,    9
195496,20051223,-9999,    9
195496,20051224,-9999,    9
195496,20051225,-9999,    9
195496,20051226,-9999,    9
195496,20051227,-9999,    9
195496,20051228,-9999,    9
195496,20051229,-9999,    9
195496,20051230,-9999,    9
195496,20051231,  -23,    0
195496,20060101,  -21,    0
195496,20060102,   11,    0
195496,20060103,   34,    0
195496,20060104,   17,    0
195496,20060105,    6,    0
195496,20060106,   21,    0
195496,20060107,   30,    0
195496,20060108,    9,    0
195496,20060109,   -5,    0
195496,20060110,    7,    0
195496,20060111,   32,    0
195496,20060112,   23,    0
195496,20060113,    8,    0
195496,20060114,    3,    0
195496,20060115,  -21,    0
195496,20060116,  -22,    0
195496,20060117,  -19,    0
195496,20060118,   -6,    0
195496,20060119,   33,    0
195496,20060120,   40,    0
195496,20060121,   41,    0
195496,20060122,   22,    0
195496,20060123,  -13,    0
195496,20060124,  -44,    0
195496,20060125,  -31,    0
195496,20060126,  -42,    0
195496,20060127,  -22,    0
195496,20060128,   18,    0
195496,20060129,   33,    0
195496,20060130,   39,    0
195496,20060131,   71,    0
195496,20060201,   83,    0
195496,20060202,   78,    0
195496,20060203,   66,    0
195496,20060204,   49,    0
195496,20060205,   -5,    0
195496,20060206,  -11,    0
195496,20060207,   -4,    0
195496,20060208,   17,    0
195496,20060209,   40,    0
195496,20060210,   34,    0
195496,20060211,   37,    0
195496,20060212,   25,    0
195496,20060213,   23,    0
195496,20060214,   35,    0
195496,20060215,   30,    0
195496,20060216,    6,    0
195496,20060217,   77,    0
195496,20060218,   97,    0
195496,20060219,   85,    0
195496,20060220,   65,    0
195496,20060221,   29,    0
195496,20060222,   39,    0
195496,20060223,   40,    0
195496,20060224,    5,    0
195496,20060225,   11,    0
195496,20060226,   36,    0
195496,20060227,   15,    0
195496,20060228,    1,    0
195496,20060301,   23,    0
195496,20060302,   11,    0
195496,20060303,   53,    0
195496,20060304,  117,    0
195496,20060305,   85,    0
195496,20060306,   17,    0
195496,20060307,   27,    0
195496,20060308,   38,    0
195496,20060309,   52,    0
195496,20060310,   55,    0
