EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MARTINELLA (STAID: 2833).
Blended and updated with sources: 194176 195848 195888 195928 196328 196992 197416 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196328,20051201,-9999,    9
196328,20051202,-9999,    9
196328,20051203,-9999,    9
196328,20051204,-9999,    9
196328,20051205,-9999,    9
196328,20051206,-9999,    9
196328,20051207,-9999,    9
196328,20051208,-9999,    9
196328,20051209,-9999,    9
196328,20051210,-9999,    9
196328,20051211,-9999,    9
196328,20051212,-9999,    9
196328,20051213,-9999,    9
196328,20051214,-9999,    9
196328,20051215,-9999,    9
196328,20051216,-9999,    9
196328,20051217,-9999,    9
196328,20051218,-9999,    9
196328,20051219,-9999,    9
196328,20051220,-9999,    9
196328,20051221,-9999,    9
196328,20051222,-9999,    9
196328,20051223,-9999,    9
196328,20051224,-9999,    9
196328,20051225,-9999,    9
196328,20051226,-9999,    9
196328,20051227,-9999,    9
196328,20051228,-9999,    9
196328,20051229,-9999,    9
196328,20051230,-9999,    9
196328,20051231,  -12,    0
196328,20060101,   -2,    0
196328,20060102,    9,    0
196328,20060103,   33,    0
196328,20060104,   32,    0
196328,20060105,   31,    0
196328,20060106,   23,    0
196328,20060107,   26,    0
196328,20060108,   31,    0
196328,20060109,   13,    0
196328,20060110,    1,    0
196328,20060111,    4,    0
196328,20060112,    5,    0
196328,20060113,    0,    0
196328,20060114,  -16,    0
196328,20060115,   -2,    0
196328,20060116,    3,    0
196328,20060117,   -1,    0
196328,20060118,    0,    0
196328,20060119,   -9,    0
196328,20060120,  -23,    0
196328,20060121,   -6,    0
196328,20060122,   20,    0
196328,20060123,    5,    0
196328,20060124,   -8,    0
196328,20060125,  -27,    0
196328,20060126,  -11,    0
196328,20060127,   14,    0
196328,20060128,   35,    0
196328,20060129,   36,    0
196328,20060130,   57,    0
196328,20060131,   57,    0
196328,20060201,   38,    0
196328,20060202,   43,    0
196328,20060203,   34,    0
196328,20060204,   28,    0
196328,20060205,   22,    0
196328,20060206,   -6,    0
196328,20060207,  -14,    0
