EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MODENA (STAID: 2838).
Blended and updated with sources: 194048 194752 195864 195968 916128 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916128,20051201,-9999,    9
916128,20051202,-9999,    9
916128,20051203,-9999,    9
916128,20051204,-9999,    9
916128,20051205,-9999,    9
916128,20051206,-9999,    9
916128,20051207,-9999,    9
916128,20051208,-9999,    9
916128,20051209,-9999,    9
916128,20051210,-9999,    9
916128,20051211,-9999,    9
916128,20051212,-9999,    9
916128,20051213,-9999,    9
916128,20051214,-9999,    9
916128,20051215,-9999,    9
916128,20051216,-9999,    9
916128,20051217,-9999,    9
916128,20051218,-9999,    9
916128,20051219,-9999,    9
916128,20051220,-9999,    9
916128,20051221,-9999,    9
916128,20051222,-9999,    9
916128,20051223,-9999,    9
916128,20051224,-9999,    9
916128,20051225,-9999,    9
916128,20051226,-9999,    9
916128,20051227,-9999,    9
916128,20051228,-9999,    9
916128,20051229,-9999,    9
916128,20051230,-9999,    9
195968,20051231,   -8,    0
195968,20060101,   -4,    0
195968,20060102,   13,    0
195968,20060103,   34,    0
195968,20060104,   25,    0
195968,20060105,   30,    0
195968,20060106,   37,    0
195968,20060107,   32,    0
195968,20060108,   23,    0
195968,20060109,   24,    0
195968,20060110,   13,    0
195968,20060111,   26,    0
195968,20060112,   27,    0
195968,20060113,   17,    0
195968,20060114,    8,    0
195968,20060115,   -6,    0
195968,20060116,    3,    0
194048,20060117,   -3,    0
195968,20060118,   13,    0
195968,20060119,  -16,    0
195968,20060120,  -25,    0
195968,20060121,   -2,    0
195968,20060122,   27,    0
195968,20060123,    9,    0
195968,20060124,   -9,    0
195968,20060125,   -8,    0
194048,20060126,  -35,    1
195968,20060127,   -5,    0
195968,20060128,   15,    0
195968,20060129,   25,    0
195968,20060130,   40,    0
195968,20060131,   63,    0
195968,20060201,   63,    0
195968,20060202,   70,    0
195968,20060203,   62,    0
195968,20060204,   50,    0
195968,20060205,   24,    0
195968,20060206,   10,    0
195968,20060207,    6,    0
195968,20060208,   19,    0
195968,20060209,   37,    0
195968,20060210,   44,    0
195968,20060211,   51,    0
195968,20060212,   33,    0
195968,20060213,   32,    0
195968,20060214,   38,    0
195968,20060215,   38,    0
195968,20060216,   30,    0
195968,20060217,   72,    0
195968,20060218,   56,    0
195968,20060219,   59,    0
195968,20060220,   67,    0
195968,20060221,   55,    0
195968,20060222,   71,    0
195968,20060223,   72,    0
195968,20060224,   47,    0
195968,20060225,   43,    0
195968,20060226,   63,    0
195968,20060227,   39,    0
195968,20060228,   28,    0
195968,20060301,   46,    0
195968,20060302,   39,    0
195968,20060303,   43,    0
195968,20060304,   96,    0
195968,20060305,  106,    0
195968,20060306,   58,    0
195968,20060307,   56,    0
195968,20060308,   57,    0
195968,20060309,   74,    0
195968,20060310,   77,    0
195968,20060311,   70,    0
195968,20060312,   25,    0
195968,20060313,   53,    0
195968,20060314,   55,    0
195968,20060315,   58,    0
195968,20060316,   52,    0
195968,20060317,   71,    0
195968,20060318,   59,    0
195968,20060319,   65,    0
195968,20060320,   82,    0
195968,20060321,   74,    0
195968,20060322,   89,    0
195968,20060323,  112,    0
195968,20060324,   83,    0
195968,20060325,  113,    0
195968,20060326,  136,    0
195968,20060327,  147,    0
195968,20060328,  152,    0
195968,20060329,  156,    0
195968,20060330,  138,    0
195968,20060331,  151,    0
195968,20060401,  139,    0
195968,20060402,  153,    0
195968,20060403,  140,    0
195968,20060404,  119,    0
195968,20060405,  115,    0
195968,20060406,   79,    0
195968,20060407,   87,    0
195968,20060408,  113,    0
195968,20060409,  128,    0
195968,20060410,  117,    0
195968,20060411,   93,    0
195968,20060412,  109,    0
195968,20060413,  133,    0
195968,20060414,  163,    0
195968,20060415,  149,    0
195968,20060416,  163,    0
195968,20060417,  134,    0
195968,20060418,  138,    0
195968,20060419,  150,    0
195968,20060420,  160,    0
195968,20060421,  169,    0
195968,20060422,  189,    0
195968,20060423,  194,    0
195968,20060424,  187,    0
195968,20060425,  173,    0
195968,20060426,  183,    0
195968,20060427,  155,    0
195968,20060428,  149,    0
195968,20060429,  150,    0
195968,20060430,  111,    0
195968,20060501,  136,    0
195968,20060502,  151,    0
195968,20060503,  160,    0
195968,20060504,  170,    0
195968,20060505,  162,    0
195968,20060506,  171,    0
195968,20060507,  180,    0
195968,20060508,  165,    0
195968,20060509,  130,    0
