EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTE IOTTONE (STAID: 2843).
Blended and updated with sources: 196120 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196120,20051201,-9999,    9
196120,20051202,-9999,    9
196120,20051203,-9999,    9
196120,20051204,-9999,    9
196120,20051205,-9999,    9
196120,20051206,-9999,    9
196120,20051207,-9999,    9
196120,20051208,-9999,    9
196120,20051209,-9999,    9
196120,20051210,-9999,    9
196120,20051211,-9999,    9
196120,20051212,-9999,    9
196120,20051213,-9999,    9
196120,20051214,-9999,    9
196120,20051215,-9999,    9
196120,20051216,-9999,    9
196120,20051217,-9999,    9
196120,20051218,-9999,    9
196120,20051219,-9999,    9
196120,20051220,-9999,    9
196120,20051221,-9999,    9
196120,20051222,-9999,    9
196120,20051223,-9999,    9
196120,20051224,-9999,    9
196120,20051225,-9999,    9
196120,20051226,-9999,    9
196120,20051227,-9999,    9
196120,20051228,-9999,    9
196120,20051229,-9999,    9
196120,20051230,-9999,    9
196120,20051231,    8,    0
196120,20060101,    0,    0
196120,20060102,   26,    0
196120,20060103,   34,    0
196120,20060104,   27,    0
196120,20060105,   22,    0
196120,20060106,   30,    0
196120,20060107,   39,    0
196120,20060108,   26,    0
196120,20060109,    6,    0
196120,20060110,   10,    0
196120,20060111,   32,    0
196120,20060112,   31,    0
196120,20060113,   18,    0
196120,20060114,    9,    0
196120,20060115,    0,    0
196120,20060116,   -3,    0
196120,20060117,    9,    0
196120,20060118,    2,    0
196120,20060119,   49,    0
196120,20060120,   51,    0
196120,20060121,   53,    0
196120,20060122,   22,    0
196120,20060123,   -8,    0
196120,20060124,  -26,    0
196120,20060125,  -27,    0
196120,20060126,    6,    0
196120,20060127,   33,    0
196120,20060128,   38,    0
196120,20060129,   50,    0
196120,20060130,   58,    0
196120,20060131,   70,    0
196120,20060201,   84,    0
196120,20060202,   97,    0
196120,20060203,   81,    0
196120,20060204,   60,    0
196120,20060205,   13,    0
196120,20060206,   -8,    0
196120,20060207,   10,    0
196120,20060208,   47,    0
196120,20060209,   43,    0
196120,20060210,   40,    0
196120,20060211,   41,    0
196120,20060212,   36,    0
196120,20060213,   30,    0
196120,20060214,   47,    0
196120,20060215,   84,    0
196120,20060216,   82,    0
196120,20060217,  116,    0
196120,20060218,  106,    0
196120,20060219,  112,    0
196120,20060220,   90,    0
196120,20060221,   58,    0
196120,20060222,   59,    0
196120,20060223,   53,    0
196120,20060224,   31,    0
196120,20060225,   31,    0
196120,20060226,   50,    0
196120,20060227,   38,    0
196120,20060228,   11,    0
196120,20060301,   28,    0
196120,20060302,   25,    0
196120,20060303,   90,    0
196120,20060304,  122,    0
196120,20060305,  104,    0
196120,20060306,   25,    0
196120,20060307,   34,    0
196120,20060308,   48,    0
196120,20060309,   80,    0
196120,20060310,   69,    0
196120,20060311,   44,    0
196120,20060312,   25,    0
196120,20060313,   21,    0
196120,20060314,   33,    0
196120,20060315,   47,    0
196120,20060316,   31,    0
196120,20060317,   46,    0
196120,20060318,   44,    0
196120,20060319,   50,    0
196120,20060320,   74,    0
196120,20060321,   99,    0
196120,20060322,   65,    0
196120,20060323,   83,    0
196120,20060324,   89,    0
196120,20060325,   95,    0
196120,20060326,  127,    0
196120,20060327,  148,    0
196120,20060328,  146,    0
196120,20060329,  132,    0
196120,20060330,  140,    0
196120,20060331,  158,    0
196120,20060401,  146,    0
196120,20060402,  131,    0
196120,20060403,  126,    0
196120,20060404,  114,    0
196120,20060405,  138,    0
196120,20060406,   89,    0
196120,20060407,   65,    0
196120,20060408,  101,    0
196120,20060409,  134,    0
196120,20060410,  152,    0
196120,20060411,   86,    0
196120,20060412,   88,    0
196120,20060413,  110,    0
196120,20060414,  159,    0
196120,20060415,  155,    0
196120,20060416,  151,    0
196120,20060417,  143,    0
196120,20060418,  108,    0
196120,20060419,  119,    0
196120,20060420,  145,    0
196120,20060421,  157,    0
196120,20060422,  175,    0
196120,20060423,  186,    0
196120,20060424,  183,    0
196120,20060425,  172,    0
196120,20060426,  161,    0
196120,20060427,  124,    0
196120,20060428,  124,    0
196120,20060429,  132,    0
196120,20060430,   98,    0
196120,20060501,  116,    0
196120,20060502,  145,    0
196120,20060503,  140,    0
196120,20060504,  145,    0
196120,20060505,  137,    0
196120,20060506,  152,    0
196120,20060507,  162,    0
196120,20060508,  152,    0
196120,20060509,  122,    0
196120,20060510,  129,    0
196120,20060511,  148,    0
196120,20060512,  179,    0
196120,20060513,  184,    0
196120,20060514,  141,    0
196120,20060515,  170,    0
196120,20060516,  206,    0
196120,20060517,  210,    0
196120,20060518,  220,    0
196120,20060519,  221,    0
196120,20060520,  194,    0
196120,20060521,  201,    0
196120,20060522,  225,    0
196120,20060523,  204,    0
196120,20060524,  150,    0
196120,20060525,  160,    0
196120,20060526,  191,    0
196120,20060527,  228,    0
196120,20060528,  239,    0
196120,20060529,  206,    0
196120,20060530,  106,    0
196120,20060531,  119,    0
196120,20060601,  114,    0
196120,20060602,  107,    0
196120,20060603,  118,    0
196120,20060604,  169,    0
196120,20060605,  168,    0
196120,20060606,  137,    0
196120,20060607,  136,    0
196120,20060608,  155,    0
196120,20060609,  156,    0
196120,20060610,  185,    0
196120,20060611,  155,    0
196120,20060612,  171,    0
196120,20060613,  211,    0
196120,20060614,  232,    0
196120,20060615,  244,    0
196120,20060616,  222,    0
196120,20060617,  237,    0
196120,20060618,  244,    0
196120,20060619,  260,    0
196120,20060620,  258,    0
196120,20060621,  266,    0
196120,20060622,  259,    0
196120,20060623,  264,    0
196120,20060624,  249,    0
196120,20060625,  259,    0
196120,20060626,  278,    0
196120,20060627,  276,    0
196120,20060628,  277,    0
196120,20060629,  259,    0
196120,20060630,  249,    0
196120,20060701,  240,    0
196120,20060702,  223,    0
196120,20060703,  219,    0
196120,20060704,  211,    0
196120,20060705,  224,    0
196120,20060706,  231,    0
196120,20060707,  188,    0
196120,20060708,  202,    0
196120,20060709,  236,    0
196120,20060710,  246,    0
196120,20060711,  252,    0
196120,20060712,  250,    0
196120,20060713,  249,    0
196120,20060714,  248,    0
196120,20060715,  243,    0
196120,20060716,  221,    0
196120,20060717,  213,    0
196120,20060718,  218,    0
196120,20060719,  201,    0
196120,20060720,  280,    0
196120,20060721,  290,    0
196120,20060722,  287,    0
196120,20060723,  286,    0
196120,20060724,  267,    0
196120,20060725,  265,    0
196120,20060726,  270,    0
196120,20060727,  266,    0
196120,20060728,  277,    0
196120,20060729,  243,    0
196120,20060730,  251,    0
196120,20060731,  279,    0
196120,20060801,  265,    0
196120,20060802,  225,    0
196120,20060803,  217,    0
196120,20060804,  183,    0
196120,20060805,  203,    0
196120,20060806,  224,    0
196120,20060807,  238,    0
196120,20060808,  211,    0
196120,20060809,  186,    0
196120,20060810,  193,    0
196120,20060811,  174,    0
196120,20060812,  150,    0
196120,20060813,  181,    0
196120,20060814,  194,    0
196120,20060815,  214,    0
196120,20060816,  226,    0
196120,20060817,  238,    0
