EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTESE (STAID: 2850).
Blended and updated with sources: 196160 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196160,20051201,-9999,    9
196160,20051202,-9999,    9
196160,20051203,-9999,    9
196160,20051204,-9999,    9
196160,20051205,-9999,    9
196160,20051206,-9999,    9
196160,20051207,-9999,    9
196160,20051208,-9999,    9
196160,20051209,-9999,    9
196160,20051210,-9999,    9
196160,20051211,-9999,    9
196160,20051212,-9999,    9
196160,20051213,-9999,    9
196160,20051214,-9999,    9
196160,20051215,-9999,    9
196160,20051216,-9999,    9
196160,20051217,-9999,    9
196160,20051218,-9999,    9
196160,20051219,-9999,    9
196160,20051220,-9999,    9
196160,20051221,-9999,    9
196160,20051222,-9999,    9
196160,20051223,-9999,    9
196160,20051224,-9999,    9
196160,20051225,-9999,    9
196160,20051226,-9999,    9
196160,20051227,-9999,    9
196160,20051228,-9999,    9
196160,20051229,-9999,    9
196160,20051230,-9999,    9
196160,20051231,  -18,    0
196160,20060101,   -8,    0
196160,20060102,  -10,    0
196160,20060103,   -6,    0
196160,20060104,  -22,    0
196160,20060105,  -33,    0
196160,20060106,  -24,    0
196160,20060107,   -9,    0
196160,20060108,  -21,    0
196160,20060109,  -41,    0
196160,20060110,  -30,    0
196160,20060111,   -2,    0
196160,20060112,   -5,    0
196160,20060113,  -28,    0
196160,20060114,  -24,    0
196160,20060115,  -44,    0
196160,20060116,  -44,    0
