EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, NOCIVEGLIA (STAID: 2852).
Blended and updated with sources: 196264 197584 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196264,20051201,-9999,    9
196264,20051202,-9999,    9
196264,20051203,-9999,    9
196264,20051204,-9999,    9
196264,20051205,-9999,    9
196264,20051206,-9999,    9
196264,20051207,-9999,    9
196264,20051208,-9999,    9
196264,20051209,-9999,    9
196264,20051210,-9999,    9
196264,20051211,-9999,    9
196264,20051212,-9999,    9
196264,20051213,-9999,    9
196264,20051214,-9999,    9
196264,20051215,-9999,    9
196264,20051216,-9999,    9
196264,20051217,-9999,    9
196264,20051218,-9999,    9
196264,20051219,-9999,    9
196264,20051220,-9999,    9
196264,20051221,-9999,    9
196264,20051222,-9999,    9
196264,20051223,-9999,    9
196264,20051224,-9999,    9
196264,20051225,-9999,    9
196264,20051226,-9999,    9
196264,20051227,-9999,    9
196264,20051228,-9999,    9
196264,20051229,-9999,    9
196264,20051230,-9999,    9
196264,20051231,  -20,    0
196264,20060101,  -23,    0
196264,20060102,    0,    0
196264,20060103,   12,    0
196264,20060104,   -1,    0
196264,20060105,   -8,    0
196264,20060106,    1,    0
196264,20060107,   11,    0
196264,20060108,   -3,    0
196264,20060109,  -20,    0
196264,20060110,   -2,    0
196264,20060111,   16,    0
196264,20060112,   12,    0
196264,20060113,   -7,    0
196264,20060114,    3,    0
196264,20060115,  -31,    0
196264,20060116,  -35,    0
196264,20060117,    1,    0
196264,20060118,   53,    0
196264,20060119,   46,    0
196264,20060120,   42,    0
196264,20060121,   46,    0
196264,20060122,   25,    0
196264,20060123,  -21,    0
196264,20060124,  -51,    0
196264,20060125,  -26,    0
196264,20060126,  -54,    0
196264,20060127,  -38,    0
196264,20060128,    2,    0
196264,20060129,   29,    0
196264,20060130,   37,    0
196264,20060131,   61,    0
196264,20060201,   74,    0
196264,20060202,   75,    0
196264,20060203,   36,    0
196264,20060204,   35,    0
196264,20060205,  -13,    0
196264,20060206,  -28,    0
196264,20060207,    0,    0
196264,20060208,   32,    0
196264,20060209,   33,    0
196264,20060210,   21,    0
196264,20060211,    6,    0
196264,20060212,    6,    0
196264,20060213,    6,    0
196264,20060214,   18,    0
196264,20060215,   46,    0
196264,20060216,   65,    0
196264,20060217,   70,    0
196264,20060218,   56,    0
196264,20060219,   53,    0
196264,20060220,   44,    0
196264,20060221,   16,    0
196264,20060222,   19,    0
196264,20060223,   20,    0
196264,20060224,   -2,    0
196264,20060225,    1,    0
196264,20060226,   17,    0
196264,20060227,    1,    0
196264,20060228,  -11,    0
196264,20060301,    5,    0
196264,20060302,   -1,    0
196264,20060303,   53,    0
196264,20060304,   72,    0
196264,20060305,   63,    0
196264,20060306,    7,    0
196264,20060307,    9,    0
196264,20060308,   16,    0
196264,20060309,   58,    0
196264,20060310,   63,    0
196264,20060311,   32,    0
196264,20060312,   -1,    0
196264,20060313,   12,    0
196264,20060314,   35,    0
196264,20060315,   36,    0
196264,20060316,    8,    0
196264,20060317,   28,    0
196264,20060318,   27,    0
196264,20060319,   33,    0
196264,20060320,   55,    0
196264,20060321,   48,    0
196264,20060322,   50,    0
196264,20060323,   67,    0
196264,20060324,   56,    0
196264,20060325,   69,    0
196264,20060326,   80,    0
196264,20060327,   86,    0
196264,20060328,   81,    0
196264,20060329,   87,    0
196264,20060330,   72,    0
196264,20060331,   84,    0
196264,20060401,   93,    0
196264,20060402,   99,    0
196264,20060403,  118,    0
196264,20060404,   93,    0
196264,20060405,   73,    0
196264,20060406,   41,    0
196264,20060407,   44,    0
196264,20060408,   64,    0
196264,20060409,   81,    0
196264,20060410,   85,    0
196264,20060411,   39,    0
196264,20060412,   70,    0
196264,20060413,   94,    0
196264,20060414,  106,    0
196264,20060415,   92,    0
196264,20060416,  107,    0
196264,20060417,  106,    0
196264,20060418,   93,    0
196264,20060419,  111,    0
196264,20060420,  103,    0
196264,20060421,  107,    0
196264,20060422,  133,    0
196264,20060423,  131,    0
196264,20060424,  144,    0
196264,20060425,  134,    0
196264,20060426,  114,    0
196264,20060427,  117,    0
196264,20060428,  107,    0
196264,20060429,  112,    0
196264,20060430,   84,    0
196264,20060501,  102,    0
196264,20060502,  109,    0
196264,20060503,  121,    0
196264,20060504,  128,    0
196264,20060505,  112,    0
196264,20060506,  117,    0
196264,20060507,  118,    0
196264,20060508,  122,    0
196264,20060509,   76,    0
196264,20060510,  101,    0
196264,20060511,  107,    0
196264,20060512,  133,    0
196264,20060513,  127,    0
196264,20060514,  140,    0
196264,20060515,  149,    0
196264,20060516,  147,    0
196264,20060517,  149,    0
196264,20060518,  164,    0
196264,20060519,  156,    0
196264,20060520,  136,    0
196264,20060521,  140,    0
196264,20060522,  164,    0
196264,20060523,  141,    0
196264,20060524,  130,    0
196264,20060525,  141,    0
196264,20060526,  163,    0
196264,20060527,  184,    0
196264,20060528,  177,    0
196264,20060529,  156,    0
196264,20060530,  121,    0
196264,20060531,   75,    0
196264,20060601,   99,    0
196264,20060602,   77,    0
196264,20060603,  127,    0
196264,20060604,  137,    0
196264,20060605,  134,    0
196264,20060606,  119,    0
196264,20060607,  119,    0
196264,20060608,  135,    0
196264,20060609,  134,    0
196264,20060610,  152,    0
196264,20060611,  145,    0
196264,20060612,  147,    0
196264,20060613,  174,    0
196264,20060614,  179,    0
196264,20060615,  188,    0
196264,20060616,  180,    0
196264,20060617,  194,    0
196264,20060618,  200,    0
196264,20060619,  201,    0
196264,20060620,  220,    0
196264,20060621,  222,    0
196264,20060622,  219,    0
196264,20060623,  219,    0
196264,20060624,  213,    0
196264,20060625,  215,    0
196264,20060626,  217,    0
