EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, OSPITALETTO (OSPEDALETTO) (STAID: 2856).
Blended and updated with sources: 195256 196312 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196312,20051201,-9999,    9
196312,20051202,-9999,    9
196312,20051203,-9999,    9
196312,20051204,-9999,    9
196312,20051205,-9999,    9
196312,20051206,-9999,    9
196312,20051207,-9999,    9
196312,20051208,-9999,    9
196312,20051209,-9999,    9
196312,20051210,-9999,    9
196312,20051211,-9999,    9
196312,20051212,-9999,    9
196312,20051213,-9999,    9
196312,20051214,-9999,    9
196312,20051215,-9999,    9
196312,20051216,-9999,    9
196312,20051217,-9999,    9
196312,20051218,-9999,    9
196312,20051219,-9999,    9
196312,20051220,-9999,    9
196312,20051221,-9999,    9
196312,20051222,-9999,    9
196312,20051223,-9999,    9
196312,20051224,-9999,    9
196312,20051225,-9999,    9
196312,20051226,-9999,    9
196312,20051227,-9999,    9
196312,20051228,-9999,    9
196312,20051229,-9999,    9
196312,20051230,-9999,    9
196312,20051231,    8,    0
196312,20060101,   12,    0
196312,20060102,  -16,    0
196312,20060103,  -21,    0
196312,20060104,  -33,    0
196312,20060105,  -48,    0
196312,20060106,  -48,    0
196312,20060107,  -27,    0
196312,20060108,  -35,    0
196312,20060109,  -57,    0
196312,20060110,  -51,    0
196312,20060111,  -29,    0
196312,20060112,  -27,    0
196312,20060113,  -50,    0
196312,20060114,  -45,    0
196312,20060115,  -67,    0
196312,20060116,  -59,    0
196312,20060117,   -3,    0
196312,20060118,   31,    0
196312,20060119,   14,    0
196312,20060120,   23,    0
196312,20060121,   21,    0
196312,20060122,  -20,    0
196312,20060123,  -65,    0
196312,20060124,  -91,    0
196312,20060125,  -67,    0
196312,20060126,  -73,    0
196312,20060127,  -27,    0
196312,20060128,    0,    0
196312,20060129,   10,    0
196312,20060130,   15,    0
196312,20060131,   21,    0
196312,20060201,   49,    0
196312,20060202,   68,    0
196312,20060203,   28,    0
196312,20060204,    4,    0
196312,20060205,  -49,    0
196312,20060206,  -70,    0
196312,20060207,  -17,    0
196312,20060208,   10,    0
196312,20060209,    0,    0
196312,20060210,  -29,    0
196312,20060211,  -37,    0
196312,20060212,  -35,    0
196312,20060213,  -30,    0
196312,20060214,   -6,    0
196312,20060215,   16,    0
196312,20060216,   42,    0
196312,20060217,   30,    0
196312,20060218,   30,    0
196312,20060219,   30,    0
196312,20060220,   10,    0
196312,20060221,   -8,    0
196312,20060222,   -3,    0
196312,20060223,   -8,    0
196312,20060224,  -31,    0
196312,20060225,  -22,    0
196312,20060226,  -10,    0
196312,20060227,  -22,    0
196312,20060228,  -35,    0
196312,20060301,  -26,    0
196312,20060302,  -31,    0
196312,20060303,   16,    0
196312,20060304,   38,    0
196312,20060305,   28,    0
196312,20060306,  -42,    0
196312,20060307,  -39,    0
196312,20060308,   -8,    0
196312,20060309,   45,    0
196312,20060310,   32,    0
196312,20060311,  -13,    0
196312,20060312,  -42,    0
196312,20060313,  -41,    0
196312,20060314,   -2,    0
196312,20060315,    8,    0
196312,20060316,  -14,    0
196312,20060317,   -4,    0
196312,20060318,   -3,    0
196312,20060319,   -2,    0
