EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PAVULLO NEL FRIGNANO (STAID: 2860).
Blended and updated with sources: 196440 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196440,20051201,-9999,    9
196440,20051202,-9999,    9
196440,20051203,-9999,    9
196440,20051204,-9999,    9
196440,20051205,-9999,    9
196440,20051206,-9999,    9
196440,20051207,-9999,    9
196440,20051208,-9999,    9
196440,20051209,-9999,    9
196440,20051210,-9999,    9
196440,20051211,-9999,    9
196440,20051212,-9999,    9
196440,20051213,-9999,    9
196440,20051214,-9999,    9
196440,20051215,-9999,    9
196440,20051216,-9999,    9
196440,20051217,-9999,    9
196440,20051218,-9999,    9
196440,20051219,-9999,    9
196440,20051220,-9999,    9
196440,20051221,-9999,    9
196440,20051222,-9999,    9
196440,20051223,-9999,    9
196440,20051224,-9999,    9
196440,20051225,-9999,    9
196440,20051226,-9999,    9
196440,20051227,-9999,    9
196440,20051228,-9999,    9
196440,20051229,-9999,    9
196440,20051230,-9999,    9
196440,20051231,  -25,    0
196440,20060101,  -22,    0
196440,20060102,   -2,    0
196440,20060103,   12,    0
196440,20060104,    0,    0
196440,20060105,  -10,    0
196440,20060106,  -11,    0
196440,20060107,    2,    0
196440,20060108,   -2,    0
196440,20060109,  -33,    0
196440,20060110,  -43,    0
196440,20060111,  -30,    0
196440,20060112,  -28,    0
196440,20060113,  -45,    0
196440,20060114,  -47,    0
196440,20060115,  -46,    0
196440,20060116,  -27,    0
196440,20060117,  -14,    0
196440,20060118,    2,    0
196440,20060119,   -4,    0
196440,20060120,    0,    0
196440,20060121,    1,    0
196440,20060122,  -10,    0
196440,20060123,  -38,    0
196440,20060124,  -58,    0
196440,20060125,  -63,    0
196440,20060126,  -53,    0
196440,20060127,  -10,    0
196440,20060128,   11,    0
196440,20060129,   19,    0
196440,20060130,   20,    0
196440,20060131,   14,    0
196440,20060201,   21,    0
196440,20060202,   24,    0
196440,20060203,   19,    0
196440,20060204,   18,    0
196440,20060205,  -15,    0
196440,20060206,  -45,    0
196440,20060207,  -34,    0
196440,20060208,   -6,    0
196440,20060209,   10,    0
196440,20060210,    6,    0
196440,20060211,  -19,    0
196440,20060212,  -25,    0
196440,20060213,  -25,    0
196440,20060214,   -9,    0
196440,20060215,   25,    0
196440,20060216,   70,    0
196440,20060217,   83,    0
196440,20060218,   73,    0
196440,20060219,   69,    0
196440,20060220,   46,    0
196440,20060221,   13,    0
196440,20060222,   17,    0
196440,20060223,   24,    0
196440,20060224,   -2,    0
196440,20060225,    1,    0
196440,20060226,   17,    0
196440,20060227,   -2,    0
196440,20060228,   -5,    0
196440,20060301,    5,    0
196440,20060302,   -9,    0
196440,20060303,   53,    0
196440,20060304,   96,    0
196440,20060305,   74,    0
196440,20060306,   -7,    0
196440,20060307,   -4,    0
196440,20060308,    7,    0
196440,20060309,   45,    0
196440,20060310,   41,    0
196440,20060311,    2,    0
196440,20060312,  -16,    0
196440,20060313,   -7,    0
196440,20060314,   -1,    0
196440,20060315,   18,    0
196440,20060316,    4,    0
196440,20060317,   18,    0
196440,20060318,   17,    0
196440,20060319,   20,    0
196440,20060320,   47,    0
196440,20060321,   47,    0
196440,20060322,   51,    0
196440,20060323,   66,    0
196440,20060324,   55,    0
196440,20060325,   59,    0
196440,20060326,   83,    0
196440,20060327,  100,    0
196440,20060328,  106,    0
196440,20060329,  109,    0
196440,20060330,  108,    0
196440,20060331,  128,    0
196440,20060401,  101,    0
196440,20060402,   98,    0
196440,20060403,   86,    0
196440,20060404,   74,    0
196440,20060405,   91,    0
196440,20060406,   46,    0
196440,20060407,   33,    0
196440,20060408,   54,    0
196440,20060409,   92,    0
196440,20060410,  112,    0
196440,20060411,   51,    0
196440,20060412,   56,    0
196440,20060413,   64,    0
196440,20060414,  119,    0
196440,20060415,  111,    0
196440,20060416,  119,    0
196440,20060417,   97,    0
196440,20060418,   87,    0
196440,20060419,   94,    0
196440,20060420,   92,    0
196440,20060421,  102,    0
196440,20060422,  129,    0
196440,20060423,  153,    0
196440,20060424,  140,    0
196440,20060425,  128,    0
196440,20060426,  133,    0
196440,20060427,  106,    0
196440,20060428,  104,    0
196440,20060429,  108,    0
196440,20060430,   79,    0
196440,20060501,   96,    0
196440,20060502,  100,    0
196440,20060503,  112,    0
196440,20060504,  110,    0
196440,20060505,  108,    0
196440,20060506,  114,    0
196440,20060507,  108,    0
196440,20060508,  115,    0
196440,20060509,   90,    0
196440,20060510,  106,    0
196440,20060511,  108,    0
196440,20060512,  139,    0
196440,20060513,  152,    0
196440,20060514,  124,    0
196440,20060515,  138,    0
196440,20060516,  167,    0
196440,20060517,  184,    0
196440,20060518,  184,    0
196440,20060519,  187,    0
196440,20060520,  164,    0
196440,20060521,  172,    0
196440,20060522,  182,    0
196440,20060523,  161,    0
196440,20060524,  130,    0
196440,20060525,  131,    0
196440,20060526,  156,    0
196440,20060527,  192,    0
196440,20060528,  216,    0
196440,20060529,  161,    0
196440,20060530,   78,    0
196440,20060531,   86,    0
196440,20060601,   95,    0
196440,20060602,   75,    0
196440,20060603,  109,    0
196440,20060604,  139,    0
196440,20060605,  141,    0
196440,20060606,  125,    0
196440,20060607,  116,    0
196440,20060608,  126,    0
196440,20060609,  124,    0
196440,20060610,  152,    0
196440,20060611,  148,    0
196440,20060612,  147,    0
196440,20060613,  185,    0
196440,20060614,  206,    0
196440,20060615,  215,    0
196440,20060616,  196,    0
196440,20060617,  207,    0
196440,20060618,  203,    0
196440,20060619,  211,    0
196440,20060620,  218,    0
196440,20060621,  231,    0
196440,20060622,  236,    0
196440,20060623,  219,    0
196440,20060624,  229,    0
196440,20060625,  230,    0
196440,20060626,  240,    0
196440,20060627,  234,    0
196440,20060628,  238,    0
196440,20060629,  218,    0
196440,20060630,  221,    0
196440,20060701,  221,    0
196440,20060702,  208,    0
196440,20060703,  204,    0
196440,20060704,  203,    0
196440,20060705,  209,    0
196440,20060706,  198,    0
196440,20060707,  160,    0
196440,20060708,  180,    0
196440,20060709,  204,    0
196440,20060710,  215,    0
196440,20060711,  224,    0
196440,20060712,  235,    0
196440,20060713,  218,    0
196440,20060714,  223,    0
196440,20060715,  221,    0
196440,20060716,  205,    0
196440,20060717,  196,    0
196440,20060718,  197,    0
196440,20060719,  214,    0
196440,20060720,  234,    0
196440,20060721,  246,    0
196440,20060722,  251,    0
196440,20060723,  236,    0
196440,20060724,  245,    0
196440,20060725,  245,    0
196440,20060726,  233,    0
196440,20060727,  228,    0
196440,20060728,  234,    0
196440,20060729,  207,    0
196440,20060730,  225,    0
196440,20060731,  235,    0
196440,20060801,  243,    0
196440,20060802,  196,    0
196440,20060803,  177,    0
196440,20060804,  169,    0
196440,20060805,  162,    0
196440,20060806,  170,    0
196440,20060807,  207,    0
196440,20060808,  196,    0
196440,20060809,  172,    0
196440,20060810,  174,    0
196440,20060811,  148,    0
196440,20060812,  131,    0
196440,20060813,  144,    0
196440,20060814,  151,    0
196440,20060815,  171,    0
196440,20060816,  184,    0
196440,20060817,  207,    0
196440,20060818,  217,    0
196440,20060819,  186,    0
196440,20060820,  200,    0
196440,20060821,  180,    0
196440,20060822,  185,    0
196440,20060823,  193,    0
196440,20060824,  195,    0
196440,20060825,  191,    0
196440,20060826,  158,    0
196440,20060827,  159,    0
196440,20060828,  178,    0
196440,20060829,  189,    0
196440,20060830,  146,    0
196440,20060831,  147,    0
196440,20060901,  158,    0
196440,20060902,  168,    0
196440,20060903,  182,    0
196440,20060904,  208,    0
196440,20060905,  209,    0
196440,20060906,  215,    0
196440,20060907,  214,    0
196440,20060908,  186,    0
196440,20060909,  162,    0
196440,20060910,  138,    0
196440,20060911,  147,    0
196440,20060912,  152,    0
196440,20060913,  158,    0
196440,20060914,  160,    0
196440,20060915,  186,    0
196440,20060916,  146,    0
196440,20060917,  128,    0
196440,20060918,  156,    0
196440,20060919,  153,    0
196440,20060920,  160,    0
196440,20060921,  160,    0
196440,20060922,  158,    0
196440,20060923,  145,    0
196440,20060924,  141,    0
196440,20060925,  142,    0
196440,20060926,  139,    0
196440,20060927,  143,    0
196440,20060928,  142,    0
196440,20060929,  157,    0
196440,20060930,  149,    0
196440,20061001,  169,    0
196440,20061002,  172,    0
196440,20061003,  187,    0
196440,20061004,  152,    0
196440,20061005,  116,    0
196440,20061006,  105,    0
196440,20061007,   97,    0
196440,20061008,  103,    0
196440,20061009,   97,    0
196440,20061010,   93,    0
196440,20061011,   99,    0
196440,20061012,  105,    0
196440,20061013,  108,    0
196440,20061014,   99,    0
196440,20061015,   84,    0
196440,20061016,   84,    0
196440,20061017,   73,    0
196440,20061018,   74,    0
196440,20061019,   97,    0
196440,20061020,  102,    0
196440,20061021,  107,    0
196440,20061022,  119,    0
196440,20061023,  152,    0
196440,20061024,  180,    0
196440,20061025,  129,    0
196440,20061026,  132,    0
196440,20061027,  141,    0
196440,20061028,  127,    0
196440,20061029,  130,    0
196440,20061030,  109,    0
196440,20061031,   89,    0
196440,20061101,  109,    0
196440,20061102,   40,    0
196440,20061103,   12,    0
196440,20061104,   18,    0
196440,20061105,   88,    0
196440,20061106,   94,    0
196440,20061107,   66,    0
196440,20061108,   73,    0
196440,20061109,   84,    0
196440,20061110,   62,    0
196440,20061111,   42,    0
196440,20061112,   87,    0
196440,20061113,   61,    0
196440,20061114,   85,    0
196440,20061115,   93,    0
196440,20061116,  106,    0
196440,20061117,  120,    0
196440,20061118,   94,    0
196440,20061119,   81,    0
196440,20061120,   74,    0
196440,20061121,   62,    0
196440,20061122,   45,    0
196440,20061123,   49,    0
196440,20061124,   83,    0
196440,20061125,  105,    0
196440,20061126,   76,    0
196440,20061127,   58,    0
196440,20061128,   55,    0
196440,20061129,   42,    0
196440,20061130,   49,    0
196440,20061201,   26,    0
196440,20061202,   25,    0
196440,20061203,   58,    0
196440,20061204,   72,    0
196440,20061205,   69,    0
196440,20061206,  110,    0
196440,20061207,   87,    0
196440,20061208,  108,    0
196440,20061209,   76,    0
196440,20061210,   50,    0
196440,20061211,   19,    0
196440,20061212,    5,    0
196440,20061213,   12,    0
196440,20061214,    6,    0
196440,20061215,   25,    0
196440,20061216,   37,    0
196440,20061217,   40,    0
196440,20061218,   32,    0
196440,20061219,   11,    0
196440,20061220,   -3,    0
196440,20061221,   -7,    0
196440,20061222,   12,    0
196440,20061223,   -5,    0
196440,20061224,  -11,    0
196440,20061225,    8,    0
196440,20061226,   -9,    0
196440,20061227,  -20,    0
196440,20061228,   -5,    0
196440,20061229,   -2,    0
196440,20061230,   18,    0
196440,20061231,   38,    0
196440,20070101,  100,    0
196440,20070102,   63,    0
196440,20070103,   42,    0
196440,20070104,   59,    0
196440,20070105,   22,    0
196440,20070106,   17,    0
196440,20070107,   22,    0
196440,20070108,   41,    0
196440,20070109,   32,    0
196440,20070110,   42,    0
196440,20070111,   85,    0
196440,20070112,   90,    0
196440,20070113,   53,    0
196440,20070114,   45,    0
196440,20070115,   41,    0
196440,20070116,   38,    0
196440,20070117,   54,    0
196440,20070118,   84,    0
196440,20070119,  175,    0
196440,20070120,  128,    0
196440,20070121,   72,    0
196440,20070122,   78,    0
196440,20070123,   81,    0
196440,20070124,   17,    0
196440,20070125,    4,    0
196440,20070126,  -15,    0
