EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PENNABILLI (STAID: 2862).
Blended and updated with sources: 196456 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196456,20070501,-9999,    9
196456,20070502,-9999,    9
196456,20070503,-9999,    9
196456,20070504,-9999,    9
196456,20070505,-9999,    9
196456,20070506,-9999,    9
196456,20070507,-9999,    9
196456,20070508,-9999,    9
196456,20070509,-9999,    9
196456,20070510,-9999,    9
196456,20070511,-9999,    9
196456,20070512,-9999,    9
196456,20070513,-9999,    9
196456,20070514,-9999,    9
196456,20070515,-9999,    9
196456,20070516,-9999,    9
196456,20070517,-9999,    9
196456,20070518,-9999,    9
196456,20070519,-9999,    9
196456,20070520,-9999,    9
196456,20070521,-9999,    9
196456,20070522,  211,    0
196456,20070523,  215,    0
196456,20070524,  213,    0
196456,20070525,  226,    0
196456,20070526,  213,    0
196456,20070527,  168,    0
196456,20070528,  116,    0
196456,20070529,  101,    0
196456,20070530,  135,    0
196456,20070531,  162,    0
196456,20070601,  139,    0
196456,20070602,  126,    0
196456,20070603,  145,    0
196456,20070604,  171,    0
196456,20070605,  164,    0
196456,20070606,  143,    0
196456,20070607,  149,    0
196456,20070608,  164,    0
196456,20070609,  189,    0
196456,20070610,  209,    0
196456,20070611,  207,    0
196456,20070612,  196,    0
196456,20070613,  198,    0
196456,20070614,  212,    0
196456,20070615,  203,    0
196456,20070616,  195,    0
196456,20070617,  201,    0
196456,20070618,  224,    0
196456,20070619,  230,    0
196456,20070620,  243,    0
196456,20070621,  236,    0
196456,20070622,  222,    0
196456,20070623,  216,    0
196456,20070624,  229,    0
196456,20070625,  249,    0
196456,20070626,  192,    0
196456,20070627,  174,    0
196456,20070628,  186,    0
196456,20070629,  201,    0
196456,20070630,  203,    0
196456,20070701,  231,    0
196456,20070702,  214,    0
196456,20070703,  203,    0
196456,20070704,  175,    0
196456,20070705,  177,    0
196456,20070706,  216,    0
196456,20070707,  226,    0
196456,20070708,  237,    0
196456,20070709,  233,    0
196456,20070710,  181,    0
196456,20070711,  149,    0
196456,20070712,  190,    0
196456,20070713,  219,    0
196456,20070714,  240,    0
196456,20070715,  259,    0
196456,20070716,  283,    0
196456,20070717,  276,    0
196456,20070718,  294,    0
196456,20070719,  295,    0
196456,20070720,  283,    0
196456,20070721,  269,    0
196456,20070722,  248,    0
196456,20070723,  257,    0
196456,20070724,  233,    0
196456,20070725,  226,    0
196456,20070726,  222,    0
196456,20070727,  259,    0
196456,20070728,  261,    0
196456,20070729,  247,    0
196456,20070730,  227,    0
196456,20070731,  160,    0
196456,20070801,  178,    0
196456,20070802,  218,    0
196456,20070803,  183,    0
196456,20070804,  182,    0
196456,20070805,  182,    0
196456,20070806,  196,    0
196456,20070807,  235,    0
196456,20070808,  197,    0
196456,20070809,  179,    0
196456,20070810,  154,    0
196456,20070811,  174,    0
196456,20070812,  206,    0
196456,20070813,  208,    0
196456,20070814,  227,    0
196456,20070815,  238,    0
196456,20070816,  250,    0
196456,20070817,  235,    0
196456,20070818,  211,    0
196456,20070819,  218,    0
196456,20070820,  181,    0
196456,20070821,  168,    0
196456,20070822,  176,    0
196456,20070823,  180,    0
196456,20070824,  169,    0
196456,20070825,  210,    0
196456,20070826,  228,    0
196456,20070827,  241,    0
196456,20070828,  258,    0
196456,20070829,  249,    0
196456,20070830,  237,    0
196456,20070831,  165,    0
196456,20070901,  167,    0
196456,20070902,  170,    0
196456,20070903,  191,    0
196456,20070904,  120,    0
196456,20070905,   97,    0
196456,20070906,  129,    0
196456,20070907,  155,    0
196456,20070908,  178,    0
196456,20070909,  190,    0
196456,20070910,  180,    0
196456,20070911,  167,    0
196456,20070912,  158,    0
196456,20070913,  163,    0
196456,20070914,  181,    0
196456,20070915,  191,    0
196456,20070916,  204,    0
196456,20070917,  201,    0
196456,20070918,  195,    0
196456,20070919,  125,    0
196456,20070920,  113,    0
196456,20070921,  126,    0
196456,20070922,  144,    0
196456,20070923,  157,    0
196456,20070924,  156,    0
196456,20070925,  154,    0
196456,20070926,  147,    0
196456,20070927,  111,    0
196456,20070928,  105,    0
196456,20070929,  136,    0
196456,20070930,  147,    0
196456,20071001,  147,    0
196456,20071002,  164,    0
196456,20071003,  181,    0
196456,20071004,  204,    0
196456,20071005,  205,    0
196456,20071006,  166,    0
196456,20071007,  113,    0
196456,20071008,  122,    0
