EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PIANDELAGOTTI (STAID: 2865).
Blended and updated with sources: 196504 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196504,20051201,-9999,    9
196504,20051202,-9999,    9
196504,20051203,-9999,    9
196504,20051204,-9999,    9
196504,20051205,-9999,    9
196504,20051206,-9999,    9
196504,20051207,-9999,    9
196504,20051208,-9999,    9
196504,20051209,-9999,    9
196504,20051210,-9999,    9
196504,20051211,-9999,    9
196504,20051212,-9999,    9
196504,20051213,-9999,    9
196504,20051214,-9999,    9
196504,20051215,-9999,    9
196504,20051216,-9999,    9
196504,20051217,-9999,    9
196504,20051218,-9999,    9
196504,20051219,-9999,    9
196504,20051220,-9999,    9
196504,20051221,-9999,    9
196504,20051222,-9999,    9
196504,20051223,-9999,    9
196504,20051224,-9999,    9
196504,20051225,-9999,    9
196504,20051226,-9999,    9
196504,20051227,-9999,    9
196504,20051228,-9999,    9
196504,20051229,-9999,    9
196504,20051230,-9999,    9
196504,20051231,   11,    0
196504,20060101,   14,    0
196504,20060102,  -16,    0
196504,20060103,  -17,    0
196504,20060104,  -31,    0
196504,20060105,  -46,    0
196504,20060106,  -40,    0
196504,20060107,  -23,    0
196504,20060108,  -32,    0
196504,20060109,  -58,    0
196504,20060110,  -38,    0
196504,20060111,  -12,    0
196504,20060112,   -8,    0
196504,20060113,  -38,    0
196504,20060114,  -32,    0
196504,20060115,  -57,    0
196504,20060116,  -45,    0
196504,20060117,    0,    0
196504,20060118,   32,    0
196504,20060119,   23,    0
196504,20060120,   28,    0
196504,20060121,   20,    0
196504,20060122,  -16,    0
196504,20060123,  -67,    0
196504,20060124,  -96,    0
196504,20060125,  -49,    0
196504,20060126,  -56,    0
196504,20060127,  -11,    0
196504,20060128,    7,    0
196504,20060129,   21,    0
196504,20060130,   19,    0
196504,20060131,   40,    0
196504,20060201,   66,    0
196504,20060202,   75,    0
196504,20060203,   29,    0
196504,20060204,    9,    0
196504,20060205,  -47,    0
196504,20060206,  -62,    0
196504,20060207,   -6,    0
196504,20060208,    7,    0
196504,20060209,    8,    0
196504,20060210,  -22,    0
196504,20060211,  -20,    0
196504,20060212,  -22,    0
196504,20060213,  -20,    0
196504,20060214,    2,    0
196504,20060215,   12,    0
196504,20060216,   38,    0
196504,20060217,   30,    0
196504,20060218,   26,    0
196504,20060219,   27,    0
196504,20060220,    9,    0
196504,20060221,   -5,    0
196504,20060222,    8,    0
196504,20060223,   -4,    0
196504,20060224,  -30,    0
196504,20060225,  -19,    0
196504,20060226,   -3,    0
196504,20060227,  -17,    0
196504,20060228,  -30,    0
196504,20060301,  -18,    0
196504,20060302,  -30,    0
196504,20060303,   13,    0
196504,20060304,   35,    0
196504,20060305,   25,    0
196504,20060306,  -37,    0
196504,20060307,  -37,    0
196504,20060308,   -8,    0
196504,20060309,   49,    0
196504,20060310,   22,    0
196504,20060311,  -12,    0
196504,20060312,  -41,    0
196504,20060313,  -35,    0
196504,20060314,    0,    0
196504,20060315,   15,    0
196504,20060316,  -13,    0
196504,20060317,    2,    0
196504,20060318,    1,    0
196504,20060319,    1,    0
196504,20060320,   40,    0
196504,20060321,   45,    0
196504,20060322,   32,    0
196504,20060323,   44,    0
196504,20060324,   30,    0
196504,20060325,   49,    0
196504,20060326,   85,    0
196504,20060327,   86,    0
196504,20060328,   59,    0
196504,20060329,   65,    0
196504,20060330,   59,    0
196504,20060331,   75,    0
196504,20060401,   86,    0
196504,20060402,   78,    0
196504,20060403,   84,    0
196504,20060404,   73,    0
196504,20060405,   56,    0
196504,20060406,   32,    0
196504,20060407,   17,    0
196504,20060408,   53,    0
196504,20060409,   71,    0
196504,20060410,   72,    0
196504,20060411,    7,    0
196504,20060412,   32,    0
196504,20060413,   57,    0
196504,20060414,   95,    0
196504,20060415,   78,    0
196504,20060416,   78,    0
196504,20060417,   87,    0
196504,20060418,   59,    0
196504,20060419,   69,    0
196504,20060420,   76,    0
196504,20060421,   83,    0
196504,20060422,  112,    0
196504,20060423,  115,    0
196504,20060424,  126,    0
196504,20060425,  113,    0
196504,20060426,   96,    0
196504,20060427,   83,    0
196504,20060428,   71,    0
196504,20060429,   79,    0
196504,20060430,   55,    0
196504,20060501,   81,    0
196504,20060502,   80,    0
196504,20060503,   91,    0
196504,20060504,   98,    0
196504,20060505,   84,    0
196504,20060506,   90,    0
196504,20060507,   94,    0
196504,20060508,   98,    0
196504,20060509,   52,    0
196504,20060510,   73,    0
196504,20060511,   81,    0
196504,20060512,  114,    0
196504,20060513,  107,    0
196504,20060514,  103,    0
196504,20060515,  126,    0
196504,20060516,  145,    0
196504,20060517,  165,    0
196504,20060518,  171,    0
196504,20060519,  147,    0
196504,20060520,  109,    0
196504,20060521,  123,    0
196504,20060522,  148,    0
196504,20060523,  128,    0
196504,20060524,  110,    0
196504,20060525,  122,    0
196504,20060526,  151,    0
196504,20060527,  183,    0
196504,20060528,  185,    0
196504,20060529,  153,    0
196504,20060530,   65,    0
196504,20060531,   55,    0
196504,20060601,   59,    0
196504,20060602,   34,    0
