EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, POLINAGO (STAID: 2870).
Blended and updated with sources: 196592 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196592,20051201,-9999,    9
196592,20051202,-9999,    9
196592,20051203,-9999,    9
196592,20051204,-9999,    9
196592,20051205,-9999,    9
196592,20051206,-9999,    9
196592,20051207,-9999,    9
196592,20051208,-9999,    9
196592,20051209,-9999,    9
196592,20051210,-9999,    9
196592,20051211,-9999,    9
196592,20051212,-9999,    9
196592,20051213,-9999,    9
196592,20051214,-9999,    9
196592,20051215,-9999,    9
196592,20051216,-9999,    9
196592,20051217,-9999,    9
196592,20051218,-9999,    9
196592,20051219,-9999,    9
196592,20051220,-9999,    9
196592,20051221,-9999,    9
196592,20051222,-9999,    9
196592,20051223,-9999,    9
196592,20051224,-9999,    9
196592,20051225,-9999,    9
196592,20051226,-9999,    9
196592,20051227,-9999,    9
196592,20051228,-9999,    9
196592,20051229,-9999,    9
196592,20051230,-9999,    9
196592,20051231,  -23,    0
196592,20060101,  -25,    0
196592,20060102,    7,    0
196592,20060103,   20,    0
196592,20060104,    1,    0
196592,20060105,  -11,    0
196592,20060106,    3,    0
196592,20060107,   12,    0
196592,20060108,   -3,    0
196592,20060109,  -18,    0
196592,20060110,   -6,    0
196592,20060111,   23,    0
196592,20060112,   21,    0
196592,20060113,   -1,    0
196592,20060114,    0,    0
196592,20060115,  -31,    0
196592,20060116,  -33,    0
196592,20060117,  -21,    0
196592,20060118,    6,    0
196592,20060119,   50,    0
196592,20060120,   49,    0
196592,20060121,   38,    0
196592,20060122,   12,    0
196592,20060123,  -33,    0
196592,20060124,  -60,    0
196592,20060125,  -43,    0
196592,20060126,  -50,    0
196592,20060127,  -16,    0
196592,20060128,   16,    0
196592,20060129,   36,    0
196592,20060130,   35,    0
196592,20060131,   59,    0
196592,20060201,   88,    0
196592,20060202,   95,    0
196592,20060203,   55,    0
196592,20060204,   40,    0
196592,20060205,  -16,    0
196592,20060206,  -30,    0
196592,20060207,  -16,    0
196592,20060208,   14,    0
196592,20060209,   38,    0
196592,20060210,   20,    0
196592,20060211,   16,    0
196592,20060212,    9,    0
196592,20060213,    9,    0
196592,20060214,   21,    0
196592,20060215,   47,    0
196592,20060216,   71,    0
196592,20060217,   82,    0
196592,20060218,   78,    0
196592,20060219,   71,    0
196592,20060220,   46,    0
196592,20060221,   11,    0
196592,20060222,   22,    0
196592,20060223,   20,    0
196592,20060224,   -3,    0
196592,20060225,    0,    0
196592,20060226,   21,    0
196592,20060227,    2,    0
196592,20060228,  -13,    0
196592,20060301,    6,    0
196592,20060302,   -4,    0
196592,20060303,   58,    0
196592,20060304,   90,    0
196592,20060305,   70,    0
196592,20060306,   -6,    0
196592,20060307,    8,    0
196592,20060308,   24,    0
196592,20060309,   51,    0
196592,20060310,   47,    0
196592,20060311,   22,    0
196592,20060312,   -7,    0
196592,20060313,    6,    0
196592,20060314,   22,    0
196592,20060315,   33,    0
196592,20060316,   10,    0
196592,20060317,   24,    0
196592,20060318,   28,    0
196592,20060319,   30,    0
196592,20060320,   59,    0
196592,20060321,   51,    0
196592,20060322,   49,    0
196592,20060323,   75,    0
196592,20060324,   61,    0
196592,20060325,   72,    0
196592,20060326,  105,    0
196592,20060327,  110,    0
196592,20060328,  108,    0
196592,20060329,  114,    0
196592,20060330,  109,    0
196592,20060331,  133,    0
196592,20060401,  109,    0
196592,20060402,  110,    0
196592,20060403,  115,    0
196592,20060404,  104,    0
196592,20060405,  101,    0
196592,20060406,   41,    0
196592,20060407,   41,    0
196592,20060408,   77,    0
196592,20060409,  103,    0
196592,20060410,  112,    0
196592,20060411,   49,    0
196592,20060412,   72,    0
196592,20060413,   97,    0
196592,20060414,  141,    0
196592,20060415,  119,    0
196592,20060416,  128,    0
196592,20060417,  113,    0
196592,20060418,   89,    0
196592,20060419,  102,    0
196592,20060420,  123,    0
196592,20060421,  136,    0
196592,20060422,  153,    0
196592,20060423,  162,    0
196592,20060424,  163,    0
196592,20060425,  145,    0
196592,20060426,  137,    0
196592,20060427,  115,    0
196592,20060428,  101,    0
196592,20060429,  112,    0
196592,20060430,   73,    0
196592,20060501,   94,    0
196592,20060502,  116,    0
196592,20060503,  129,    0
196592,20060504,  133,    0
196592,20060505,  120,    0
196592,20060506,  129,    0
196592,20060507,  136,    0
196592,20060508,  131,    0
196592,20060509,   88,    0
196592,20060510,  110,    0
196592,20060511,  119,    0
196592,20060512,  157,    0
196592,20060513,  159,    0
196592,20060514,  135,    0
196592,20060515,  167,    0
196592,20060516,  186,    0
196592,20060517,  200,    0
196592,20060518,  206,    0
196592,20060519,  196,    0
196592,20060520,  174,    0
196592,20060521,  177,    0
196592,20060522,  194,    0
196592,20060523,  176,    0
196592,20060524,  142,    0
196592,20060525,  154,    0
196592,20060526,  180,    0
196592,20060527,  221,    0
196592,20060528,  237,    0
196592,20060529,  179,    0
196592,20060530,   85,    0
196592,20060531,   99,    0
196592,20060601,  101,    0
196592,20060602,   76,    0
196592,20060603,  122,    0
196592,20060604,  160,    0
196592,20060605,  151,    0
196592,20060606,  136,    0
196592,20060607,  130,    0
196592,20060608,  148,    0
196592,20060609,  149,    0
196592,20060610,  181,    0
196592,20060611,  157,    0
196592,20060612,  164,    0
196592,20060613,  206,    0
196592,20060614,  223,    0
196592,20060615,  228,    0
196592,20060616,  220,    0
196592,20060617,  228,    0
196592,20060618,  229,    0
196592,20060619,  236,    0
196592,20060620,  238,    0
196592,20060621,  254,    0
196592,20060622,  256,    0
196592,20060623,  246,    0
196592,20060624,  247,    0
196592,20060625,  240,    0
196592,20060626,  255,    0
196592,20060627,  264,    0
196592,20060628,  265,    0
196592,20060629,  234,    0
196592,20060630,  242,    0
196592,20060701,  244,    0
196592,20060702,  217,    0
196592,20060703,  220,    0
196592,20060704,  213,    0
196592,20060705,  223,    0
196592,20060706,  208,    0
196592,20060707,  165,    0
196592,20060708,  194,    0
196592,20060709,  225,    0
196592,20060710,  239,    0
196592,20060711,  251,    0
196592,20060712,  251,    0
196592,20060713,  237,    0
196592,20060714,  240,    0
196592,20060715,  243,    0
196592,20060716,  224,    0
196592,20060717,  215,    0
196592,20060718,  224,    0
196592,20060719,  244,    0
196592,20060720,  270,    0
196592,20060721,  279,    0
196592,20060722,  281,    0
196592,20060723,  268,    0
196592,20060724,  254,    0
196592,20060725,  264,    0
196592,20060726,  251,    0
196592,20060727,  243,    0
196592,20060728,  254,    0
196592,20060729,  214,    0
196592,20060730,  246,    0
196592,20060731,  260,    0
196592,20060801,  251,    0
