EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RAMISETO (STAID: 2879).
Blended and updated with sources: 196816 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196816,20051201,-9999,    9
196816,20051202,-9999,    9
196816,20051203,-9999,    9
196816,20051204,-9999,    9
196816,20051205,-9999,    9
196816,20051206,-9999,    9
196816,20051207,-9999,    9
196816,20051208,-9999,    9
196816,20051209,-9999,    9
196816,20051210,-9999,    9
196816,20051211,-9999,    9
196816,20051212,-9999,    9
196816,20051213,-9999,    9
196816,20051214,-9999,    9
196816,20051215,-9999,    9
196816,20051216,-9999,    9
196816,20051217,-9999,    9
196816,20051218,-9999,    9
196816,20051219,-9999,    9
196816,20051220,-9999,    9
196816,20051221,-9999,    9
196816,20051222,-9999,    9
196816,20051223,-9999,    9
196816,20051224,-9999,    9
196816,20051225,-9999,    9
196816,20051226,-9999,    9
196816,20051227,-9999,    9
196816,20051228,-9999,    9
196816,20051229,-9999,    9
196816,20051230,-9999,    9
196816,20051231,  -31,    0
196816,20060101,  -27,    0
196816,20060102,    3,    0
196816,20060103,   12,    0
196816,20060104,  -10,    0
196816,20060105,  -14,    0
196816,20060106,   -4,    0
196816,20060107,    2,    0
196816,20060108,   -9,    0
196816,20060109,  -29,    0
196816,20060110,  -20,    0
196816,20060111,   -2,    0
196816,20060112,   -2,    0
196816,20060113,  -23,    0
196816,20060114,  -16,    0
196816,20060115,  -43,    0
196816,20060116,  -37,    0
196816,20060117,  -21,    0
196816,20060118,   18,    0
196816,20060119,   33,    0
196816,20060120,   33,    0
196816,20060121,   29,    0
196816,20060122,    4,    0
196816,20060123,  -36,    0
196816,20060124,  -64,    0
196816,20060125,  -47,    0
196816,20060126,  -61,    0
196816,20060127,  -37,    0
196816,20060128,    6,    0
196816,20060129,   28,    0
196816,20060130,   27,    0
196816,20060131,   50,    0
196816,20060201,   63,    0
196816,20060202,   73,    0
196816,20060203,   39,    0
196816,20060204,   28,    0
196816,20060205,  -25,    0
196816,20060206,  -43,    0
196816,20060207,  -27,    0
196816,20060208,    6,    0
196816,20060209,   26,    0
196816,20060210,    1,    0
196816,20060211,   -5,    0
196816,20060212,  -10,    0
196816,20060213,   -7,    0
196816,20060214,    9,    0
196816,20060215,   24,    0
196816,20060216,   53,    0
196816,20060217,   74,    0
196816,20060218,   71,    0
196816,20060219,   67,    0
196816,20060220,   46,    0
196816,20060221,    9,    0
196816,20060222,   16,    0
196816,20060223,   18,    0
196816,20060224,   -8,    0
196816,20060225,   -1,    0
196816,20060226,   18,    0
196816,20060227,    0,    0
196816,20060228,  -14,    0
196816,20060301,   -2,    0
196816,20060302,   -6,    0
196816,20060303,   60,    0
196816,20060304,   84,    0
196816,20060305,   64,    0
196816,20060306,   -7,    0
196816,20060307,   -1,    0
196816,20060308,   11,    0
196816,20060309,   42,    0
196816,20060310,   47,    0
196816,20060311,   17,    0
196816,20060312,  -15,    0
196816,20060313,   -7,    0
196816,20060314,   21,    0
196816,20060315,   24,    0
196816,20060316,    7,    0
196816,20060317,   26,    0
196816,20060318,   26,    0
196816,20060319,   28,    0
196816,20060320,   51,    0
196816,20060321,   45,    0
196816,20060322,   45,    0
196816,20060323,   68,    0
196816,20060324,   55,    0
196816,20060325,   63,    0
196816,20060326,   92,    0
196816,20060327,  105,    0
196816,20060328,  102,    0
196816,20060329,  103,    0
196816,20060330,   94,    0
196816,20060331,  114,    0
196816,20060401,   98,    0
196816,20060402,  102,    0
196816,20060403,  105,    0
196816,20060404,   90,    0
196816,20060405,   92,    0
196816,20060406,   36,    0
196816,20060407,   39,    0
196816,20060408,   69,    0
196816,20060409,   91,    0
196816,20060410,   90,    0
196816,20060411,   40,    0
196816,20060412,   63,    0
196816,20060413,   89,    0
196816,20060414,  127,    0
196816,20060415,  110,    0
196816,20060416,  120,    0
196816,20060417,  108,    0
196816,20060418,   85,    0
196816,20060419,  102,    0
196816,20060420,  109,    0
196816,20060421,  110,    0
196816,20060422,  140,    0
196816,20060423,  149,    0
196816,20060424,  144,    0
196816,20060425,  135,    0
196816,20060426,  121,    0
196816,20060427,  119,    0
196816,20060428,  101,    0
196816,20060429,  107,    0
196816,20060430,   75,    0
196816,20060501,   92,    0
196816,20060502,  107,    0
196816,20060503,  119,    0
196816,20060504,  121,    0
196816,20060505,  114,    0
196816,20060506,  118,    0
196816,20060507,  127,    0
196816,20060508,  133,    0
196816,20060509,   86,    0
196816,20060510,  110,    0
196816,20060511,  113,    0
196816,20060512,  149,    0
196816,20060513,  149,    0
196816,20060514,  141,    0
196816,20060515,  152,    0
196816,20060516,  168,    0
196816,20060517,  185,    0
196816,20060518,  196,    0
196816,20060519,  182,    0
196816,20060520,  162,    0
196816,20060521,  164,    0
196816,20060522,  176,    0
196816,20060523,  163,    0
196816,20060524,  142,    0
196816,20060525,  140,    0
196816,20060526,  167,    0
196816,20060527,  211,    0
196816,20060528,  222,    0
196816,20060529,  174,    0
196816,20060530,   98,    0
196816,20060531,   81,    0
196816,20060601,   97,    0
196816,20060602,   70,    0
196816,20060603,  122,    0
196816,20060604,  148,    0
196816,20060605,  151,    0
196816,20060606,  126,    0
196816,20060607,  124,    0
196816,20060608,  140,    0
196816,20060609,  139,    0
196816,20060610,  166,    0
196816,20060611,  149,    0
196816,20060612,  153,    0
196816,20060613,  192,    0
196816,20060614,  208,    0
196816,20060615,  219,    0
196816,20060616,  207,    0
196816,20060617,  213,    0
196816,20060618,  210,    0
