EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, REGGIO NELL'EMILIA (COVIOLO) (STAID: 2882).
Blended and updated with sources: 195072 196856 198104 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196856,20051201,-9999,    9
196856,20051202,-9999,    9
196856,20051203,-9999,    9
196856,20051204,-9999,    9
196856,20051205,-9999,    9
196856,20051206,-9999,    9
196856,20051207,-9999,    9
196856,20051208,-9999,    9
196856,20051209,-9999,    9
196856,20051210,-9999,    9
196856,20051211,-9999,    9
196856,20051212,-9999,    9
196856,20051213,-9999,    9
196856,20051214,-9999,    9
196856,20051215,-9999,    9
196856,20051216,-9999,    9
196856,20051217,-9999,    9
196856,20051218,-9999,    9
196856,20051219,-9999,    9
196856,20051220,-9999,    9
196856,20051221,-9999,    9
196856,20051222,-9999,    9
196856,20051223,-9999,    9
196856,20051224,-9999,    9
196856,20051225,-9999,    9
196856,20051226,-9999,    9
196856,20051227,-9999,    9
196856,20051228,-9999,    9
196856,20051229,-9999,    9
196856,20051230,-9999,    9
196856,20051231,   -5,    0
196856,20060101,    0,    0
196856,20060102,   18,    0
196856,20060103,   38,    0
196856,20060104,   30,    0
196856,20060105,   36,    0
196856,20060106,   43,    0
196856,20060107,   36,    0
196856,20060108,   27,    0
196856,20060109,   26,    0
196856,20060110,   18,    0
196856,20060111,   27,    0
196856,20060112,   27,    0
196856,20060113,   19,    0
196856,20060114,   14,    0
196856,20060115,   -2,    0
196856,20060116,    6,    0
196856,20060117,    3,    0
196856,20060118,   17,    0
196856,20060119,   -5,    0
196856,20060120,  -21,    0
196856,20060121,    2,    0
196856,20060122,   31,    0
196856,20060123,   12,    0
196856,20060124,   -3,    0
196856,20060125,   -6,    0
196856,20060126,  -25,    0
196856,20060127,   -5,    0
196856,20060128,   17,    0
196856,20060129,   30,    0
196856,20060130,   46,    0
196856,20060131,   61,    0
196856,20060201,   63,    0
196856,20060202,   67,    0
