EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN MARINO (STAID: 2891).
Blended and updated with sources: 197152 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197152,20060701,-9999,    9
197152,20060702,-9999,    9
197152,20060703,-9999,    9
197152,20060704,-9999,    9
197152,20060705,-9999,    9
197152,20060706,-9999,    9
197152,20060707,-9999,    9
197152,20060708,-9999,    9
197152,20060709,-9999,    9
197152,20060710,-9999,    9
197152,20060711,-9999,    9
197152,20060712,-9999,    9
197152,20060713,-9999,    9
197152,20060714,-9999,    9
197152,20060715,-9999,    9
197152,20060716,-9999,    9
197152,20060717,-9999,    9
197152,20060718,-9999,    9
197152,20060719,-9999,    9
197152,20060720,-9999,    9
197152,20060721,-9999,    9
197152,20060722,-9999,    9
197152,20060723,-9999,    9
197152,20060724,-9999,    9
197152,20060725,-9999,    9
197152,20060726,  260,    0
197152,20060727,  256,    0
197152,20060728,  265,    0
197152,20060729,  233,    0
197152,20060730,  231,    0
197152,20060731,  265,    0
197152,20060801,  253,    0
197152,20060802,  206,    0
197152,20060803,  205,    0
197152,20060804,  157,    0
197152,20060805,  181,    0
197152,20060806,  206,    0
197152,20060807,  220,    0
197152,20060808,  206,    0
197152,20060809,  179,    0
197152,20060810,  171,    0
197152,20060811,  163,    0
197152,20060812,  138,    0
197152,20060813,  166,    0
197152,20060814,  176,    0
197152,20060815,  192,    0
197152,20060816,  211,    0
197152,20060817,  231,    0
197152,20060818,  233,    0
197152,20060819,  216,    0
197152,20060820,  228,    0
197152,20060821,  194,    0
197152,20060822,  206,    0
197152,20060823,  210,    0
197152,20060824,  214,    0
197152,20060825,  191,    0
197152,20060826,  176,    0
197152,20060827,  166,    0
197152,20060828,  195,    0
197152,20060829,  186,    0
197152,20060830,  142,    0
197152,20060831,  177,    0
197152,20060901,  192,    0
197152,20060902,  199,    0
197152,20060903,  213,    0
197152,20060904,  242,    0
197152,20060905,  238,    0
197152,20060906,  240,    0
197152,20060907,  239,    0
197152,20060908,  215,    0
197152,20060909,  159,    0
197152,20060910,  165,    0
197152,20060911,  176,    0
197152,20060912,  173,    0
197152,20060913,  183,    0
197152,20060914,  187,    0
197152,20060915,  191,    0
197152,20060916,  152,    0
197152,20060917,  137,    0
197152,20060918,  150,    0
197152,20060919,  178,    0
197152,20060920,  187,    0
197152,20060921,  184,    0
197152,20060922,  186,    0
197152,20060923,  158,    0
197152,20060924,  161,    0
197152,20060925,  159,    0
197152,20060926,  152,    0
197152,20060927,  160,    0
197152,20060928,  161,    0
197152,20060929,  183,    0
197152,20060930,  182,    0
197152,20061001,  190,    0
197152,20061002,  186,    0
197152,20061003,  184,    0
197152,20061004,  172,    0
197152,20061005,  138,    0
197152,20061006,  124,    0
197152,20061007,  131,    0
197152,20061008,  119,    0
197152,20061009,  126,    0
197152,20061010,  134,    0
197152,20061011,  136,    0
197152,20061012,  138,    0
197152,20061013,  131,    0
197152,20061014,  130,    0
197152,20061015,  117,    0
197152,20061016,  108,    0
197152,20061017,   95,    0
197152,20061018,  103,    0
197152,20061019,  120,    0
197152,20061020,  126,    0
197152,20061021,  133,    0
197152,20061022,  130,    0
197152,20061023,  164,    0
197152,20061024,  171,    0
197152,20061025,  166,    0
197152,20061026,  159,    0
197152,20061027,  163,    0
197152,20061028,  151,    0
197152,20061029,  170,    0
197152,20061030,  131,    0
197152,20061031,  124,    0
197152,20061101,  128,    0
197152,20061102,   53,    0
197152,20061103,   40,    0
197152,20061104,   46,    0
197152,20061105,   83,    0
197152,20061106,  120,    0
197152,20061107,  124,    0
197152,20061108,  116,    0
197152,20061109,  125,    0
197152,20061110,   89,    0
197152,20061111,   83,    0
197152,20061112,   98,    0
197152,20061113,   91,    0
197152,20061114,  119,    0
197152,20061115,  122,    0
197152,20061116,  128,    0
197152,20061117,  128,    0
197152,20061118,  128,    0
197152,20061119,  114,    0
197152,20061120,  103,    0
197152,20061121,   93,    0
197152,20061122,   60,    0
197152,20061123,   85,    0
197152,20061124,  116,    0
197152,20061125,  126,    0
197152,20061126,  106,    0
197152,20061127,   85,    0
197152,20061128,   77,    0
197152,20061129,   61,    0
197152,20061130,   60,    0
197152,20061201,   60,    0
197152,20061202,   59,    0
197152,20061203,   94,    0
