EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SESTOLA (STAID: 2904).
Blended and updated with sources: 197384 197480 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197480,20051201,-9999,    9
197480,20051202,-9999,    9
197480,20051203,-9999,    9
197480,20051204,-9999,    9
197480,20051205,-9999,    9
197480,20051206,-9999,    9
197480,20051207,-9999,    9
197480,20051208,-9999,    9
197480,20051209,-9999,    9
197480,20051210,-9999,    9
197480,20051211,-9999,    9
197480,20051212,-9999,    9
197480,20051213,-9999,    9
197480,20051214,-9999,    9
197480,20051215,-9999,    9
197480,20051216,-9999,    9
197480,20051217,-9999,    9
197480,20051218,-9999,    9
197480,20051219,-9999,    9
197480,20051220,-9999,    9
197480,20051221,-9999,    9
197480,20051222,-9999,    9
197480,20051223,-9999,    9
197480,20051224,-9999,    9
197480,20051225,-9999,    9
197480,20051226,-9999,    9
197480,20051227,-9999,    9
197480,20051228,-9999,    9
197480,20051229,-9999,    9
197480,20051230,-9999,    9
197480,20051231,  -17,    0
197480,20060101,    6,    0
197480,20060102,    0,    0
197480,20060103,    0,    0
197480,20060104,  -12,    0
197480,20060105,  -26,    0
197480,20060106,  -19,    0
197480,20060107,   -6,    0
197480,20060108,  -13,    0
197480,20060109,  -35,    0
197480,20060110,  -33,    0
197480,20060111,   -9,    0
197480,20060112,   -7,    0
197480,20060113,  -32,    0
197480,20060114,  -32,    0
197480,20060115,  -42,    0
197480,20060116,  -40,    0
197480,20060117,   -8,    0
197480,20060118,   39,    0
197480,20060119,   22,    0
197480,20060120,   19,    0
197480,20060121,   20,    0
197480,20060122,   -2,    0
197480,20060123,  -51,    0
197480,20060124,  -77,    0
197480,20060125,  -57,    0
197480,20060126,  -49,    0
197480,20060127,  -12,    0
197480,20060128,   11,    0
197480,20060129,   21,    0
197480,20060130,   26,    0
197480,20060131,   33,    0
197480,20060201,   52,    0
197480,20060202,   55,    0
