EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VARSI (STAID: 2913).
Blended and updated with sources: 197768 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197768,20051201,-9999,    9
197768,20051202,-9999,    9
197768,20051203,-9999,    9
197768,20051204,-9999,    9
197768,20051205,-9999,    9
197768,20051206,-9999,    9
197768,20051207,-9999,    9
197768,20051208,-9999,    9
197768,20051209,-9999,    9
197768,20051210,-9999,    9
197768,20051211,-9999,    9
197768,20051212,-9999,    9
197768,20051213,-9999,    9
197768,20051214,-9999,    9
197768,20051215,-9999,    9
197768,20051216,-9999,    9
197768,20051217,-9999,    9
197768,20051218,-9999,    9
197768,20051219,-9999,    9
197768,20051220,-9999,    9
197768,20051221,-9999,    9
197768,20051222,-9999,    9
197768,20051223,-9999,    9
197768,20051224,-9999,    9
197768,20051225,-9999,    9
197768,20051226,-9999,    9
197768,20051227,-9999,    9
197768,20051228,-9999,    9
197768,20051229,-9999,    9
197768,20051230,-9999,    9
197768,20051231,  -20,    0
197768,20060101,  -21,    0
197768,20060102,   -2,    0
197768,20060103,   18,    0
197768,20060104,    2,    0
197768,20060105,   12,    0
197768,20060106,   10,    0
197768,20060107,   11,    0
197768,20060108,   -1,    0
197768,20060109,   -6,    0
197768,20060110,  -18,    0
197768,20060111,   -3,    0
197768,20060112,   -7,    0
197768,20060113,  -17,    0
197768,20060114,  -21,    0
197768,20060115,  -36,    0
197768,20060116,  -19,    0
197768,20060117,  -17,    0
197768,20060118,   12,    0
197768,20060119,   12,    0
197768,20060120,   33,    0
197768,20060121,   44,    0
197768,20060122,   20,    0
197768,20060123,  -21,    0
197768,20060124,  -38,    0
197768,20060125,  -46,    0
197768,20060126,  -50,    0
197768,20060127,  -28,    0
197768,20060128,    9,    0
197768,20060129,   23,    0
197768,20060130,   38,    0
197768,20060131,   43,    0
197768,20060201,   43,    0
197768,20060202,   48,    0
197768,20060203,   41,    0
197768,20060204,   29,    0
197768,20060205,   -9,    0
197768,20060206,  -31,    0
197768,20060207,  -25,    0
197768,20060208,   20,    0
197768,20060209,   31,    0
197768,20060210,   12,    0
197768,20060211,    4,    0
197768,20060212,   -2,    0
197768,20060213,    1,    0
197768,20060214,   15,    0
197768,20060215,   12,    0
197768,20060216,   29,    0
197768,20060217,   72,    0
197768,20060218,   76,    0
197768,20060219,   53,    0
197768,20060220,   56,    0
197768,20060221,   30,    0
197768,20060222,   38,    0
197768,20060223,   38,    0
197768,20060224,    3,    0
197768,20060225,   10,    0
197768,20060226,   23,    0
197768,20060227,   12,    0
197768,20060228,    0,    0
197768,20060301,    4,    0
197768,20060302,    6,    0
197768,20060303,   64,    0
197768,20060304,  104,    0
197768,20060305,   88,    0
197768,20060306,   27,    0
197768,20060307,   22,    0
197768,20060308,   28,    0
197768,20060309,   64,    0
