EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VERGATO (STAID: 2916).
Blended and updated with sources: 197776 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197776,20110701,  206,    0
197776,20110702,  184,    0
197776,20110703,  195,    0
197776,20110704,  218,    0
197776,20110705,  211,    0
197776,20110706,  232,    0
197776,20110707,  243,    0
197776,20110708,  262,    0
197776,20110709,  252,    0
197776,20110710,  256,    0
197776,20110711,  249,    0
197776,20110712,  258,    0
197776,20110713,  270,    0
197776,20110714,  253,    0
197776,20110715,  226,    0
197776,20110716,  211,    0
197776,20110717,  229,    0
197776,20110718,  226,    0
197776,20110719,  190,    0
197776,20110720,  196,    0
197776,20110721,  195,    0
197776,20110722,  212,    0
197776,20110723,  199,    0
197776,20110724,  170,    0
197776,20110725,  175,    0
197776,20110726,  184,    0
197776,20110727,  174,    0
197776,20110728,  205,    0
197776,20110729,  195,    0
197776,20110730,  194,    0
197776,20110731,  202,    0
197776,20110801,  212,    0
197776,20110802,  232,    0
197776,20110803,  228,    0
197776,20110804,  233,    0
197776,20110805,  237,    0
197776,20110806,  240,    0
197776,20110807,  255,    0
197776,20110808,  255,    0
197776,20110809,  197,    0
197776,20110810,  191,    0
197776,20110811,  197,    0
197776,20110812,  212,    0
197776,20110813,  224,    0
197776,20110814,  241,    0
197776,20110815,  232,    0
197776,20110816,  235,    0
197776,20110817,  245,    0
197776,20110818,  256,    0
197776,20110819,  260,    0
197776,20110820,  264,    0
197776,20110821,  269,    0
197776,20110822,  263,    0
197776,20110823,  262,    0
197776,20110824,  257,    0
197776,20110825,  257,    0
197776,20110826,  255,    0
197776,20110827,  237,    0
197776,20110828,  203,    0
197776,20110829,  217,    0
197776,20110830,  217,    0
197776,20110831,  224,    0
197776,20110901,  234,    0
197776,20110902,  236,    0
197776,20110903,  243,    0
197776,20110904,  226,    0
197776,20110905,  218,    0
197776,20110906,  193,    0
197776,20110907,  204,    0
197776,20110908,  218,    0
197776,20110909,  223,    0
197776,20110910,  225,    0
197776,20110911,  231,    0
197776,20110912,  221,    0
197776,20110913,  227,    0
197776,20110914,  230,    0
197776,20110915,  220,    0
197776,20110916,  216,    0
197776,20110917,  206,    0
197776,20110918,  195,    0
197776,20110919,  164,    0
197776,20110920,  156,    0
197776,20110921,  164,    0
197776,20110922,  179,    0
197776,20110923,  176,    0
197776,20110924,  177,    0
197776,20110925,  186,    0
197776,20110926,  178,    0
197776,20110927,  169,    0
197776,20110928,  165,    0
197776,20110929,  163,    0
197776,20110930,  161,    0
197776,20111001,  166,    0
197776,20111002,  173,    0
197776,20111003,  171,    0
197776,20111004,  173,    0
197776,20111005,  173,    0
197776,20111006,  175,    0
197776,20111007,  146,    0
197776,20111008,   97,    0
197776,20111009,   86,    0
197776,20111010,  106,    0
197776,20111011,  138,    0
197776,20111012,  160,    0
197776,20111013,  152,    0
197776,20111014,  119,    0
197776,20111015,   82,    0
197776,20111016,   68,    0
197776,20111017,   69,    0
197776,20111018,   96,    0
197776,20111019,  167,    0
197776,20111020,  109,    0
197776,20111021,   77,    0
197776,20111022,   58,    0
197776,20111023,-9999,    9
197776,20111024,-9999,    9
197776,20111025,-9999,    9
197776,20111026,-9999,    9
197776,20111027,-9999,    9
197776,20111028,-9999,    9
197776,20111029,-9999,    9
197776,20111030,-9999,    9
197776,20111031,-9999,    9
197776,20111101,-9999,    9
197776,20111102,-9999,    9
197776,20111103,-9999,    9
197776,20111104,-9999,    9
197776,20111105,-9999,    9
197776,20111106,-9999,    9
197776,20111107,-9999,    9
197776,20111108,-9999,    9
197776,20111109,-9999,    9
197776,20111110,-9999,    9
