EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VILLA MINOZZO (STAID: 2920).
Blended and updated with sources: 195248 197840 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197840,20051201,-9999,    9
197840,20051202,-9999,    9
197840,20051203,-9999,    9
197840,20051204,-9999,    9
197840,20051205,-9999,    9
197840,20051206,-9999,    9
197840,20051207,-9999,    9
197840,20051208,-9999,    9
197840,20051209,-9999,    9
197840,20051210,-9999,    9
197840,20051211,-9999,    9
197840,20051212,-9999,    9
197840,20051213,-9999,    9
197840,20051214,-9999,    9
197840,20051215,-9999,    9
197840,20051216,-9999,    9
197840,20051217,-9999,    9
197840,20051218,-9999,    9
197840,20051219,-9999,    9
197840,20051220,-9999,    9
197840,20051221,-9999,    9
197840,20051222,-9999,    9
197840,20051223,-9999,    9
197840,20051224,-9999,    9
197840,20051225,-9999,    9
197840,20051226,-9999,    9
197840,20051227,-9999,    9
197840,20051228,-9999,    9
197840,20051229,-9999,    9
197840,20051230,-9999,    9
197840,20051231,  -16,    0
197840,20060101,  -17,    0
197840,20060102,   12,    0
197840,20060103,   26,    0
197840,20060104,   12,    0
197840,20060105,   -3,    0
197840,20060106,    6,    0
197840,20060107,   17,    0
197840,20060108,    1,    0
197840,20060109,  -12,    0
197840,20060110,   -2,    0
197840,20060111,   18,    0
197840,20060112,   19,    0
197840,20060113,   -2,    0
197840,20060114,    1,    0
197840,20060115,  -30,    0
197840,20060116,  -24,    0
197840,20060117,  -14,    0
197840,20060118,    7,    0
197840,20060119,   40,    0
197840,20060120,   48,    0
197840,20060121,   42,    0
197840,20060122,   20,    0
197840,20060123,  -22,    0
197840,20060124,  -46,    0
197840,20060125,  -34,    0
197840,20060126,  -50,    0
197840,20060127,  -26,    0
197840,20060128,   11,    0
197840,20060129,   35,    0
197840,20060130,   37,    0
197840,20060131,   60,    0
197840,20060201,   81,    0
197840,20060202,   89,    0
197840,20060203,   57,    0
197840,20060204,   45,    0
197840,20060205,   -7,    0
197840,20060206,  -21,    0
197840,20060207,  -12,    0
197840,20060208,   18,    0
197840,20060209,   42,    0
197840,20060210,   23,    0
197840,20060211,   16,    0
197840,20060212,    9,    0
197840,20060213,   11,    0
197840,20060214,   25,    0
197840,20060215,   37,    0
197840,20060216,   58,    0
197840,20060217,   88,    0
197840,20060218,   83,    0
197840,20060219,   79,    0
197840,20060220,   54,    0
197840,20060221,   18,    0
197840,20060222,   28,    0
197840,20060223,   27,    0
197840,20060224,    3,    0
197840,20060225,    8,    0
197840,20060226,   31,    0
197840,20060227,    8,    0
197840,20060228,   -4,    0
197840,20060301,   10,    0
197840,20060302,    0,    0
197840,20060303,   71,    0
197840,20060304,  100,    0
197840,20060305,   75,    0
197840,20060306,    7,    0
197840,20060307,    9,    0
197840,20060308,   26,    0
197840,20060309,   53,    0
197840,20060310,   52,    0
197840,20060311,   28,    0
197840,20060312,   -1,    0
197840,20060313,    7,    0
197840,20060314,   28,    0
197840,20060315,   34,    0
197840,20060316,   14,    0
197840,20060317,   34,    0
197840,20060318,   33,    0
197840,20060319,   36,    0
197840,20060320,   62,    0
197840,20060321,   55,    0
197840,20060322,   54,    0
197840,20060323,   80,    0
197840,20060324,   67,    0
197840,20060325,   74,    0
197840,20060326,  106,    0
197840,20060327,  118,    0
197840,20060328,  115,    0
197840,20060329,  113,    0
197840,20060330,  108,    0
197840,20060331,  129,    0
197840,20060401,  111,    0
197840,20060402,  112,    0
197840,20060403,  116,    0
197840,20060404,  102,    0
197840,20060405,  102,    0
197840,20060406,   46,    0
197840,20060407,   48,    0
197840,20060408,   81,    0
197840,20060409,  105,    0
197840,20060410,  109,    0
197840,20060411,   52,    0
197840,20060412,   74,    0
197840,20060413,   99,    0
197840,20060414,  138,    0
197840,20060415,  120,    0
197840,20060416,  130,    0
197840,20060417,  113,    0
197840,20060418,   95,    0
197840,20060419,  113,    0
197840,20060420,  120,    0
197840,20060421,  128,    0
197840,20060422,  150,    0
197840,20060423,  161,    0
197840,20060424,  159,    0
197840,20060425,  142,    0
197840,20060426,  130,    0
197840,20060427,  123,    0
197840,20060428,  111,    0
197840,20060429,  115,    0
197840,20060430,   80,    0
197840,20060501,  102,    0
197840,20060502,  119,    0
197840,20060503,  129,    0
197840,20060504,  133,    0
197840,20060505,  124,    0
197840,20060506,  131,    0
197840,20060507,  130,    0
197840,20060508,  137,    0
197840,20060509,   89,    0
197840,20060510,  118,    0
197840,20060511,  121,    0
197840,20060512,  155,    0
197840,20060513,  156,    0
197840,20060514,  146,    0
197840,20060515,  164,    0
197840,20060516,  177,    0
197840,20060517,  197,    0
197840,20060518,  201,    0
197840,20060519,  192,    0
197840,20060520,  175,    0
197840,20060521,  177,    0
197840,20060522,  190,    0
197840,20060523,  174,    0
197840,20060524,  147,    0
197840,20060525,  150,    0
197840,20060526,  177,    0
197840,20060527,  218,    0
197840,20060528,  225,    0
197840,20060529,  180,    0
197840,20060530,   93,    0
197840,20060531,   95,    0
197840,20060601,  108,    0
197840,20060602,   80,    0
197840,20060603,  124,    0
197840,20060604,  157,    0
197840,20060605,  152,    0
197840,20060606,  136,    0
197840,20060607,  132,    0
197840,20060608,  147,    0
197840,20060609,  147,    0
197840,20060610,  174,    0
197840,20060611,  160,    0
197840,20060612,  164,    0
197840,20060613,  196,    0
197840,20060614,  219,    0
197840,20060615,  225,    0
197840,20060616,  218,    0
197840,20060617,  223,    0
197840,20060618,  225,    0
197840,20060619,  229,    0
197840,20060620,  235,    0
197840,20060621,  245,    0
197840,20060622,  250,    0
197840,20060623,  243,    0
197840,20060624,  242,    0
197840,20060625,  237,    0
197840,20060626,  247,    0
197840,20060627,  255,    0
197840,20060628,  257,    0
197840,20060629,  228,    0
197840,20060630,  237,    0
197840,20060701,  240,    0
197840,20060702,  216,    0
197840,20060703,  219,    0
197840,20060704,  216,    0
197840,20060705,  220,    0
197840,20060706,  203,    0
197840,20060707,  168,    0
197840,20060708,  196,    0
197840,20060709,  220,    0
197840,20060710,  236,    0
197840,20060711,  244,    0
197840,20060712,  250,    0
197840,20060713,  227,    0
197840,20060714,  239,    0
197840,20060715,  239,    0
197840,20060716,  222,    0
