EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, ZIBELLO (STAID: 2922).
Blended and updated with sources: 194776 197880 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197880,20051201,-9999,    9
197880,20051202,-9999,    9
197880,20051203,-9999,    9
197880,20051204,-9999,    9
197880,20051205,-9999,    9
197880,20051206,-9999,    9
197880,20051207,-9999,    9
197880,20051208,-9999,    9
197880,20051209,-9999,    9
197880,20051210,-9999,    9
197880,20051211,-9999,    9
197880,20051212,-9999,    9
197880,20051213,-9999,    9
197880,20051214,-9999,    9
197880,20051215,-9999,    9
197880,20051216,-9999,    9
197880,20051217,-9999,    9
197880,20051218,-9999,    9
197880,20051219,-9999,    9
197880,20051220,-9999,    9
197880,20051221,-9999,    9
197880,20051222,-9999,    9
197880,20051223,-9999,    9
197880,20051224,-9999,    9
197880,20051225,-9999,    9
197880,20051226,-9999,    9
197880,20051227,-9999,    9
197880,20051228,-9999,    9
197880,20051229,-9999,    9
197880,20051230,-9999,    9
197880,20051231,  -21,    0
197880,20060101,   -6,    0
197880,20060102,  -17,    0
197880,20060103,  -18,    0
197880,20060104,  -52,    0
197880,20060105,   -1,    0
197880,20060106,  -15,    0
197880,20060107,  -12,    0
197880,20060108,  -28,    0
197880,20060109,  -16,    0
197880,20060110,  -43,    0
197880,20060111,  -35,    0
197880,20060112,  -33,    0
197880,20060113,  -34,    0
197880,20060114,  -41,    0
197880,20060115,  -21,    0
197880,20060116,  -11,    0
197880,20060117,   -4,    0
197880,20060118,   -8,    0
197880,20060119,  -42,    0
197880,20060120,  -37,    0
197880,20060121,  -15,    0
197880,20060122,   -5,    0
197880,20060123,  -13,    0
197880,20060124,  -27,    0
197880,20060125,  -35,    0
197880,20060126,  -29,    0
197880,20060127,  -12,    0
197880,20060128,    5,    0
197880,20060129,   10,    0
197880,20060130,   16,    0
197880,20060131,    2,    0
197880,20060201,  -16,    0
197880,20060202,  -10,    0
197880,20060203,   -2,    0
197880,20060204,   -7,    0
197880,20060205,    2,    0
197880,20060206,  -11,    0
197880,20060207,  -14,    0
197880,20060208,    0,    0
197880,20060209,    1,    0
197880,20060210,    7,    0
197880,20060211,   20,    0
197880,20060212,    0,    0
197880,20060213,    1,    0
197880,20060214,    1,    0
197880,20060215,   18,    0
197880,20060216,   22,    0
197880,20060217,   12,    0
197880,20060218,   33,    0
197880,20060219,   36,    0
197880,20060220,   45,    0
197880,20060221,   51,    0
197880,20060222,   67,    0
197880,20060223,   71,    0
197880,20060224,   41,    0
197880,20060225,   46,    0
197880,20060226,   48,    0
197880,20060227,   38,    0
197880,20060228,   22,    0
197880,20060301,   26,    0
197880,20060302,   29,    0
197880,20060303,   38,    0
197880,20060304,   86,    0
197880,20060305,  100,    0
197880,20060306,   54,    0
197880,20060307,   41,    0
197880,20060308,   39,    0
197880,20060309,   68,    0
197880,20060310,   84,    0
197880,20060311,   63,    0
197880,20060312,   37,    0
197880,20060313,   44,    0
197880,20060314,   44,    0
197880,20060315,   48,    0
197880,20060316,   51,    0
197880,20060317,   52,    0
197880,20060318,   53,    0
197880,20060319,   58,    0
197880,20060320,   77,    0
197880,20060321,   75,    0
197880,20060322,   86,    0
197880,20060323,   83,    0
197880,20060324,   81,    0
197880,20060325,   88,    0
197880,20060326,  116,    0
197880,20060327,  128,    0
197880,20060328,  120,    0
197880,20060329,  121,    0
197880,20060330,  104,    0
197880,20060331,  139,    0
197880,20060401,  128,    0
197880,20060402,  133,    0
197880,20060403,  128,    0
197880,20060404,  114,    0
197880,20060405,  108,    0
197880,20060406,   75,    0
197880,20060407,   71,    0
197880,20060408,   87,    0
197880,20060409,  105,    0
197880,20060410,  113,    0
197880,20060411,   85,    0
197880,20060412,   80,    0
197880,20060413,  101,    0
197880,20060414,  133,    0
197880,20060415,  134,    0
197880,20060416,  154,    0
197880,20060417,  138,    0
197880,20060418,  127,    0
197880,20060419,  137,    0
197880,20060420,  136,    0
197880,20060421,  143,    0
197880,20060422,  161,    0
197880,20060423,  169,    0
197880,20060424,  173,    0
197880,20060425,  159,    0
197880,20060426,  167,    0
197880,20060427,  160,    0
197880,20060428,  154,    0
197880,20060429,  152,    0
197880,20060430,  118,    0
197880,20060501,  133,    0
197880,20060502,  151,    0
197880,20060503,  152,    0
197880,20060504,  167,    0
197880,20060505,  166,    0
197880,20060506,  164,    0
197880,20060507,  166,    0
197880,20060508,  163,    0
197880,20060509,  136,    0
197880,20060510,  160,    0
197880,20060511,  164,    0
197880,20060512,  176,    0
197880,20060513,  179,    0
197880,20060514,  187,    0
197880,20060515,  188,    0
197880,20060516,  197,    0
197880,20060517,  213,    0
197880,20060518,  213,    0
197880,20060519,  221,    0
197880,20060520,  204,    0
197880,20060521,  211,    0
197880,20060522,  215,    0
197880,20060523,  202,    0
197880,20060524,  175,    0
197880,20060525,  175,    0
197880,20060526,  193,    0
197880,20060527,  212,    0
197880,20060528,  221,    0
