EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SERMIDE (SP 91) (STAID: 11611).
Blended and updated with sources: 197456 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197456,20051201,-9999,    9
197456,20051202,-9999,    9
197456,20051203,-9999,    9
197456,20051204,-9999,    9
197456,20051205,-9999,    9
197456,20051206,-9999,    9
197456,20051207,-9999,    9
197456,20051208,-9999,    9
197456,20051209,-9999,    9
197456,20051210,-9999,    9
197456,20051211,-9999,    9
197456,20051212,-9999,    9
197456,20051213,-9999,    9
197456,20051214,-9999,    9
197456,20051215,-9999,    9
197456,20051216,-9999,    9
197456,20051217,-9999,    9
197456,20051218,-9999,    9
197456,20051219,-9999,    9
197456,20051220,-9999,    9
197456,20051221,-9999,    9
197456,20051222,-9999,    9
197456,20051223,-9999,    9
197456,20051224,-9999,    9
197456,20051225,-9999,    9
197456,20051226,-9999,    9
197456,20051227,-9999,    9
197456,20051228,-9999,    9
197456,20051229,-9999,    9
197456,20051230,-9999,    9
197456,20051231,   -6,    0
197456,20060101,    3,    0
197456,20060102,   14,    0
197456,20060103,   29,    0
197456,20060104,   40,    0
197456,20060105,   36,    0
197456,20060106,   34,    0
197456,20060107,   46,    0
197456,20060108,   42,    0
197456,20060109,   25,    0
197456,20060110,   14,    0
197456,20060111,   16,    0
197456,20060112,   29,    0
197456,20060113,   22,    0
197456,20060114,  -12,    0
197456,20060115,    6,    0
197456,20060116,    7,    0
197456,20060117,    3,    0
197456,20060118,    8,    0
197456,20060119,  -15,    0
197456,20060120,  -19,    0
197456,20060121,   -2,    0
197456,20060122,   24,    0
197456,20060123,   14,    0
197456,20060124,   -1,    0
197456,20060125,   -7,    0
197456,20060126,   -7,    0
197456,20060127,   27,    0
197456,20060128,   60,    0
197456,20060129,   48,    0
197456,20060130,   62,    0
197456,20060131,   61,    0
197456,20060201,   38,    0
197456,20060202,   58,    0
197456,20060203,   52,    0
197456,20060204,   47,    0
197456,20060205,   26,    0
197456,20060206,   10,    0
197456,20060207,    8,    0
197456,20060208,   11,    0
197456,20060209,   26,    0
197456,20060210,   28,    0
197456,20060211,   38,    0
197456,20060212,   38,    0
197456,20060213,   35,    0
197456,20060214,   36,    0
197456,20060215,   33,    0
197456,20060216,   34,    0
197456,20060217,   55,    0
197456,20060218,   58,    0
197456,20060219,   52,    0
197456,20060220,   78,    0
197456,20060221,   68,    0
197456,20060222,   79,    0
197456,20060223,   79,    0
197456,20060224,   63,    0
197456,20060225,   55,    0
197456,20060226,   65,    0
197456,20060227,   47,    0
197456,20060228,   30,    0
197456,20060301,   42,    0
197456,20060302,   43,    0
197456,20060303,   47,    0
197456,20060304,   89,    0
197456,20060305,   91,    0
197456,20060306,   58,    0
197456,20060307,   67,    0
197456,20060308,   54,    0
197456,20060309,   63,    0
197456,20060310,   78,    0
197456,20060311,   75,    0
197456,20060312,   30,    0
197456,20060313,   63,    0
197456,20060314,   56,    0
197456,20060315,   60,    0
197456,20060316,   63,    0
197456,20060317,   66,    0
197456,20060318,   66,    0
197456,20060319,   73,    0
197456,20060320,   80,    0
197456,20060321,   77,    0
197456,20060322,   96,    0
197456,20060323,  112,    0
197456,20060324,   92,    0
197456,20060325,  115,    0
197456,20060326,  131,    0
197456,20060327,  143,    0
197456,20060328,  131,    0
197456,20060329,  140,    0
197456,20060330,  131,    0
197456,20060331,  139,    0
197456,20060401,  147,    0
197456,20060402,  140,    0
197456,20060403,  124,    0
197456,20060404,  120,    0
197456,20060405,  118,    0
197456,20060406,   85,    0
197456,20060407,   90,    0
197456,20060408,  118,    0
197456,20060409,  122,    0
197456,20060410,  127,    0
197456,20060411,   93,    0
197456,20060412,  106,    0
197456,20060413,  127,    0
197456,20060414,  143,    0
197456,20060415,  144,    0
197456,20060416,  162,    0
197456,20060417,  151,    0
197456,20060418,  158,    0
197456,20060419,  157,    0
197456,20060420,  167,    0
197456,20060421,  175,    0
197456,20060422,  183,    0
197456,20060423,  193,    0
197456,20060424,  189,    0
197456,20060425,  190,    0
197456,20060426,  185,    0
197456,20060427,  158,    0
197456,20060428,  162,    0
197456,20060429,  158,    0
197456,20060430,  114,    0
197456,20060501,  137,    0
197456,20060502,  157,    0
197456,20060503,  164,    0
197456,20060504,  177,    0
197456,20060505,  177,    0
197456,20060506,  181,    0
197456,20060507,  172,    0
197456,20060508,  176,    0
197456,20060509,  134,    0
197456,20060510,  168,    0
197456,20060511,  179,    0
197456,20060512,  198,    0
197456,20060513,  204,    0
197456,20060514,  175,    0
197456,20060515,  188,    0
197456,20060516,  215,    0
197456,20060517,  219,    0
197456,20060518,  218,    0
197456,20060519,  226,    0
197456,20060520,  211,    0
197456,20060521,  220,    0
197456,20060522,  219,    0
197456,20060523,  210,    0
197456,20060524,  173,    0
197456,20060525,  179,    0
197456,20060526,  209,    0
197456,20060527,  208,    0
197456,20060528,  221,    0
197456,20060529,  183,    0
197456,20060530,  128,    0
197456,20060531,  128,    0
197456,20060601,  160,    0
197456,20060602,  147,    0
197456,20060603,  168,    0
197456,20060604,  193,    0
197456,20060605,  175,    0
197456,20060606,  167,    0
197456,20060607,  176,    0
197456,20060608,  189,    0
197456,20060609,  194,    0
197456,20060610,  209,    0
197456,20060611,  197,    0
197456,20060612,  207,    0
197456,20060613,  230,    0
197456,20060614,  244,    0
197456,20060615,  252,    0
197456,20060616,  245,    0
197456,20060617,  257,    0
197456,20060618,  258,    0
197456,20060619,  257,    0
197456,20060620,  267,    0
197456,20060621,  270,    0
197456,20060622,  273,    0
197456,20060623,  267,    0
197456,20060624,  274,    0
197456,20060625,  272,    0
197456,20060626,  281,    0
197456,20060627,  290,    0
197456,20060628,  283,    0
197456,20060629,  261,    0
197456,20060630,  272,    0
197456,20060701,  229,    0
197456,20060702,  259,    0
197456,20060703,  253,    0
197456,20060704,  246,    0
197456,20060705,  248,    0
197456,20060706,  236,    0
197456,20060707,  210,    0
197456,20060708,  240,    0
197456,20060709,  264,    0
197456,20060710,  274,    0
197456,20060711,  283,    0
197456,20060712,  272,    0
197456,20060713,  278,    0
197456,20060714,  281,    0
197456,20060715,  275,    0
197456,20060716,  251,    0
197456,20060717,  243,    0
197456,20060718,  251,    0
197456,20060719,  270,    0
197456,20060720,  286,    0
197456,20060721,  293,    0
197456,20060722,  299,    0
197456,20060723,  301,    0
197456,20060724,  291,    0
197456,20060725,  295,    0
197456,20060726,  294,    0
197456,20060727,  289,    0
197456,20060728,  274,    0
197456,20060729,  258,    0
197456,20060730,  276,    0
197456,20060731,  289,    0
197456,20060801,  247,    0
197456,20060802,  238,    0
197456,20060803,  194,    0
197456,20060804,  198,    0
197456,20060805,  216,    0
197456,20060806,  229,    0
197456,20060807,  242,    0
197456,20060808,  250,    0
197456,20060809,  218,    0
197456,20060810,  223,    0
197456,20060811,  201,    0
197456,20060812,  175,    0
197456,20060813,  189,    0
197456,20060814,  194,    0
197456,20060815,  214,    0
197456,20060816,  198,    0
197456,20060817,  230,    0
197456,20060818,  262,    0
197456,20060819,  227,    0
197456,20060820,  242,    0
197456,20060821,  222,    0
197456,20060822,  233,    0
197456,20060823,  233,    0
197456,20060824,  230,    0
197456,20060825,  213,    0
197456,20060826,  218,    0
197456,20060827,  203,    0
197456,20060828,  216,    0
197456,20060829,  211,    0
197456,20060830,  191,    0
197456,20060831,  197,    0
197456,20060901,  209,    0
197456,20060902,  220,    0
197456,20060903,  232,    0
197456,20060904,  245,    0
197456,20060905,  247,    0
197456,20060906,  257,    0
197456,20060907,  255,    0
197456,20060908,  244,    0
197456,20060909,  211,    0
197456,20060910,  206,    0
197456,20060911,  208,    0
197456,20060912,  212,    0
197456,20060913,  215,    0
197456,20060914,  204,    0
197456,20060915,  214,    0
197456,20060916,  194,    0
197456,20060917,  173,    0
197456,20060918,  200,    0
197456,20060919,  213,    0
197456,20060920,  212,    0
197456,20060921,  212,    0
197456,20060922,  215,    0
197456,20060923,  204,    0
197456,20060924,  194,    0
197456,20060925,  184,    0
197456,20060926,  204,    0
197456,20060927,  211,    0
197456,20060928,  205,    0
197456,20060929,  201,    0
197456,20060930,  199,    0
197456,20061001,  211,    0
197456,20061002,  212,    0
197456,20061003,  223,    0
197456,20061004,  203,    0
197456,20061005,  164,    0
197456,20061006,  168,    0
197456,20061007,  146,    0
197456,20061008,  159,    0
197456,20061009,  165,    0
197456,20061010,  161,    0
197456,20061011,  165,    0
197456,20061012,  165,    0
197456,20061013,  165,    0
197456,20061014,  166,    0
197456,20061015,  158,    0
197456,20061016,  143,    0
197456,20061017,  136,    0
197456,20061018,  128,    0
197456,20061019,  139,    0
197456,20061020,  137,    0
197456,20061021,  142,    0
197456,20061022,  160,    0
197456,20061023,  161,    0
197456,20061024,  191,    0
197456,20061025,  171,    0
197456,20061026,  169,    0
197456,20061027,  158,    0
197456,20061028,  144,    0
197456,20061029,  155,    0
197456,20061030,  152,    0
197456,20061031,  142,    0
197456,20061101,  139,    0
197456,20061102,  107,    0
197456,20061103,   68,    0
197456,20061104,   69,    0
197456,20061105,   65,    0
197456,20061106,   85,    0
197456,20061107,   94,    0
197456,20061108,  105,    0
197456,20061109,  122,    0
197456,20061110,   96,    0
197456,20061111,   74,    0
197456,20061112,   92,    0
197456,20061113,   86,    0
197456,20061114,   83,    0
197456,20061115,  106,    0
197456,20061116,  116,    0
197456,20061117,  104,    0
197456,20061118,  127,    0
197456,20061119,  116,    0
197456,20061120,  118,    0
197456,20061121,  114,    0
197456,20061122,   96,    0
197456,20061123,   73,    0
197456,20061124,   96,    0
197456,20061125,  103,    0
197456,20061126,   98,    0
197456,20061127,  105,    0
197456,20061128,  112,    0
197456,20061129,  102,    0
197456,20061130,   92,    0
197456,20061201,   89,    0
197456,20061202,   56,    0
197456,20061203,   86,    0
197456,20061204,   83,    0
197456,20061205,   94,    0
197456,20061206,  111,    0
197456,20061207,  109,    0
197456,20061208,  127,    0
197456,20061209,  126,    0
197456,20061210,   91,    0
197456,20061211,   66,    0
197456,20061212,   50,    0
197456,20061213,   47,    0
197456,20061214,   42,    0
197456,20061215,   41,    0
197456,20061216,   45,    0
197456,20061217,   64,    0
197456,20061218,   73,    0
197456,20061219,   61,    0
197456,20061220,   43,    0
197456,20061221,   49,    0
197456,20061222,   53,    0
197456,20061223,   33,    0
197456,20061224,   32,    0
197456,20061225,   46,    0
197456,20061226,   46,    0
197456,20061227,   -4,    0
197456,20061228,    6,    0
197456,20061229,   20,    0
197456,20061230,   30,    0
197456,20061231,   46,    0
197456,20070101,   60,    0
197456,20070102,   60,    0
197456,20070103,   60,    0
197456,20070104,   51,    0
197456,20070105,   59,    0
197456,20070106,   59,    0
197456,20070107,   72,    0
197456,20070108,   74,    0
197456,20070109,   80,    0
197456,20070110,   68,    0
197456,20070111,   74,    0
197456,20070112,   59,    0
197456,20070113,   68,    0
197456,20070114,   65,    0
197456,20070115,   59,    0
197456,20070116,   52,    0
197456,20070117,   65,    0
197456,20070118,   62,    0
197456,20070119,   73,    0
197456,20070120,   70,    0
197456,20070121,   82,    0
197456,20070122,   94,    0
197456,20070123,  113,    0
197456,20070124,   65,    0
197456,20070125,   35,    0
197456,20070126,   28,    0
197456,20070127,   28,    0
197456,20070128,   36,    0
197456,20070129,   60,    0
197456,20070130,   50,    0
197456,20070131,    8,    0
197456,20070201,   30,    0
197456,20070202,   54,    0
197456,20070203,   30,    0
197456,20070204,   43,    0
197456,20070205,   19,    0
197456,20070206,   30,    0
197456,20070207,   65,    0
197456,20070208,   73,    0
197456,20070209,   85,    0
197456,20070210,   93,    0
197456,20070211,   80,    0
197456,20070212,   64,    0
197456,20070213,  100,    0
197456,20070214,   70,    0
197456,20070215,   92,    0
197456,20070216,   76,    0
197456,20070217,   65,    0
197456,20070218,   69,    0
197456,20070219,   64,    0
197456,20070220,   73,    0
197456,20070221,  108,    0
197456,20070222,  105,    0
197456,20070223,  101,    0
197456,20070224,  107,    0
197456,20070225,   91,    0
197456,20070226,  101,    0
197456,20070227,  100,    0
197456,20070228,   86,    0
197456,20070301,   97,    0
197456,20070302,  111,    0
197456,20070303,  129,    0
197456,20070304,  123,    0
197456,20070305,  125,    0
197456,20070306,  127,    0
197456,20070307,  119,    0
197456,20070308,  120,    0
197456,20070309,  131,    0
197456,20070310,  117,    0
197456,20070311,  106,    0
197456,20070312,  111,    0
197456,20070313,  119,    0
197456,20070314,  141,    0
197456,20070315,  137,    0
197456,20070316,  137,    0
197456,20070317,  141,    0
197456,20070318,  138,    0
197456,20070319,  120,    0
197456,20070320,   46,    0
197456,20070321,   79,    0
197456,20070322,   79,    0
197456,20070323,   75,    0
197456,20070324,   77,    0
197456,20070325,   80,    0
197456,20070326,   96,    0
197456,20070327,  105,    0
197456,20070328,  103,    0
197456,20070329,  104,    0
197456,20070330,   86,    0
197456,20070331,  104,    0
197456,20070401,  116,    0
197456,20070402,  133,    0
197456,20070403,  133,    0
197456,20070404,  135,    0
197456,20070405,  128,    0
197456,20070406,  140,    0
197456,20070407,  152,    0
197456,20070408,  153,    0
197456,20070409,  161,    0
197456,20070410,  169,    0
197456,20070411,  173,    0
197456,20070412,  178,    0
197456,20070413,  176,    0
197456,20070414,  179,    0
197456,20070415,  191,    0
197456,20070416,  188,    0
197456,20070417,  177,    0
197456,20070418,  177,    0
197456,20070419,  160,    0
197456,20070420,  168,    0
197456,20070421,  176,    0
197456,20070422,  190,    0
197456,20070423,  208,    0
197456,20070424,  211,    0
197456,20070425,  206,    0
197456,20070426,  189,    0
197456,20070427,  190,    0
197456,20070428,  197,    0
197456,20070429,  201,    0
197456,20070430,  191,    0
197456,20070501,  181,    0
197456,20070502,  142,    0
197456,20070503,  157,    0
197456,20070504,  144,    0
197456,20070505,  152,    0
197456,20070506,  172,    0
197456,20070507,  196,    0
197456,20070508,  210,    0
197456,20070509,  223,    0
197456,20070510,  224,    0
197456,20070511,  215,    0
197456,20070512,  219,    0
197456,20070513,  229,    0
197456,20070514,  233,    0
197456,20070515,  190,    0
197456,20070516,  176,    0
197456,20070517,  183,    0
197456,20070518,  189,    0
197456,20070519,  195,    0
197456,20070520,  220,    0
197456,20070521,  238,    0
197456,20070522,  257,    0
197456,20070523,  259,    0
197456,20070524,  261,    0
197456,20070525,  262,    0
197456,20070526,  237,    0
197456,20070527,  201,    0
197456,20070528,  160,    0
197456,20070529,  155,    0
197456,20070530,  178,    0
197456,20070531,  186,    0
197456,20070601,  181,    0
197456,20070602,  168,    0
197456,20070603,  204,    0
197456,20070604,  210,    0
197456,20070605,  219,    0
197456,20070606,  194,    0
197456,20070607,  191,    0
197456,20070608,  215,    0
197456,20070609,  239,    0
197456,20070610,  250,    0
197456,20070611,  234,    0
197456,20070612,  210,    0
197456,20070613,  231,    0
197456,20070614,  241,    0
197456,20070615,  234,    0
197456,20070616,  227,    0
197456,20070617,  237,    0
197456,20070618,  240,    0
197456,20070619,  259,    0
197456,20070620,  264,    0
197456,20070621,  270,    0
197456,20070622,  250,    0
197456,20070623,  250,    0
197456,20070624,  251,    0
197456,20070625,  263,    0
197456,20070626,  241,    0
197456,20070627,  203,    0
197456,20070628,  214,    0
197456,20070629,  234,    0
197456,20070630,  238,    0
197456,20070701,  247,    0
197456,20070702,  243,    0
197456,20070703,  234,    0
197456,20070704,  224,    0
197456,20070705,  211,    0
197456,20070706,  240,    0
197456,20070707,  251,    0
197456,20070708,  256,    0
197456,20070709,  256,    0
197456,20070710,  218,    0
197456,20070711,  202,    0
197456,20070712,  225,    0
197456,20070713,  240,    0
197456,20070714,  261,    0
197456,20070715,  276,    0
197456,20070716,  280,    0
