EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CARLOFORTE (STAID: 16488).
Blended and updated with sources: 198286 198287 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
198286,19010101,  112,    0
198286,19010102,  122,    0
198286,19010103,   96,    0
198286,19010104,   57,    0
198286,19010105,   38,    0
198286,19010106,   56,    0
198286,19010107,   94,    0
198286,19010108,  119,    0
198286,19010109,  116,    0
198286,19010110,  118,    0
198286,19010111,  121,    0
198286,19010112,  118,    0
198286,19010113,  116,    0
198286,19010114,   86,    0
198286,19010115,   78,    0
198286,19010116,   90,    0
198286,19010117,   95,    0
198286,19010118,  106,    0
198286,19010119,   92,    0
198286,19010120,  105,    0
198286,19010121,  113,    0
198286,19010122,  122,    0
198286,19010123,  121,    0
198286,19010124,  125,    0
198286,19010125,  120,    0
198286,19010126,  126,    0
198286,19010127,  117,    0
198286,19010128,  138,    0
198286,19010129,  134,    0
198286,19010130,  117,    0
198286,19010131,  117,    0
198286,19010201,  132,    0
198286,19010202,  110,    0
198286,19010203,   95,    0
198286,19010204,  110,    0
198286,19010205,  113,    0
198286,19010206,  116,    0
198286,19010207,   94,    0
198286,19010208,   74,    0
198286,19010209,   83,    0
198286,19010210,   86,    0
198286,19010211,  100,    0
198286,19010212,  105,    0
198286,19010213,   91,    0
198286,19010214,   68,    0
198286,19010215,   61,    0
198286,19010216,   69,    0
198286,19010217,   53,    0
198286,19010218,   68,    0
198286,19010219,   71,    0
198286,19010220,   87,    0
198286,19010221,   81,    0
198286,19010222,   91,    0
198286,19010223,  127,    0
198286,19010224,  111,    0
198286,19010225,  114,    0
198286,19010226,  114,    0
198286,19010227,  104,    0
198286,19010228,  118,    0
198286,19010301,  124,    0
198286,19010302,  136,    0
198286,19010303,  143,    0
198286,19010304,  126,    0
198286,19010305,  131,    0
198286,19010306,  127,    0
198286,19010307,  117,    0
198286,19010308,  114,    0
198286,19010309,  114,    0
198286,19010310,  133,    0
198286,19010311,  120,    0
198286,19010312,  112,    0
198286,19010313,  115,    0
198286,19010314,  122,    0
198286,19010315,  150,    0
198286,19010316,  135,    0
198286,19010317,  152,    0
198286,19010318,  152,    0
198286,19010319,  150,    0
198286,19010320,  111,    0
198286,19010321,  128,    0
198286,19010322,  141,    0
198286,19010323,   97,    0
198286,19010324,   97,    0
198286,19010325,  104,    0
198286,19010326,  119,    0
198286,19010327,  110,    0
198286,19010328,  102,    0
198286,19010329,   98,    0
198286,19010330,  130,    0
