EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, ROVEGNO (STAID: 16659).
Blended and updated with sources: 196960 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196960,20051201,-9999,    9
196960,20051202,-9999,    9
196960,20051203,-9999,    9
196960,20051204,-9999,    9
196960,20051205,-9999,    9
196960,20051206,-9999,    9
196960,20051207,-9999,    9
196960,20051208,-9999,    9
196960,20051209,-9999,    9
196960,20051210,-9999,    9
196960,20051211,-9999,    9
196960,20051212,-9999,    9
196960,20051213,-9999,    9
196960,20051214,-9999,    9
196960,20051215,-9999,    9
196960,20051216,-9999,    9
196960,20051217,-9999,    9
196960,20051218,-9999,    9
196960,20051219,-9999,    9
196960,20051220,-9999,    9
196960,20051221,-9999,    9
196960,20051222,-9999,    9
196960,20051223,-9999,    9
196960,20051224,-9999,    9
196960,20051225,-9999,    9
196960,20051226,-9999,    9
196960,20051227,-9999,    9
196960,20051228,-9999,    9
196960,20051229,-9999,    9
196960,20051230,-9999,    9
196960,20051231,  -21,    0
196960,20060101,  -22,    0
196960,20060102,   -9,    0
196960,20060103,   18,    0
196960,20060104,   11,    0
196960,20060105,    2,    0
196960,20060106,   -1,    0
196960,20060107,    0,    0
196960,20060108,    1,    0
196960,20060109,   -9,    0
196960,20060110,   -7,    0
196960,20060111,   -4,    0
196960,20060112,  -10,    0
196960,20060113,   -7,    0
196960,20060114,  -13,    0
196960,20060115,  -36,    0
196960,20060116,  -31,    0
196960,20060117,   -2,    0
196960,20060118,   43,    0
196960,20060119,   17,    0
196960,20060120,   33,    0
196960,20060121,   51,    0
196960,20060122,   20,    0
196960,20060123,  -17,    0
196960,20060124,  -28,    0
196960,20060125,  -29,    0
196960,20060126,  -51,    0
196960,20060127,  -43,    0
196960,20060128,   -5,    0
196960,20060129,   16,    0
196960,20060130,   38,    0
196960,20060131,   48,    0
196960,20060201,   36,    0
196960,20060202,   49,    0
196960,20060203,   36,    0
196960,20060204,   26,    0
196960,20060205,   -9,    0
196960,20060206,  -27,    0
196960,20060207,   -4,    0
196960,20060208,   34,    0
196960,20060209,   17,    0
196960,20060210,    0,    0
