EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SALSOMAGGIORE (STAID: 16736).
Blended and updated with sources: 197024 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197024,20051201,-9999,    9
197024,20051202,-9999,    9
197024,20051203,-9999,    9
197024,20051204,-9999,    9
197024,20051205,-9999,    9
197024,20051206,-9999,    9
197024,20051207,-9999,    9
197024,20051208,-9999,    9
197024,20051209,-9999,    9
197024,20051210,-9999,    9
197024,20051211,-9999,    9
197024,20051212,-9999,    9
197024,20051213,-9999,    9
197024,20051214,-9999,    9
197024,20051215,-9999,    9
197024,20051216,-9999,    9
197024,20051217,-9999,    9
197024,20051218,-9999,    9
197024,20051219,-9999,    9
197024,20051220,-9999,    9
197024,20051221,-9999,    9
197024,20051222,-9999,    9
197024,20051223,-9999,    9
197024,20051224,-9999,    9
197024,20051225,-9999,    9
197024,20051226,-9999,    9
197024,20051227,-9999,    9
197024,20051228,-9999,    9
197024,20051229,-9999,    9
197024,20051230,-9999,    9
197024,20051231,  -14,    0
197024,20060101,   -7,    0
197024,20060102,    2,    0
197024,20060103,   12,    0
197024,20060104,   -5,    0
197024,20060105,   15,    0
197024,20060106,    7,    0
197024,20060107,   13,    0
197024,20060108,    0,    0
197024,20060109,   -2,    0
197024,20060110,  -17,    0
197024,20060111,   -8,    0
197024,20060112,  -15,    0
197024,20060113,  -15,    0
197024,20060114,  -21,    0
197024,20060115,  -25,    0
197024,20060116,  -10,    0
197024,20060117,   -5,    0
197024,20060118,    0,    0
197024,20060119,  -10,    0
197024,20060120,  -10,    0
197024,20060121,    1,    0
197024,20060122,   16,    0
197024,20060123,   -3,    0
197024,20060124,  -23,    0
197024,20060125,  -36,    0
197024,20060126,  -33,    0
197024,20060127,  -16,    0
197024,20060128,    9,    0
197024,20060129,   21,    0
197024,20060130,   29,    0
197024,20060131,   34,    0
197024,20060201,   30,    0
197024,20060202,   28,    0
197024,20060203,   30,    0
197024,20060204,   20,    0
197024,20060205,    3,    0
197024,20060206,  -20,    0
