EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, ALBARETO_PARMA (STAID: 17513).
Blended and updated with sources: 194056 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194056,20051201,-9999,    9
194056,20051202,-9999,    9
194056,20051203,-9999,    9
194056,20051204,-9999,    9
194056,20051205,-9999,    9
194056,20051206,-9999,    9
194056,20051207,-9999,    9
194056,20051208,-9999,    9
194056,20051209,-9999,    9
194056,20051210,-9999,    9
194056,20051211,-9999,    9
194056,20051212,-9999,    9
194056,20051213,-9999,    9
194056,20051214,-9999,    9
194056,20051215,-9999,    9
194056,20051216,-9999,    9
194056,20051217,-9999,    9
194056,20051218,-9999,    9
194056,20051219,-9999,    9
194056,20051220,-9999,    9
194056,20051221,-9999,    9
194056,20051222,-9999,    9
194056,20051223,-9999,    9
194056,20051224,-9999,    9
194056,20051225,-9999,    9
194056,20051226,-9999,    9
194056,20051227,-9999,    9
194056,20051228,-9999,    9
194056,20051229,-9999,    9
194056,20051230,-9999,    9
194056,20051231,  -17,    0
194056,20060101,  -16,    0
194056,20060102,   -6,    0
194056,20060103,    4,    0
194056,20060104,  -12,    0
194056,20060105,    7,    0
194056,20060106,    0,    0
194056,20060107,  -10,    0
194056,20060108,   -8,    0
194056,20060109,  -21,    0
194056,20060110,  -45,    0
194056,20060111,  -36,    0
194056,20060112,  -39,    0
194056,20060113,  -43,    0
194056,20060114,  -51,    0
194056,20060115,  -55,    0
194056,20060116,  -18,    0
194056,20060117,    9,    0
194056,20060118,   44,    0
194056,20060119,   -1,    0
194056,20060120,    9,    0
194056,20060121,   47,    0
194056,20060122,    6,    0
194056,20060123,  -27,    0
194056,20060124,  -34,    0
194056,20060125,  -48,    0
194056,20060126,  -48,    0
194056,20060127,  -37,    0
194056,20060128,   -5,    0
194056,20060129,   12,    0
194056,20060130,   20,    0
194056,20060131,   21,    0
194056,20060201,    8,    0
194056,20060202,   17,    0
194056,20060203,   18,    0
194056,20060204,   16,    0
194056,20060205,  -19,    0
194056,20060206,  -48,    0
194056,20060207,  -18,    0
194056,20060208,   24,    0
194056,20060209,   16,    0
194056,20060210,  -14,    0
194056,20060211,  -25,    0
194056,20060212,  -26,    0
194056,20060213,  -19,    0
194056,20060214,    0,    0
194056,20060215,   59,    0
194056,20060216,   77,    0
194056,20060217,   85,    0
194056,20060218,   81,    0
194056,20060219,   78,    0
194056,20060220,   56,    0
194056,20060221,   31,    0
194056,20060222,   33,    0
194056,20060223,   39,    0
194056,20060224,    9,    0
194056,20060225,   11,    0
194056,20060226,   29,    0
194056,20060227,   17,    0
194056,20060228,    9,    0
194056,20060301,    4,    0
194056,20060302,    2,    0
194056,20060303,   70,    0
194056,20060304,   94,    0
194056,20060305,   82,    0
194056,20060306,   23,    0
194056,20060307,    6,    0
194056,20060308,   16,    0
194056,20060309,   74,    0
194056,20060310,   61,    0
194056,20060311,   11,    0
194056,20060312,   -3,    0
194056,20060313,    9,    0
194056,20060314,   16,    0
194056,20060315,   23,    0
194056,20060316,   16,    0
194056,20060317,   29,    0
194056,20060318,   38,    0
194056,20060319,   48,    0
194056,20060320,   62,    0
194056,20060321,   59,    0
194056,20060322,   60,    0
194056,20060323,   65,    0
