EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, ALPE_DI_GORRETO (STAID: 17516).
Blended and updated with sources: 194088 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194088,20051201,-9999,    9
194088,20051202,-9999,    9
194088,20051203,-9999,    9
194088,20051204,-9999,    9
194088,20051205,-9999,    9
194088,20051206,-9999,    9
194088,20051207,-9999,    9
194088,20051208,-9999,    9
194088,20051209,-9999,    9
194088,20051210,-9999,    9
194088,20051211,-9999,    9
194088,20051212,-9999,    9
194088,20051213,-9999,    9
194088,20051214,-9999,    9
194088,20051215,-9999,    9
194088,20051216,-9999,    9
194088,20051217,-9999,    9
194088,20051218,-9999,    9
194088,20051219,-9999,    9
194088,20051220,-9999,    9
194088,20051221,-9999,    9
194088,20051222,-9999,    9
194088,20051223,-9999,    9
194088,20051224,-9999,    9
194088,20051225,-9999,    9
194088,20051226,-9999,    9
194088,20051227,-9999,    9
194088,20051228,-9999,    9
194088,20051229,-9999,    9
194088,20051230,-9999,    9
194088,20051231,  -22,    0
194088,20060101,  -27,    0
194088,20060102,    5,    0
194088,20060103,   23,    0
194088,20060104,    7,    0
194088,20060105,   -9,    0
194088,20060106,    3,    0
194088,20060107,   15,    0
194088,20060108,    0,    0
194088,20060109,  -13,    0
194088,20060110,    7,    0
194088,20060111,   19,    0
194088,20060112,   20,    0
194088,20060113,    4,    0
194088,20060114,   13,    0
194088,20060115,  -26,    0
194088,20060116,  -35,    0
194088,20060117,   -6,    0
194088,20060118,   46,    0
194088,20060119,   58,    0
194088,20060120,   48,    0
194088,20060121,   45,    0
194088,20060122,   36,    0
194088,20060123,   -2,    0
194088,20060124,  -29,    0
194088,20060125,  -20,    0
194088,20060126,  -50,    0
194088,20060127,  -45,    0
194088,20060128,    0,    0
194088,20060129,   28,    0
194088,20060130,   43,    0
194088,20060131,   71,    0
194088,20060201,   87,    0
194088,20060202,   79,    0
194088,20060203,   46,    0
194088,20060204,   39,    0
194088,20060205,    0,    0
194088,20060206,  -22,    0
194088,20060207,    0,    0
194088,20060208,   26,    0
194088,20060209,   34,    0
194088,20060210,   18,    0
194088,20060211,   11,    0
194088,20060212,    0,    0
194088,20060213,    8,    0
194088,20060214,   17,    0
194088,20060215,   41,    0
194088,20060216,   53,    0
194088,20060217,   70,    0
194088,20060218,   46,    0
194088,20060219,   41,    0
194088,20060220,   32,    0
194088,20060221,   11,    0
194088,20060222,   13,    0
194088,20060223,   18,    0
194088,20060224,    0,    0
194088,20060225,    0,    0
194088,20060226,   17,    0
194088,20060227,    8,    0
194088,20060228,   -6,    0
194088,20060301,    4,    0
194088,20060302,    0,    0
194088,20060303,   44,    0
194088,20060304,   60,    0
194088,20060305,   61,    0
194088,20060306,   13,    0
194088,20060307,    7,    0
194088,20060308,    9,    0
194088,20060309,   60,    0
194088,20060310,   60,    0
194088,20060311,   37,    0
194088,20060312,    2,    0
194088,20060313,   20,    0
194088,20060314,   42,    0
194088,20060315,   36,    0
