EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BARBAGELATA (STAID: 17523).
Blended and updated with sources: 194192 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194192,20051201,-9999,    9
194192,20051202,-9999,    9
194192,20051203,-9999,    9
194192,20051204,-9999,    9
194192,20051205,-9999,    9
194192,20051206,-9999,    9
194192,20051207,-9999,    9
194192,20051208,-9999,    9
194192,20051209,-9999,    9
194192,20051210,-9999,    9
194192,20051211,-9999,    9
194192,20051212,-9999,    9
194192,20051213,-9999,    9
194192,20051214,-9999,    9
194192,20051215,-9999,    9
194192,20051216,-9999,    9
194192,20051217,-9999,    9
194192,20051218,-9999,    9
194192,20051219,-9999,    9
194192,20051220,-9999,    9
194192,20051221,-9999,    9
194192,20051222,-9999,    9
194192,20051223,-9999,    9
194192,20051224,-9999,    9
194192,20051225,-9999,    9
194192,20051226,-9999,    9
194192,20051227,-9999,    9
194192,20051228,-9999,    9
194192,20051229,-9999,    9
194192,20051230,-9999,    9
194192,20051231,    2,    0
194192,20060101,    6,    0
194192,20060102,    1,    0
194192,20060103,   -2,    0
194192,20060104,  -16,    0
194192,20060105,  -30,    0
194192,20060106,  -20,    0
194192,20060107,   -7,    0
194192,20060108,  -22,    0
194192,20060109,  -40,    0
194192,20060110,  -14,    0
194192,20060111,    6,    0
194192,20060112,    5,    0
194192,20060113,  -16,    0
194192,20060114,   -2,    0
194192,20060115,  -39,    0
194192,20060116,  -42,    0
194192,20060117,   -2,    0
194192,20060118,   26,    0
194192,20060119,   44,    0
194192,20060120,   27,    0
194192,20060121,   27,    0
194192,20060122,   10,    0
194192,20060123,  -28,    0
194192,20060124,  -61,    0
194192,20060125,  -34,    0
194192,20060126,  -59,    0
194192,20060127,  -51,    0
194192,20060128,   -2,    0
194192,20060129,   18,    0
194192,20060130,   24,    0
194192,20060131,   60,    0
194192,20060201,   85,    0
194192,20060202,   63,    0
194192,20060203,   23,    0
194192,20060204,   25,    0
194192,20060205,  -22,    0
194192,20060206,  -29,    0
194192,20060207,  -15,    0
194192,20060208,   10,    0
194192,20060209,   16,    0
194192,20060210,   -5,    0
194192,20060211,   -1,    0
194192,20060212,  -13,    0
194192,20060213,   -5,    0
194192,20060214,    2,    0
194192,20060215,   24,    0
194192,20060216,   38,    0
194192,20060217,   36,    0
194192,20060218,   31,    0
194192,20060219,   27,    0
194192,20060220,   17,    0
194192,20060221,    2,    0
194192,20060222,    5,    0
194192,20060223,    1,    0
194192,20060224,  -17,    0
194192,20060225,  -11,    0
194192,20060226,    2,    0
194192,20060227,   -6,    0
194192,20060228,  -18,    0
194192,20060301,   -7,    0
194192,20060302,  -12,    0
194192,20060303,   18,    0
194192,20060304,   41,    0
194192,20060305,   38,    0
194192,20060306,  -11,    0
194192,20060307,  -10,    0
194192,20060308,   -8,    0
194192,20060309,   35,    0
194192,20060310,   42,    0
194192,20060311,   18,    0
194192,20060312,  -20,    0
194192,20060313,   -5,    0
194192,20060314,   36,    0
194192,20060315,   18,    0
194192,20060316,    0,    0
194192,20060317,   12,    0
194192,20060318,   10,    0
194192,20060319,   16,    0
194192,20060320,   35,    0
194192,20060321,   44,    0
194192,20060322,   45,    0
194192,20060323,   59,    0
194192,20060324,   33,    0
194192,20060325,   44,    0
194192,20060326,   56,    0
194192,20060327,   57,    0
194192,20060328,   57,    0
194192,20060329,   66,    0
194192,20060330,   46,    0
194192,20060331,   60,    0
194192,20060401,   68,    0
194192,20060402,   86,    0
194192,20060403,  100,    0
194192,20060404,   73,    0
194192,20060405,   49,    0
194192,20060406,   45,    0
194192,20060407,   41,    0
194192,20060408,   45,    0
194192,20060409,   48,    0
194192,20060410,   54,    0
194192,20060411,   26,    0
194192,20060412,   52,    0
194192,20060413,   69,    0
194192,20060414,   69,    0
194192,20060415,   61,    0
194192,20060416,   75,    0
194192,20060417,   91,    0
194192,20060418,   79,    0
194192,20060419,   87,    0
194192,20060420,   92,    0
194192,20060421,   98,    0
194192,20060422,  113,    0
194192,20060423,  102,    0
194192,20060424,  129,    0
194192,20060425,  120,    0
194192,20060426,  110,    0
194192,20060427,   98,    0
194192,20060428,   91,    0
194192,20060429,   96,    0
194192,20060430,   75,    0
194192,20060501,   75,    0
194192,20060502,   91,    0
194192,20060503,  110,    0
194192,20060504,  115,    0
194192,20060505,  101,    0
194192,20060506,   96,    0
194192,20060507,  103,    0
194192,20060508,   90,    0
194192,20060509,   60,    0
194192,20060510,   76,    0
194192,20060511,   95,    0
194192,20060512,  112,    0
194192,20060513,   96,    0
194192,20060514,  112,    0
194192,20060515,  137,    0
194192,20060516,  125,    0
194192,20060517,  134,    0
194192,20060518,  143,    0
194192,20060519,  121,    0
194192,20060520,  112,    0
194192,20060521,  108,    0
194192,20060522,  130,    0
194192,20060523,  108,    0
194192,20060524,  113,    0
194192,20060525,  126,    0
194192,20060526,  152,    0
194192,20060527,  166,    0
194192,20060528,  149,    0
194192,20060529,  127,    0
194192,20060530,  102,    0
194192,20060531,   61,    0
194192,20060601,   85,    0
194192,20060602,   68,    0
194192,20060603,  114,    0
194192,20060604,  124,    0
194192,20060605,  119,    0
194192,20060606,  103,    0
194192,20060607,  108,    0
194192,20060608,  126,    0
194192,20060609,  123,    0
194192,20060610,  132,    0
194192,20060611,  145,    0
194192,20060612,  152,    0
194192,20060613,  157,    0
194192,20060614,  155,    0
194192,20060615,  154,    0
194192,20060616,  154,    0
194192,20060617,  173,    0
194192,20060618,  179,    0
194192,20060619,  179,    0
194192,20060620,  199,    0
194192,20060621,  206,    0
194192,20060622,  193,    0
194192,20060623,  205,    0
