EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BERCETO (STAID: 17528).
Blended and updated with sources: 194280 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194280,20051201,-9999,    9
194280,20051202,-9999,    9
194280,20051203,-9999,    9
194280,20051204,-9999,    9
194280,20051205,-9999,    9
194280,20051206,-9999,    9
194280,20051207,-9999,    9
194280,20051208,-9999,    9
194280,20051209,-9999,    9
194280,20051210,-9999,    9
194280,20051211,-9999,    9
194280,20051212,-9999,    9
194280,20051213,-9999,    9
194280,20051214,-9999,    9
194280,20051215,-9999,    9
194280,20051216,-9999,    9
194280,20051217,-9999,    9
194280,20051218,-9999,    9
194280,20051219,-9999,    9
194280,20051220,-9999,    9
194280,20051221,-9999,    9
194280,20051222,-9999,    9
194280,20051223,-9999,    9
194280,20051224,-9999,    9
194280,20051225,-9999,    9
194280,20051226,-9999,    9
194280,20051227,-9999,    9
194280,20051228,-9999,    9
194280,20051229,-9999,    9
194280,20051230,-9999,    9
194280,20051231,  -22,    0
194280,20060101,  -18,    0
194280,20060102,    9,    0
194280,20060103,   26,    0
194280,20060104,   16,    0
194280,20060105,   -1,    0
194280,20060106,    6,    0
194280,20060107,    9,    0
194280,20060108,   -7,    0
194280,20060109,  -14,    0
194280,20060110,   -7,    0
194280,20060111,   12,    0
194280,20060112,    7,    0
194280,20060113,  -10,    0
194280,20060114,   -2,    0
194280,20060115,  -38,    0
194280,20060116,  -30,    0
194280,20060117,   -1,    0
194280,20060118,   49,    0
194280,20060119,   48,    0
194280,20060120,   54,    0
194280,20060121,   52,    0
194280,20060122,   21,    0
194280,20060123,  -16,    0
194280,20060124,  -40,    0
194280,20060125,  -30,    0
194280,20060126,  -52,    0
194280,20060127,  -34,    0
194280,20060128,    6,    0
194280,20060129,   25,    0
194280,20060130,   37,    0
194280,20060131,   61,    0
194280,20060201,   74,    0
194280,20060202,   81,    0
194280,20060203,   54,    0
194280,20060204,   37,    0
194280,20060205,  -12,    0
194280,20060206,  -28,    0
194280,20060207,    0,    0
194280,20060208,   37,    0
194280,20060209,   42,    0
