EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BIBBIANA (STAID: 17533).
Blended and updated with sources: 194328 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194328,20051201,-9999,    9
194328,20051202,-9999,    9
194328,20051203,-9999,    9
194328,20051204,-9999,    9
194328,20051205,-9999,    9
194328,20051206,-9999,    9
194328,20051207,-9999,    9
194328,20051208,-9999,    9
194328,20051209,-9999,    9
194328,20051210,-9999,    9
194328,20051211,-9999,    9
194328,20051212,-9999,    9
194328,20051213,-9999,    9
194328,20051214,-9999,    9
194328,20051215,-9999,    9
194328,20051216,-9999,    9
194328,20051217,-9999,    9
194328,20051218,-9999,    9
194328,20051219,-9999,    9
194328,20051220,-9999,    9
194328,20051221,-9999,    9
194328,20051222,-9999,    9
194328,20051223,-9999,    9
194328,20051224,-9999,    9
194328,20051225,-9999,    9
194328,20051226,-9999,    9
194328,20051227,-9999,    9
194328,20051228,-9999,    9
194328,20051229,-9999,    9
194328,20051230,-9999,    9
194328,20051231,   12,    0
194328,20060101,    5,    0
194328,20060102,   11,    0
194328,20060103,   17,    0
194328,20060104,    0,    0
194328,20060105,   -7,    0
194328,20060106,    1,    0
194328,20060107,   16,    0
194328,20060108,    3,    0
194328,20060109,  -19,    0
194328,20060110,  -14,    0
194328,20060111,   10,    0
194328,20060112,    7,    0
194328,20060113,  -13,    0
194328,20060114,  -20,    0
194328,20060115,  -28,    0
194328,20060116,  -28,    0
194328,20060117,   12,    0
194328,20060118,   42,    0
194328,20060119,   31,    0
194328,20060120,   50,    0
194328,20060121,   46,    0
194328,20060122,    8,    0
194328,20060123,  -31,    0
194328,20060124,  -60,    0
194328,20060125,  -51,    0
194328,20060126,  -17,    0
194328,20060127,   10,    0
194328,20060128,   31,    0
194328,20060129,   32,    0
194328,20060130,   46,    0
194328,20060131,   53,    0
194328,20060201,   67,    0
194328,20060202,   85,    0
194328,20060203,   54,    0
194328,20060204,   43,    0
194328,20060205,  -12,    0
194328,20060206,  -33,    0
194328,20060207,  -10,    0
194328,20060208,   23,    0
194328,20060209,   38,    0
194328,20060210,   17,    0
194328,20060211,   11,    0
194328,20060212,    4,    0
194328,20060213,    2,    0
194328,20060214,   24,    0
194328,20060215,   47,    0
194328,20060216,   75,    0
194328,20060217,   74,    0
194328,20060218,   73,    0
194328,20060219,   78,    0
194328,20060220,   53,    0
194328,20060221,   33,    0
194328,20060222,   34,    0
194328,20060223,   26,    0
194328,20060224,    2,    0
194328,20060225,    2,    0
194328,20060226,   30,    0
194328,20060227,    7,    0
194328,20060228,   -6,    0
194328,20060301,    7,    0
