EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CAMPOGALLIANO (STAID: 17553).
Blended and updated with sources: 194560 195864 195968 916128 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916128,20051201,-9999,    9
916128,20051202,-9999,    9
916128,20051203,-9999,    9
916128,20051204,-9999,    9
916128,20051205,-9999,    9
916128,20051206,-9999,    9
916128,20051207,-9999,    9
916128,20051208,-9999,    9
916128,20051209,-9999,    9
916128,20051210,-9999,    9
916128,20051211,-9999,    9
916128,20051212,-9999,    9
916128,20051213,-9999,    9
916128,20051214,-9999,    9
916128,20051215,-9999,    9
916128,20051216,-9999,    9
916128,20051217,-9999,    9
916128,20051218,-9999,    9
916128,20051219,-9999,    9
916128,20051220,-9999,    9
916128,20051221,-9999,    9
916128,20051222,-9999,    9
916128,20051223,-9999,    9
916128,20051224,-9999,    9
916128,20051225,-9999,    9
916128,20051226,-9999,    9
916128,20051227,-9999,    9
916128,20051228,-9999,    9
916128,20051229,-9999,    9
916128,20051230,-9999,    9
194560,20051231,  -11,    0
194560,20060101,   -3,    0
194560,20060102,   10,    0
194560,20060103,   28,    0
194560,20060104,   17,    0
194560,20060105,   23,    0
194560,20060106,   29,    0
194560,20060107,   24,    0
194560,20060108,   13,    0
194560,20060109,   15,    0
194560,20060110,    5,    0
194560,20060111,   13,    0
194560,20060112,   10,    0
194560,20060113,    7,    0
194560,20060114,   -9,    0
194560,20060115,  -17,    0
194560,20060116,    0,    0
194560,20060117,   -2,    0
194560,20060118,    7,    0
194560,20060119,  -29,    0
194560,20060120,  -34,    0
194560,20060121,   -7,    0
194560,20060122,   15,    0
194560,20060123,   -4,    0
194560,20060124,  -20,    0
194560,20060125,  -25,    0
194560,20060126,  -32,    0
194560,20060127,   -5,    0
194560,20060128,   12,    0
194560,20060129,   21,    0
194560,20060130,   38,    0
194560,20060131,   56,    0
194560,20060201,   48,    0
194560,20060202,   48,    0
194560,20060203,   46,    0
194560,20060204,   35,    0
194560,20060205,   14,    0
194560,20060206,  -10,    0
194560,20060207,   -6,    0
194560,20060208,   11,    0
194560,20060209,   24,    0
194560,20060210,   32,    0
194560,20060211,   34,    0
194560,20060212,   17,    0
194560,20060213,   16,    0
194560,20060214,   23,    0
194560,20060215,   29,    0
194560,20060216,   25,    0
194560,20060217,   56,    0
194560,20060218,   52,    0
194560,20060219,   53,    0
194560,20060220,   60,    0
194560,20060221,   54,    0
194560,20060222,   69,    0
194560,20060223,   71,    0
194560,20060224,   46,    0
194560,20060225,   45,    0
194560,20060226,   55,    0
194560,20060227,   35,    0
194560,20060228,   23,    0
194560,20060301,   34,    0
194560,20060302,   35,    0
194560,20060303,   35,    0
194560,20060304,   97,    0
194560,20060305,  102,    0
194560,20060306,   55,    0
194560,20060307,   50,    0
194560,20060308,   45,    0
194560,20060309,   69,    0
194560,20060310,   77,    0
194560,20060311,   64,    0
194560,20060312,   16,    0
194560,20060313,   51,    0
194560,20060314,   45,    0
194560,20060315,   53,    0
194560,20060316,   47,    0
194560,20060317,   64,    0
194560,20060318,   50,    0
194560,20060319,   57,    0
194560,20060320,   76,    0
194560,20060321,   74,    0
194560,20060322,   90,    0
194560,20060323,  105,    0
194560,20060324,   76,    0
194560,20060325,  108,    0
194560,20060326,  126,    0
194560,20060327,  141,    0
194560,20060328,  145,    0
194560,20060329,  147,    0
194560,20060330,  122,    0
194560,20060331,  142,    0
194560,20060401,  134,    0
194560,20060402,  144,    0
194560,20060403,  128,    0
194560,20060404,  114,    0
194560,20060405,  114,    0
194560,20060406,   78,    0
194560,20060407,   80,    0
194560,20060408,  103,    0
194560,20060409,  121,    0
194560,20060410,  116,    0
194560,20060411,   91,    0
194560,20060412,   97,    0
194560,20060413,  119,    0
194560,20060414,  148,    0
194560,20060415,  141,    0
194560,20060416,  155,    0
194560,20060417,  136,    0
194560,20060418,  137,    0
194560,20060419,  146,    0
194560,20060420,  150,    0
194560,20060421,  161,    0
194560,20060422,  178,    0
194560,20060423,  178,    0
194560,20060424,  177,    0
194560,20060425,  165,    0
194560,20060426,  181,    0
194560,20060427,  153,    0
194560,20060428,  148,    0
194560,20060429,  151,    0
194560,20060430,  114,    0
194560,20060501,  131,    0
194560,20060502,  146,    0
194560,20060503,  150,    0
194560,20060504,  163,    0
194560,20060505,  159,    0
194560,20060506,  168,    0
194560,20060507,  174,    0
194560,20060508,  161,    0
