EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CAMPORA_DI_SASSO (STAID: 17554).
Blended and updated with sources: 194568 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194568,20051201,-9999,    9
194568,20051202,-9999,    9
194568,20051203,-9999,    9
194568,20051204,-9999,    9
194568,20051205,-9999,    9
194568,20051206,-9999,    9
194568,20051207,-9999,    9
194568,20051208,-9999,    9
194568,20051209,-9999,    9
194568,20051210,-9999,    9
194568,20051211,-9999,    9
194568,20051212,-9999,    9
194568,20051213,-9999,    9
194568,20051214,-9999,    9
194568,20051215,-9999,    9
194568,20051216,-9999,    9
194568,20051217,-9999,    9
194568,20051218,-9999,    9
194568,20051219,-9999,    9
194568,20051220,-9999,    9
194568,20051221,-9999,    9
194568,20051222,-9999,    9
194568,20051223,-9999,    9
194568,20051224,-9999,    9
194568,20051225,-9999,    9
194568,20051226,-9999,    9
194568,20051227,-9999,    9
194568,20051228,-9999,    9
194568,20051229,-9999,    9
194568,20051230,-9999,    9
194568,20051231,  -27,    0
194568,20060101,  -25,    0
194568,20060102,    8,    0
194568,20060103,   24,    0
194568,20060104,    3,    0
194568,20060105,   -3,    0
194568,20060106,    4,    0
194568,20060107,    9,    0
194568,20060108,    0,    0
194568,20060109,  -19,    0
194568,20060110,  -11,    0
194568,20060111,    7,    0
194568,20060112,    6,    0
194568,20060113,  -15,    0
194568,20060114,  -14,    0
194568,20060115,  -39,    0
194568,20060116,  -33,    0
194568,20060117,  -24,    0
194568,20060118,   -8,    0
194568,20060119,   21,    0
194568,20060120,   30,    0
194568,20060121,   30,    0
194568,20060122,   12,    0
194568,20060123,  -26,    0
194568,20060124,  -49,    0
194568,20060125,  -41,    0
194568,20060126,  -54,    0
194568,20060127,  -33,    0
194568,20060128,   13,    0
194568,20060129,   29,    0
194568,20060130,   35,    0
194568,20060131,   53,    0
194568,20060201,   62,    0
194568,20060202,   62,    0
194568,20060203,   37,    0
194568,20060204,   24,    0
194568,20060205,  -11,    0
194568,20060206,  -24,    0
194568,20060207,  -27,    0
194568,20060208,    3,    0
194568,20060209,   35,    0
194568,20060210,   19,    0
194568,20060211,   10,    0
194568,20060212,    0,    0
194568,20060213,    0,    0
194568,20060214,   14,    0
194568,20060215,   17,    0
194568,20060216,   19,    0
194568,20060217,   75,    0
194568,20060218,   74,    0
