EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CANOSSA (STAID: 17557).
Blended and updated with sources: 194592 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194592,20051201,-9999,    9
194592,20051202,-9999,    9
194592,20051203,-9999,    9
194592,20051204,-9999,    9
194592,20051205,-9999,    9
194592,20051206,-9999,    9
194592,20051207,-9999,    9
194592,20051208,-9999,    9
194592,20051209,-9999,    9
194592,20051210,-9999,    9
194592,20051211,-9999,    9
194592,20051212,-9999,    9
194592,20051213,-9999,    9
194592,20051214,-9999,    9
194592,20051215,-9999,    9
194592,20051216,-9999,    9
194592,20051217,-9999,    9
194592,20051218,-9999,    9
194592,20051219,-9999,    9
194592,20051220,-9999,    9
194592,20051221,-9999,    9
194592,20051222,-9999,    9
194592,20051223,-9999,    9
194592,20051224,-9999,    9
194592,20051225,-9999,    9
194592,20051226,-9999,    9
194592,20051227,-9999,    9
194592,20051228,-9999,    9
194592,20051229,-9999,    9
194592,20051230,-9999,    9
194592,20051231,  -20,    0
194592,20060101,  -23,    0
194592,20060102,   17,    0
194592,20060103,   37,    0
194592,20060104,   19,    0
194592,20060105,    6,    0
194592,20060106,   22,    0
194592,20060107,   28,    0
194592,20060108,    5,    0
194592,20060109,   -3,    0
194592,20060110,   18,    0
194592,20060111,   41,    0
194592,20060112,   27,    0
194592,20060113,   10,    0
194592,20060114,   11,    0
194592,20060115,  -25,    0
194592,20060116,  -28,    0
194592,20060117,  -20,    0
194592,20060118,   -5,    0
194592,20060119,   35,    0
194592,20060120,   46,    0
194592,20060121,   43,    0
194592,20060122,   25,    0
194592,20060123,  -13,    0
194592,20060124,  -43,    0
194592,20060125,  -29,    0
194592,20060126,  -45,    0
194592,20060127,  -25,    0
194592,20060128,   14,    0
194592,20060129,   34,    0
194592,20060130,   40,    0
194592,20060131,   76,    0
194592,20060201,   83,    0
194592,20060202,   80,    0
194592,20060203,   60,    0
194592,20060204,   47,    0
194592,20060205,   -6,    0
194592,20060206,  -11,    0
194592,20060207,  -10,    0
194592,20060208,   21,    0
194592,20060209,   47,    0
194592,20060210,   35,    0
194592,20060211,   37,    0
194592,20060212,   23,    0
194592,20060213,   18,    0
194592,20060214,   32,    0
194592,20060215,   24,    0
194592,20060216,    3,    0
194592,20060217,   74,    0
194592,20060218,   85,    0
194592,20060219,   56,    0
194592,20060220,   59,    0
194592,20060221,   23,    0
194592,20060222,   35,    0
194592,20060223,   34,    0
194592,20060224,    0,    0
194592,20060225,    9,    0
194592,20060226,   30,    0
194592,20060227,   10,    0
194592,20060228,   -1,    0
194592,20060301,   17,    0
194592,20060302,    9,    0
194592,20060303,   49,    0
194592,20060304,  108,    0
194592,20060305,   75,    0
194592,20060306,   15,    0
194592,20060307,   27,    0
194592,20060308,   34,    0
194592,20060309,   50,    0
194592,20060310,   56,    0
194592,20060311,   41,    0
194592,20060312,    5,    0
194592,20060313,   22,    0
194592,20060314,   38,    0
194592,20060315,   42,    0
194592,20060316,   21,    0
194592,20060317,   45,    0
194592,20060318,   43,    0
194592,20060319,   45,    0
194592,20060320,   69,    0
194592,20060321,   55,    0
194592,20060322,   60,    0
194592,20060323,   92,    0
194592,20060324,   67,    0
194592,20060325,   78,    0
194592,20060326,  113,    0
194592,20060327,  116,    0
194592,20060328,  122,    0
194592,20060329,  124,    0
194592,20060330,  121,    0
194592,20060331,  136,    0
194592,20060401,  115,    0
194592,20060402,  123,    0
194592,20060403,  128,    0
194592,20060404,  107,    0
194592,20060405,   95,    0
194592,20060406,   43,    0
194592,20060407,   58,    0
194592,20060408,   90,    0
194592,20060409,  110,    0
194592,20060410,  101,    0
194592,20060411,   54,    0
194592,20060412,   86,    0
194592,20060413,  113,    0
194592,20060414,  148,    0
194592,20060415,  123,    0
194592,20060416,  138,    0
194592,20060417,  121,    0
194592,20060418,  103,    0
194592,20060419,  125,    0
194592,20060420,  138,    0
194592,20060421,  151,    0
194592,20060422,  167,    0
194592,20060423,  175,    0
194592,20060424,  176,    0
194592,20060425,  153,    0
194592,20060426,  151,    0
194592,20060427,  135,    0
194592,20060428,  117,    0
194592,20060429,  125,    0
194592,20060430,   80,    0
194592,20060501,  108,    0
194592,20060502,  133,    0
194592,20060503,  143,    0
194592,20060504,  149,    0
194592,20060505,  134,    0
194592,20060506,  138,    0
194592,20060507,  156,    0
194592,20060508,  146,    0
194592,20060509,   97,    0
194592,20060510,  126,    0
194592,20060511,  138,    0
194592,20060512,  173,    0
194592,20060513,  167,    0
194592,20060514,  151,    0
194592,20060515,  177,    0
194592,20060516,  195,    0
194592,20060517,  209,    0
194592,20060518,  203,    0
194592,20060519,  197,    0
194592,20060520,  183,    0
194592,20060521,  183,    0
194592,20060522,  205,    0
194592,20060523,  183,    0
194592,20060524,  148,    0
194592,20060525,  157,    0
194592,20060526,  191,    0
194592,20060527,  230,    0
194592,20060528,  235,    0
194592,20060529,  167,    0
194592,20060530,  103,    0
194592,20060531,  108,    0
194592,20060601,  122,    0
194592,20060602,   98,    0
194592,20060603,  144,    0
194592,20060604,  178,    0
194592,20060605,  160,    0
194592,20060606,  147,    0
194592,20060607,  146,    0
194592,20060608,  167,    0
194592,20060609,  169,    0
194592,20060610,  199,    0
194592,20060611,  169,    0
194592,20060612,  185,    0
194592,20060613,  225,    0
194592,20060614,  236,    0
194592,20060615,  243,    0
194592,20060616,  232,    0
194592,20060617,  237,    0
194592,20060618,  241,    0
194592,20060619,  239,    0
194592,20060620,  246,    0
194592,20060621,  260,    0
194592,20060622,  265,    0
194592,20060623,  259,    0
194592,20060624,  256,    0
194592,20060625,  246,    0
194592,20060626,  265,    0
194592,20060627,  276,    0
194592,20060628,  270,    0
194592,20060629,  241,    0
194592,20060630,  259,    0
194592,20060701,  257,    0
194592,20060702,  229,    0
194592,20060703,  236,    0
194592,20060704,  227,    0
194592,20060705,  238,    0
194592,20060706,  215,    0
194592,20060707,  177,    0
194592,20060708,  213,    0
194592,20060709,  243,    0
194592,20060710,  258,    0
194592,20060711,  272,    0
194592,20060712,  271,    0
194592,20060713,  249,    0
194592,20060714,  257,    0
194592,20060715,  262,    0
194592,20060716,  238,    0
194592,20060717,  231,    0
194592,20060718,  241,    0
194592,20060719,  261,    0
194592,20060720,  286,    0
194592,20060721,  296,    0
194592,20060722,  296,    0
194592,20060723,  283,    0
194592,20060724,  272,    0
194592,20060725,  276,    0
194592,20060726,  271,    0
194592,20060727,  266,    0
194592,20060728,  265,    0
194592,20060729,  242,    0
194592,20060730,  265,    0
194592,20060731,  278,    0
194592,20060801,  253,    0
194592,20060802,  207,    0
194592,20060803,  167,    0
194592,20060804,  193,    0
194592,20060805,  203,    0
194592,20060806,  219,    0
194592,20060807,  238,    0
194592,20060808,  234,    0
194592,20060809,  208,    0
194592,20060810,  202,    0
194592,20060811,  171,    0
194592,20060812,  143,    0
194592,20060813,  156,    0
194592,20060814,  167,    0
194592,20060815,  200,    0
194592,20060816,  170,    0
194592,20060817,  207,    0
194592,20060818,  235,    0
194592,20060819,  204,    0
194592,20060820,  223,    0
194592,20060821,  209,    0
194592,20060822,  219,    0
194592,20060823,  219,    0
194592,20060824,  213,    0
194592,20060825,  189,    0
194592,20060826,  189,    0
194592,20060827,  191,    0
194592,20060828,  201,    0
194592,20060829,  202,    0
194592,20060830,  168,    0
194592,20060831,  185,    0
194592,20060901,  202,    0
194592,20060902,  211,    0
194592,20060903,  222,    0
194592,20060904,  245,    0
194592,20060905,  249,    0
194592,20060906,  255,    0
194592,20060907,  253,    0
194592,20060908,  219,    0
194592,20060909,  186,    0
194592,20060910,  190,    0
194592,20060911,  195,    0
194592,20060912,  191,    0
194592,20060913,  197,    0
194592,20060914,  174,    0
194592,20060915,  195,    0
194592,20060916,  167,    0
194592,20060917,  140,    0
194592,20060918,  185,    0
194592,20060919,  193,    0
194592,20060920,  200,    0
194592,20060921,  200,    0
194592,20060922,  206,    0
194592,20060923,  189,    0
194592,20060924,  173,    0
194592,20060925,  146,    0
194592,20060926,  152,    0
194592,20060927,  182,    0
194592,20060928,  190,    0
194592,20060929,  190,    0
194592,20060930,  190,    0
194592,20061001,  198,    0
194592,20061002,  200,    0
194592,20061003,  211,    0
194592,20061004,  173,    0
194592,20061005,  147,    0
194592,20061006,  151,    0
194592,20061007,  132,    0
194592,20061008,  144,    0
194592,20061009,  150,    0
194592,20061010,  153,    0
194592,20061011,  154,    0
194592,20061012,  148,    0
194592,20061013,  152,    0
194592,20061014,  143,    0
194592,20061015,  128,    0
194592,20061016,  136,    0
194592,20061017,  116,    0
194592,20061018,  114,    0
194592,20061019,  112,    0
194592,20061020,  108,    0
194592,20061021,  112,    0
194592,20061022,  123,    0
194592,20061023,  153,    0
194592,20061024,  195,    0
194592,20061025,  168,    0
194592,20061026,  159,    0
194592,20061027,  164,    0
194592,20061028,  167,    0
194592,20061029,  182,    0
194592,20061030,  161,    0
194592,20061031,  118,    0
194592,20061101,  128,    0
194592,20061102,   74,    0
194592,20061103,   63,    0
194592,20061104,   64,    0
194592,20061105,   83,    0
194592,20061106,  130,    0
194592,20061107,  124,    0
194592,20061108,  121,    0
194592,20061109,  122,    0
194592,20061110,  111,    0
194592,20061111,   83,    0
194592,20061112,  105,    0
194592,20061113,  103,    0
194592,20061114,  115,    0
194592,20061115,  114,    0
194592,20061116,  103,    0
194592,20061117,  117,    0
194592,20061118,  112,    0
194592,20061119,  109,    0
194592,20061120,   88,    0
194592,20061121,   78,    0
194592,20061122,   79,    0
194592,20061123,   95,    0
194592,20061124,   68,    0
194592,20061125,   67,    0
194592,20061126,  105,    0
194592,20061127,   83,    0
194592,20061128,   72,    0
194592,20061129,   68,    0
194592,20061130,   73,    0
194592,20061201,   76,    0
194592,20061202,   52,    0
194592,20061203,   63,    0
194592,20061204,   57,    0
194592,20061205,   63,    0
194592,20061206,   83,    0
194592,20061207,   77,    0
194592,20061208,  119,    0
194592,20061209,   91,    0
194592,20061210,   72,    0
194592,20061211,   44,    0
194592,20061212,   50,    0
194592,20061213,   55,    0
194592,20061214,   73,    0
194592,20061215,   73,    0
194592,20061216,   64,    0
194592,20061217,   41,    0
194592,20061218,   36,    0
194592,20061219,   25,    0
194592,20061220,   22,    0
194592,20061221,   23,    0
194592,20061222,   24,    0
194592,20061223,   21,    0
194592,20061224,   65,    0
194592,20061225,   84,    0
194592,20061226,   38,    0
194592,20061227,   19,    0
194592,20061228,   46,    0
194592,20061229,   41,    0
194592,20061230,   24,    0
194592,20061231,   57,    0
194592,20070101,   47,    0
194592,20070102,   67,    0
194592,20070103,   77,    0
194592,20070104,   75,    0
194592,20070105,   58,    0
194592,20070106,   72,    0
194592,20070107,   79,    0
194592,20070108,   55,    0
194592,20070109,   66,    0
194592,20070110,   82,    0
194592,20070111,   88,    0
194592,20070112,  136,    0
194592,20070113,  105,    0
194592,20070114,   79,    0
194592,20070115,   62,    0
194592,20070116,   43,    0
194592,20070117,   40,    0
194592,20070118,   65,    0
194592,20070119,  185,    0
194592,20070120,  137,    0
194592,20070121,   94,    0
194592,20070122,   74,    0
194592,20070123,   69,    0
194592,20070124,   22,    0
194592,20070125,    1,    0
194592,20070126,  -12,    0
194592,20070127,   31,    0
194592,20070128,   77,    0
194592,20070129,   77,    0
194592,20070130,   55,    0
194592,20070131,   59,    0
194592,20070201,   59,    0
194592,20070202,   43,    0
194592,20070203,   81,    0
194592,20070204,   40,    0
194592,20070205,   70,    0
194592,20070206,   69,    0
194592,20070207,   39,    0
194592,20070208,   42,    0
194592,20070209,   47,    0
194592,20070210,   57,    0
194592,20070211,   75,    0
194592,20070212,   58,    0
194592,20070213,  103,    0
194592,20070214,   92,    0
194592,20070215,   78,    0
194592,20070216,   78,    0
194592,20070217,   64,    0
194592,20070218,   36,    0
194592,20070219,   47,    0
194592,20070220,   61,    0
194592,20070221,   82,    0
194592,20070222,   84,    0
194592,20070223,   93,    0
194592,20070224,   89,    0
194592,20070225,   74,    0
194592,20070226,   86,    0
194592,20070227,  109,    0
194592,20070228,  105,    0
194592,20070301,  107,    0
194592,20070302,  132,    0
194592,20070303,  128,    0
194592,20070304,  137,    0
194592,20070305,  116,    0
194592,20070306,   99,    0
194592,20070307,   91,    0
194592,20070308,   86,    0
194592,20070309,   99,    0
194592,20070310,   86,    0
194592,20070311,   69,    0
194592,20070312,   85,    0
194592,20070313,  119,    0
194592,20070314,  138,    0
194592,20070315,  138,    0
194592,20070316,  136,    0
194592,20070317,  147,    0
194592,20070318,  128,    0
194592,20070319,   85,    0
194592,20070320,    3,    0
194592,20070321,   44,    0
194592,20070322,   39,    0
194592,20070323,   56,    0
194592,20070324,   59,    0
194592,20070325,   27,    0
194592,20070326,   43,    0
194592,20070327,   57,    0
194592,20070328,   73,    0
194592,20070329,   77,    0
194592,20070330,   48,    0
194592,20070331,   76,    0
194592,20070401,   77,    0
194592,20070402,   98,    0
194592,20070403,  113,    0
194592,20070404,   77,    0
194592,20070405,  101,    0
194592,20070406,  128,    0
194592,20070407,  145,    0
194592,20070408,  139,    0
194592,20070409,  151,    0
194592,20070410,  154,    0
194592,20070411,  166,    0
194592,20070412,  167,    0
194592,20070413,  156,    0
194592,20070414,  158,    0
194592,20070415,  175,    0
194592,20070416,  169,    0
194592,20070417,  163,    0
