EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CARPINETA (STAID: 17560).
Blended and updated with sources: 194624 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194624,20051201,-9999,    9
194624,20051202,-9999,    9
194624,20051203,-9999,    9
194624,20051204,-9999,    9
194624,20051205,-9999,    9
194624,20051206,-9999,    9
194624,20051207,-9999,    9
194624,20051208,-9999,    9
194624,20051209,-9999,    9
194624,20051210,-9999,    9
194624,20051211,-9999,    9
194624,20051212,-9999,    9
194624,20051213,-9999,    9
194624,20051214,-9999,    9
194624,20051215,-9999,    9
194624,20051216,-9999,    9
194624,20051217,-9999,    9
194624,20051218,-9999,    9
194624,20051219,-9999,    9
194624,20051220,-9999,    9
194624,20051221,-9999,    9
194624,20051222,-9999,    9
194624,20051223,-9999,    9
194624,20051224,-9999,    9
194624,20051225,-9999,    9
194624,20051226,-9999,    9
194624,20051227,-9999,    9
194624,20051228,-9999,    9
194624,20051229,-9999,    9
194624,20051230,-9999,    9
194624,20051231,    3,    0
194624,20060101,    0,    0
194624,20060102,   36,    0
194624,20060103,   46,    0
194624,20060104,   40,    0
194624,20060105,   35,    0
194624,20060106,   44,    0
194624,20060107,   51,    0
194624,20060108,   39,    0
194624,20060109,   21,    0
194624,20060110,   26,    0
194624,20060111,   41,    0
194624,20060112,   40,    0
194624,20060113,   29,    0
194624,20060114,   18,    0
194624,20060115,    7,    0
194624,20060116,    7,    0
194624,20060117,    0,    0
194624,20060118,    7,    0
194624,20060119,  -10,    0
194624,20060120,   -5,    0
194624,20060121,    4,    0
194624,20060122,   35,    0
194624,20060123,    6,    0
194624,20060124,  -11,    0
194624,20060125,  -18,    0
194624,20060126,   -1,    0
194624,20060127,   12,    0
194624,20060128,   37,    0
194624,20060129,   61,    0
194624,20060130,   63,    0
194624,20060131,   85,    0
194624,20060201,   88,    0
194624,20060202,   95,    0
194624,20060203,   80,    0
194624,20060204,   65,    0
194624,20060205,   29,    0
194624,20060206,    6,    0
194624,20060207,   14,    0
194624,20060208,   45,    0
194624,20060209,   39,    0
194624,20060210,   50,    0
194624,20060211,   57,    0
194624,20060212,   43,    0
194624,20060213,   36,    0
194624,20060214,   49,    0
194624,20060215,   82,    0
194624,20060216,   40,    0
194624,20060217,  104,    0
194624,20060218,  126,    0
194624,20060219,  124,    0
194624,20060220,  104,    0
194624,20060221,   64,    0
194624,20060222,   67,    0
194624,20060223,   68,    0
194624,20060224,   48,    0
194624,20060225,   43,    0
194624,20060226,   59,    0
194624,20060227,   47,    0
194624,20060228,   25,    0
194624,20060301,   34,    0
194624,20060302,   38,    0
194624,20060303,  101,    0
194624,20060304,  144,    0
194624,20060305,  124,    0
194624,20060306,   45,    0
194624,20060307,   49,    0
194624,20060308,   58,    0
