EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CARPINETI (STAID: 17561).
Blended and updated with sources: 194632 196944 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194632,20051201,-9999,    9
194632,20051202,-9999,    9
194632,20051203,-9999,    9
194632,20051204,-9999,    9
194632,20051205,-9999,    9
194632,20051206,-9999,    9
194632,20051207,-9999,    9
194632,20051208,-9999,    9
194632,20051209,-9999,    9
194632,20051210,-9999,    9
194632,20051211,-9999,    9
194632,20051212,-9999,    9
194632,20051213,-9999,    9
194632,20051214,-9999,    9
194632,20051215,-9999,    9
194632,20051216,-9999,    9
194632,20051217,-9999,    9
194632,20051218,-9999,    9
194632,20051219,-9999,    9
194632,20051220,-9999,    9
194632,20051221,-9999,    9
194632,20051222,-9999,    9
194632,20051223,-9999,    9
194632,20051224,-9999,    9
194632,20051225,-9999,    9
194632,20051226,-9999,    9
194632,20051227,-9999,    9
194632,20051228,-9999,    9
194632,20051229,-9999,    9
194632,20051230,-9999,    9
194632,20051231,  -21,    0
194632,20060101,  -23,    0
194632,20060102,   11,    0
194632,20060103,   30,    0
194632,20060104,   12,    0
194632,20060105,   -1,    0
194632,20060106,   12,    0
194632,20060107,   23,    0
194632,20060108,    2,    0
194632,20060109,  -12,    0
194632,20060110,    0,    0
194632,20060111,   27,    0
194632,20060112,   22,    0
194632,20060113,    3,    0
194632,20060114,    5,    0
194632,20060115,  -30,    0
194632,20060116,  -30,    0
194632,20060117,  -21,    0
194632,20060118,  -10,    0
194632,20060119,   35,    0
194632,20060120,   44,    0
194632,20060121,   40,    0
194632,20060122,   17,    0
194632,20060123,  -21,    0
194632,20060124,  -49,    0
194632,20060125,  -35,    0
194632,20060126,  -50,    0
194632,20060127,  -28,    0
194632,20060128,   13,    0
194632,20060129,   31,    0
194632,20060130,   36,    0
194632,20060131,   67,    0
194632,20060201,   84,    0
194632,20060202,   86,    0
194632,20060203,   58,    0
194632,20060204,   47,    0
194632,20060205,  -10,    0
194632,20060206,  -17,    0
194632,20060207,  -12,    0
194632,20060208,   13,    0
194632,20060209,   47,    0
194632,20060210,   30,    0
194632,20060211,   25,    0
194632,20060212,   17,    0
194632,20060213,   17,    0
194632,20060214,   29,    0
194632,20060215,   28,    0
194632,20060216,   21,    0
194632,20060217,   86,    0
194632,20060218,   86,    0
194632,20060219,   82,    0
194632,20060220,   56,    0
194632,20060221,   18,    0
194632,20060222,   29,    0
194632,20060223,   29,    0
194632,20060224,    2,    0
194632,20060225,    8,    0
194632,20060226,   31,    0
194632,20060227,    5,    0
194632,20060228,   -3,    0
194632,20060301,   11,    0
194632,20060302,    3,    0
194632,20060303,   65,    0
194632,20060304,   99,    0
194632,20060305,   78,    0
194632,20060306,    9,    0
194632,20060307,   17,    0
194632,20060308,   29,    0
194632,20060309,   54,    0
194632,20060310,   50,    0
194632,20060311,   26,    0
194632,20060312,    1,    0
194632,20060313,   11,    0
194632,20060314,   34,    0
194632,20060315,   41,    0
194632,20060316,   12,    0
194632,20060317,   37,    0
194632,20060318,   38,    0
194632,20060319,   40,    0
194632,20060320,   65,    0
194632,20060321,   54,    0
194632,20060322,   54,    0
194632,20060323,   85,    0
194632,20060324,   67,    0
194632,20060325,   76,    0
194632,20060326,  110,    0
194632,20060327,  116,    0
194632,20060328,  120,    0
194632,20060329,  118,    0
194632,20060330,  113,    0
194632,20060331,  133,    0
194632,20060401,  112,    0
194632,20060402,  115,    0
194632,20060403,  122,    0
194632,20060404,  106,    0
194632,20060405,  101,    0
194632,20060406,   43,    0
194632,20060407,   53,    0
194632,20060408,   84,    0
194632,20060409,  105,    0
194632,20060410,  105,    0
194632,20060411,   50,    0
194632,20060412,   81,    0
194632,20060413,  104,    0
194632,20060414,  145,    0
194632,20060415,  121,    0
194632,20060416,  133,    0
194632,20060417,  118,    0
194632,20060418,   99,    0
194632,20060419,  116,    0
194632,20060420,  129,    0
194632,20060421,  140,    0
194632,20060422,  159,    0
194632,20060423,  170,    0
194632,20060424,  168,    0
194632,20060425,  147,    0
194632,20060426,  139,    0
194632,20060427,  128,    0
194632,20060428,  116,    0
194632,20060429,  122,    0
194632,20060430,   77,    0
194632,20060501,  106,    0
194632,20060502,  126,    0
194632,20060503,  138,    0
194632,20060504,  141,    0
194632,20060505,  127,    0
194632,20060506,  134,    0
194632,20060507,  141,    0
194632,20060508,  139,    0
194632,20060509,   92,    0
194632,20060510,  119,    0
194632,20060511,  131,    0
194632,20060512,  165,    0
194632,20060513,  164,    0
194632,20060514,  146,    0
194632,20060515,  170,    0
194632,20060516,  186,    0
194632,20060517,  201,    0
194632,20060518,  207,    0
194632,20060519,  196,    0
194632,20060520,  172,    0
194632,20060521,  177,    0
194632,20060522,  199,    0
194632,20060523,  176,    0
194632,20060524,  147,    0
194632,20060525,  154,    0
194632,20060526,  183,    0
194632,20060527,  227,    0
194632,20060528,  233,    0
194632,20060529,  174,    0
194632,20060530,   95,    0
194632,20060531,  100,    0
194632,20060601,  114,    0
194632,20060602,   86,    0
194632,20060603,  131,    0
194632,20060604,  165,    0
194632,20060605,  151,    0
194632,20060606,  142,    0
194632,20060607,  142,    0
194632,20060608,  159,    0
194632,20060609,  157,    0
194632,20060610,  187,    0
194632,20060611,  166,    0
194632,20060612,  174,    0
194632,20060613,  210,    0
194632,20060614,  228,    0
194632,20060615,  236,    0
194632,20060616,  222,    0
194632,20060617,  228,    0
194632,20060618,  229,    0
194632,20060619,  233,    0
194632,20060620,  238,    0
194632,20060621,  251,    0
194632,20060622,  254,    0
194632,20060623,  251,    0
194632,20060624,  250,    0
194632,20060625,  242,    0
194632,20060626,  255,    0
194632,20060627,  264,    0
194632,20060628,  263,    0
194632,20060629,  232,    0
194632,20060630,  246,    0
194632,20060701,  247,    0
194632,20060702,  222,    0
194632,20060703,  231,    0
194632,20060704,  222,    0
194632,20060705,  229,    0
194632,20060706,  208,    0
194632,20060707,  174,    0
194632,20060708,  201,    0
194632,20060709,  232,    0
194632,20060710,  246,    0
194632,20060711,  252,    0
194632,20060712,  261,    0
194632,20060713,  238,    0
194632,20060714,  247,    0
194632,20060715,  249,    0
194632,20060716,  229,    0
194632,20060717,  221,    0
194632,20060718,  230,    0
194632,20060719,  247,    0
194632,20060720,  273,    0
194632,20060721,  284,    0
194632,20060722,  284,    0
194632,20060723,  270,    0
194632,20060724,  260,    0
194632,20060725,  268,    0
194632,20060726,  259,    0
194632,20060727,  249,    0
194632,20060728,  260,    0
194632,20060729,  225,    0
194632,20060730,  253,    0
194632,20060731,  263,    0
194632,20060801,  249,    0
194632,20060802,  200,    0
194632,20060803,  168,    0
194632,20060804,  185,    0
194632,20060805,  190,    0
194632,20060806,  207,    0
194632,20060807,  227,    0
194632,20060808,  219,    0
194632,20060809,  202,    0
194632,20060810,  190,    0
194632,20060811,  164,    0
194632,20060812,  137,    0
194632,20060813,  153,    0
194632,20060814,  160,    0
194632,20060815,  190,    0
194632,20060816,  173,    0
194632,20060817,  205,    0
194632,20060818,  225,    0
194632,20060819,  195,    0
194632,20060820,  214,    0
194632,20060821,  200,    0
194632,20060822,  210,    0
194632,20060823,  212,    0
194632,20060824,  207,    0
194632,20060825,  187,    0
194632,20060826,  178,    0
194632,20060827,  182,    0
194632,20060828,  194,    0
194632,20060829,  196,    0
194632,20060830,  161,    0
194632,20060831,  176,    0
194632,20060901,  193,    0
194632,20060902,  204,    0
194632,20060903,  215,    0
194632,20060904,  243,    0
194632,20060905,  246,    0
194632,20060906,  248,    0
194632,20060907,  247,    0
194632,20060908,  212,    0
194632,20060909,  180,    0
194632,20060910,  177,    0
194632,20060911,  185,    0
194632,20060912,  184,    0
194632,20060913,  187,    0
194632,20060914,  169,    0
194632,20060915,  191,    0
194632,20060916,  162,    0
194632,20060917,  138,    0
194632,20060918,  175,    0
194632,20060919,  181,    0
194632,20060920,  190,    0
194632,20060921,  189,    0
194632,20060922,  193,    0
194632,20060923,  178,    0
194632,20060924,  165,    0
194632,20060925,  142,    0
194632,20060926,  144,    0
194632,20060927,  170,    0
194632,20060928,  178,    0
194632,20060929,  184,    0
194632,20060930,  183,    0
194632,20061001,  187,    0
194632,20061002,  191,    0
194632,20061003,  205,    0
194632,20061004,  168,    0
194632,20061005,  134,    0
194632,20061006,  138,    0
194632,20061007,  126,    0
194632,20061008,  130,    0
194632,20061009,  138,    0
194632,20061010,  142,    0
194632,20061011,  144,    0
194632,20061012,  139,    0
194632,20061013,  144,    0
194632,20061014,  136,    0
194632,20061015,  116,    0
194632,20061016,  125,    0
194632,20061017,  105,    0
194632,20061018,  106,    0
194632,20061019,  107,    0
194632,20061020,  107,    0
194632,20061021,  113,    0
194632,20061022,  122,    0
194632,20061023,  161,    0
194632,20061024,  190,    0
194632,20061025,  158,    0
194632,20061026,  152,    0
194632,20061027,  160,    0
194632,20061028,  162,    0
194632,20061029,  178,    0
194632,20061030,  154,    0
194632,20061031,  117,    0
194632,20061101,  122,    0
194632,20061102,   64,    0
194632,20061103,   53,    0
194632,20061104,   57,    0
194632,20061105,   87,    0
194632,20061106,  132,    0
194632,20061107,  122,    0
194632,20061108,  115,    0
194632,20061109,  119,    0
194632,20061110,  109,    0
194632,20061111,   75,    0
194632,20061112,  107,    0
194632,20061113,   98,    0
194632,20061114,  111,    0
194632,20061115,  113,    0
194632,20061116,  102,    0
194632,20061117,  132,    0
194632,20061118,  112,    0
194632,20061119,  103,    0
194632,20061120,   86,    0
194632,20061121,   76,    0
194632,20061122,   72,    0
194632,20061123,   87,    0
194632,20061124,   70,    0
194632,20061125,   80,    0
194632,20061126,  107,    0
194632,20061127,   80,    0
194632,20061128,   66,    0
194632,20061129,   56,    0
194632,20061130,   67,    0
194632,20061201,   67,    0
194632,20061202,   55,    0
194632,20061203,   73,    0
194632,20061204,   58,    0
194632,20061205,   63,    0
194632,20061206,  110,    0
194632,20061207,   79,    0
194632,20061208,  113,    0
194632,20061209,   84,    0
194632,20061210,   65,    0
194632,20061211,   42,    0
194632,20061212,   41,    0
194632,20061213,   52,    0
194632,20061214,   67,    0
194632,20061215,   73,    0
194632,20061216,   64,    0
194632,20061217,   40,    0
194632,20061218,   35,    0
194632,20061219,   17,    0
194632,20061220,   11,    0
194632,20061221,   14,    0
194632,20061222,   19,    0
194632,20061223,   17,    0
194632,20061224,   48,    0
194632,20061225,   77,    0
194632,20061226,   34,    0
194632,20061227,   23,    0
194632,20061228,   38,    0
194632,20061229,   39,    0
194632,20061230,   37,    0
194632,20061231,   55,    0
194632,20070101,   55,    0
194632,20070102,   66,    0
194632,20070103,   66,    0
194632,20070104,   73,    0
194632,20070105,   59,    0
194632,20070106,   66,    0
194632,20070107,   72,    0
194632,20070108,   55,    0
194632,20070109,   58,    0
194632,20070110,   85,    0
194632,20070111,  102,    0
194632,20070112,  132,    0
194632,20070113,  109,    0
194632,20070114,   75,    0
194632,20070115,   64,    0
194632,20070116,   53,    0
194632,20070117,   49,    0
194632,20070118,   91,    0
194632,20070119,  190,    0
194632,20070120,  143,    0
194632,20070121,   96,    0
194632,20070122,   80,    0
194632,20070123,   82,    0
194632,20070124,   16,    0
194632,20070125,    0,    0
194632,20070126,  -13,    0
194632,20070127,   20,    0
194632,20070128,   75,    0
194632,20070129,   74,    0
