EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASALPORINO (STAID: 17564).
Blended and updated with sources: 194656 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194656,20051201,-9999,    9
194656,20051202,-9999,    9
194656,20051203,-9999,    9
194656,20051204,-9999,    9
194656,20051205,-9999,    9
194656,20051206,-9999,    9
194656,20051207,-9999,    9
194656,20051208,-9999,    9
194656,20051209,-9999,    9
194656,20051210,-9999,    9
194656,20051211,-9999,    9
194656,20051212,-9999,    9
194656,20051213,-9999,    9
194656,20051214,-9999,    9
194656,20051215,-9999,    9
194656,20051216,-9999,    9
194656,20051217,-9999,    9
194656,20051218,-9999,    9
194656,20051219,-9999,    9
194656,20051220,-9999,    9
194656,20051221,-9999,    9
194656,20051222,-9999,    9
194656,20051223,-9999,    9
194656,20051224,-9999,    9
194656,20051225,-9999,    9
194656,20051226,-9999,    9
194656,20051227,-9999,    9
194656,20051228,-9999,    9
194656,20051229,-9999,    9
194656,20051230,-9999,    9
194656,20051231,  -21,    0
194656,20060101,  -23,    0
194656,20060102,   -4,    0
194656,20060103,    7,    0
194656,20060104,   -9,    0
194656,20060105,  -21,    0
194656,20060106,   -8,    0
194656,20060107,    1,    0
194656,20060108,  -14,    0
194656,20060109,  -33,    0
194656,20060110,  -10,    0
194656,20060111,    3,    0
194656,20060112,    5,    0
194656,20060113,  -14,    0
194656,20060114,    0,    0
194656,20060115,  -45,    0
