EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASASELVATICA (STAID: 17565).
Blended and updated with sources: 194664 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194664,20051201,-9999,    9
194664,20051202,-9999,    9
194664,20051203,-9999,    9
194664,20051204,-9999,    9
194664,20051205,-9999,    9
194664,20051206,-9999,    9
194664,20051207,-9999,    9
194664,20051208,-9999,    9
194664,20051209,-9999,    9
194664,20051210,-9999,    9
194664,20051211,-9999,    9
194664,20051212,-9999,    9
194664,20051213,-9999,    9
194664,20051214,-9999,    9
194664,20051215,-9999,    9
194664,20051216,-9999,    9
194664,20051217,-9999,    9
194664,20051218,-9999,    9
194664,20051219,-9999,    9
194664,20051220,-9999,    9
194664,20051221,-9999,    9
194664,20051222,-9999,    9
194664,20051223,-9999,    9
194664,20051224,-9999,    9
194664,20051225,-9999,    9
194664,20051226,-9999,    9
194664,20051227,-9999,    9
194664,20051228,-9999,    9
194664,20051229,-9999,    9
194664,20051230,-9999,    9
194664,20051231,  -37,    0
194664,20060101,  -31,    0
194664,20060102,   -4,    0
194664,20060103,   15,    0
194664,20060104,    2,    0
194664,20060105,  -17,    0
194664,20060106,  -10,    0
194664,20060107,    0,    0
194664,20060108,  -11,    0
194664,20060109,  -33,    0
194664,20060110,  -28,    0
194664,20060111,   -9,    0
194664,20060112,    3,    0
194664,20060113,  -25,    0
194664,20060114,  -28,    0
194664,20060115,  -53,    0
194664,20060116,  -45,    0
194664,20060117,  -13,    0
194664,20060118,   38,    0
194664,20060119,   29,    0
194664,20060120,   37,    0
194664,20060121,   40,    0
194664,20060122,   10,    0
194664,20060123,  -27,    0
194664,20060124,  -50,    0
194664,20060125,  -48,    0
194664,20060126,  -65,    0
194664,20060127,  -48,    0
194664,20060128,    0,    0
194664,20060129,   22,    0
194664,20060130,   36,    0
194664,20060131,   47,    0
