EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASONI_DI_ROMAGNA (STAID: 17569).
Blended and updated with sources: 194704 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194704,20051201,-9999,    9
194704,20051202,-9999,    9
194704,20051203,-9999,    9
194704,20051204,-9999,    9
194704,20051205,-9999,    9
194704,20051206,-9999,    9
194704,20051207,-9999,    9
194704,20051208,-9999,    9
194704,20051209,-9999,    9
194704,20051210,-9999,    9
194704,20051211,-9999,    9
194704,20051212,-9999,    9
194704,20051213,-9999,    9
194704,20051214,-9999,    9
194704,20051215,-9999,    9
194704,20051216,-9999,    9
194704,20051217,-9999,    9
194704,20051218,-9999,    9
194704,20051219,-9999,    9
194704,20051220,-9999,    9
194704,20051221,-9999,    9
194704,20051222,-9999,    9
194704,20051223,-9999,    9
194704,20051224,-9999,    9
194704,20051225,-9999,    9
194704,20051226,-9999,    9
194704,20051227,-9999,    9
194704,20051228,-9999,    9
194704,20051229,-9999,    9
194704,20051230,-9999,    9
194704,20051231,   -9,    0
194704,20060101,  -19,    0
194704,20060102,    3,    0
194704,20060103,   10,    0
194704,20060104,   -6,    0
194704,20060105,  -12,    0
194704,20060106,    1,    0
194704,20060107,    9,    0
194704,20060108,   -2,    0
194704,20060109,  -23,    0
194704,20060110,  -12,    0
194704,20060111,   15,    0
194704,20060112,    9,    0
194704,20060113,  -11,    0
194704,20060114,  -10,    0
194704,20060115,  -29,    0
194704,20060116,  -34,    0
194704,20060117,   -3,    0
194704,20060118,   27,    0
194704,20060119,   48,    0
194704,20060120,   55,    0
194704,20060121,   43,    0
194704,20060122,    2,    0
194704,20060123,  -35,    0
