EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASSIMORENO (STAID: 17572).
Blended and updated with sources: 194728 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194728,20051201,-9999,    9
194728,20051202,-9999,    9
194728,20051203,-9999,    9
194728,20051204,-9999,    9
194728,20051205,-9999,    9
194728,20051206,-9999,    9
194728,20051207,-9999,    9
194728,20051208,-9999,    9
194728,20051209,-9999,    9
194728,20051210,-9999,    9
194728,20051211,-9999,    9
194728,20051212,-9999,    9
194728,20051213,-9999,    9
194728,20051214,-9999,    9
194728,20051215,-9999,    9
194728,20051216,-9999,    9
194728,20051217,-9999,    9
194728,20051218,-9999,    9
194728,20051219,-9999,    9
194728,20051220,-9999,    9
194728,20051221,-9999,    9
194728,20051222,-9999,    9
194728,20051223,-9999,    9
194728,20051224,-9999,    9
194728,20051225,-9999,    9
194728,20051226,-9999,    9
194728,20051227,-9999,    9
194728,20051228,-9999,    9
194728,20051229,-9999,    9
194728,20051230,-9999,    9
194728,20051231,  -39,    0
194728,20060101,  -32,    0
194728,20060102,    0,    0
194728,20060103,    9,    0
194728,20060104,   -8,    0
194728,20060105,  -15,    0
194728,20060106,   -4,    0
194728,20060107,    4,    0
194728,20060108,  -12,    0
194728,20060109,  -28,    0
194728,20060110,  -10,    0
194728,20060111,    3,    0
194728,20060112,    6,    0
194728,20060113,  -13,    0
194728,20060114,   -6,    0
194728,20060115,  -38,    0
194728,20060116,  -44,    0
194728,20060117,  -18,    0
194728,20060118,   42,    0
194728,20060119,   41,    0
194728,20060120,   38,    0
194728,20060121,   38,    0
194728,20060122,   17,    0
194728,20060123,  -25,    0
194728,20060124,  -57,    0
194728,20060125,  -43,    0
194728,20060126,  -64,    0
194728,20060127,  -48,    0
194728,20060128,    2,    0
194728,20060129,   25,    0
194728,20060130,   29,    0
194728,20060131,   60,    0
194728,20060201,   76,    0
194728,20060202,   72,    0
194728,20060203,   36,    0
194728,20060204,   26,    0
194728,20060205,  -20,    0
194728,20060206,  -37,    0
194728,20060207,   -9,    0
194728,20060208,   23,    0
194728,20060209,   31,    0
194728,20060210,    1,    0
194728,20060211,    0,    0
194728,20060212,   -6,    0
194728,20060213,   -5,    0
194728,20060214,   14,    0
194728,20060215,   30,    0
194728,20060216,   41,    0
194728,20060217,   73,    0
194728,20060218,   53,    0
194728,20060219,   44,    0
194728,20060220,   33,    0
194728,20060221,    4,    0
194728,20060222,   11,    0
194728,20060223,   12,    0
194728,20060224,   -6,    0
194728,20060225,   -6,    0
194728,20060226,   16,    0
194728,20060227,   -1,    0
194728,20060228,  -14,    0
194728,20060301,   -7,    0
194728,20060302,   -7,    0
194728,20060303,   51,    0
194728,20060304,   74,    0
194728,20060305,   61,    0
194728,20060306,    0,    0
194728,20060307,   -1,    0
194728,20060308,    9,    0
194728,20060309,   47,    0
194728,20060310,   54,    0
194728,20060311,   24,    0
194728,20060312,  -10,    0
194728,20060313,    0,    0
194728,20060314,   29,    0
194728,20060315,   24,    0
194728,20060316,    9,    0
194728,20060317,   23,    0
194728,20060318,   23,    0
194728,20060319,   29,    0
194728,20060320,   49,    0
194728,20060321,   39,    0
194728,20060322,   43,    0
194728,20060323,   70,    0
194728,20060324,   51,    0
194728,20060325,   60,    0
194728,20060326,   93,    0
194728,20060327,   90,    0
194728,20060328,   92,    0
194728,20060329,   96,    0
194728,20060330,   79,    0
194728,20060331,  103,    0
194728,20060401,   90,    0
194728,20060402,  106,    0
194728,20060403,  116,    0
194728,20060404,   90,    0
194728,20060405,   66,    0
194728,20060406,   27,    0
194728,20060407,   39,    0
194728,20060408,   64,    0
194728,20060409,   79,    0
194728,20060410,   85,    0
194728,20060411,   30,    0
194728,20060412,   66,    0
194728,20060413,   89,    0
194728,20060414,  118,    0
194728,20060415,   95,    0
194728,20060416,  112,    0
194728,20060417,   95,    0
194728,20060418,   79,    0
194728,20060419,  106,    0
194728,20060420,   99,    0
194728,20060421,  104,    0
194728,20060422,  133,    0
194728,20060423,  140,    0
194728,20060424,  141,    0
194728,20060425,  125,    0
194728,20060426,  113,    0
194728,20060427,  116,    0
194728,20060428,   99,    0
194728,20060429,  110,    0
194728,20060430,   80,    0
194728,20060501,   91,    0
194728,20060502,  103,    0
194728,20060503,  115,    0
194728,20060504,  127,    0
194728,20060505,  110,    0
194728,20060506,  111,    0
194728,20060507,  117,    0
194728,20060508,  123,    0
194728,20060509,   71,    0
194728,20060510,   97,    0
194728,20060511,  107,    0
194728,20060512,  139,    0
194728,20060513,  137,    0
194728,20060514,  144,    0
194728,20060515,  154,    0
194728,20060516,  163,    0
194728,20060517,  181,    0
194728,20060518,  182,    0
194728,20060519,  173,    0
194728,20060520,  146,    0
194728,20060521,  152,    0
194728,20060522,  170,    0
194728,20060523,  148,    0
194728,20060524,  132,    0
194728,20060525,  137,    0
194728,20060526,  168,    0
194728,20060527,  210,    0
194728,20060528,  208,    0
194728,20060529,  180,    0
194728,20060530,  110,    0
194728,20060531,   73,    0
194728,20060601,   98,    0
194728,20060602,   79,    0
194728,20060603,  127,    0
194728,20060604,  145,    0
194728,20060605,  139,    0
194728,20060606,  131,    0
194728,20060607,  124,    0
194728,20060608,  140,    0
194728,20060609,  138,    0
194728,20060610,  165,    0
194728,20060611,  154,    0
194728,20060612,  159,    0
194728,20060613,  191,    0
194728,20060614,  205,    0
194728,20060615,  206,    0
194728,20060616,  194,    0
194728,20060617,  207,    0
194728,20060618,  210,    0
194728,20060619,  211,    0
194728,20060620,  225,    0
194728,20060621,  238,    0
194728,20060622,  233,    0
194728,20060623,  231,    0
194728,20060624,  224,    0
194728,20060625,  224,    0
194728,20060626,  230,    0
194728,20060627,  240,    0
194728,20060628,  235,    0
194728,20060629,  220,    0
194728,20060630,  235,    0
194728,20060701,  236,    0
194728,20060702,  217,    0
194728,20060703,  216,    0
194728,20060704,  211,    0
194728,20060705,  209,    0
194728,20060706,  192,    0
194728,20060707,  163,    0
194728,20060708,  190,    0
194728,20060709,  209,    0
194728,20060710,  222,    0
194728,20060711,  242,    0
194728,20060712,  238,    0
194728,20060713,  210,    0
194728,20060714,  224,    0
194728,20060715,  225,    0
194728,20060716,  225,    0
194728,20060717,  212,    0
194728,20060718,  216,    0
194728,20060719,  229,    0
194728,20060720,  253,    0
194728,20060721,  261,    0
194728,20060722,  252,    0
194728,20060723,  239,    0
194728,20060724,  243,    0
194728,20060725,  237,    0
194728,20060726,  224,    0
194728,20060727,  237,    0
194728,20060728,  225,    0
194728,20060729,  200,    0
194728,20060730,  232,    0
194728,20060731,  246,    0
194728,20060801,  226,    0
194728,20060802,  200,    0
194728,20060803,  168,    0
194728,20060804,  174,    0
194728,20060805,  168,    0
194728,20060806,  188,    0
194728,20060807,  202,    0
194728,20060808,  201,    0
194728,20060809,  171,    0
194728,20060810,  170,    0
194728,20060811,  160,    0
194728,20060812,  128,    0
194728,20060813,  135,    0
194728,20060814,  135,    0
194728,20060815,  158,    0
194728,20060816,  149,    0
194728,20060817,  187,    0
194728,20060818,  194,    0
194728,20060819,  179,    0
194728,20060820,  188,    0
194728,20060821,  183,    0
194728,20060822,  194,    0
194728,20060823,  188,    0
194728,20060824,  178,    0
194728,20060825,  164,    0
194728,20060826,  164,    0
194728,20060827,  169,    0
194728,20060828,  167,    0
194728,20060829,  167,    0
194728,20060830,  143,    0
194728,20060831,  156,    0
194728,20060901,  168,    0
194728,20060902,  174,    0
194728,20060903,  196,    0
194728,20060904,  223,    0
194728,20060905,  236,    0
194728,20060906,  224,    0
194728,20060907,  221,    0
194728,20060908,  191,    0
194728,20060909,  167,    0
194728,20060910,  161,    0
194728,20060911,  167,    0
194728,20060912,  162,    0
194728,20060913,  158,    0
194728,20060914,  148,    0
194728,20060915,  159,    0
194728,20060916,  145,    0
194728,20060917,  130,    0
194728,20060918,  158,    0
194728,20060919,  167,    0
194728,20060920,  168,    0
194728,20060921,  165,    0
194728,20060922,  172,    0
194728,20060923,  164,    0
194728,20060924,  142,    0
194728,20060925,  126,    0
194728,20060926,  130,    0
194728,20060927,  153,    0
194728,20060928,  156,    0
194728,20060929,  155,    0
194728,20060930,  149,    0
194728,20061001,  164,    0
194728,20061002,  160,    0
194728,20061003,  172,    0
194728,20061004,  133,    0
194728,20061005,  111,    0
194728,20061006,  118,    0
194728,20061007,  106,    0
194728,20061008,  116,    0
194728,20061009,  118,    0
194728,20061010,  122,    0
194728,20061011,  122,    0
194728,20061012,  125,    0
194728,20061013,  129,    0
194728,20061014,  123,    0
194728,20061015,   97,    0
194728,20061016,  107,    0
194728,20061017,   86,    0
194728,20061018,   89,    0
194728,20061019,   88,    0
194728,20061020,   89,    0
194728,20061021,   94,    0
194728,20061022,  108,    0
194728,20061023,  136,    0
194728,20061024,  157,    0
194728,20061025,  131,    0
194728,20061026,  128,    0
194728,20061027,  148,    0
194728,20061028,  158,    0
194728,20061029,  182,    0
194728,20061030,  143,    0
194728,20061031,  104,    0
194728,20061101,  118,    0
194728,20061102,   39,    0
194728,20061103,   27,    0
194728,20061104,   39,    0
194728,20061105,   80,    0
194728,20061106,  114,    0
194728,20061107,  112,    0
194728,20061108,  101,    0
194728,20061109,  110,    0
194728,20061110,   98,    0
194728,20061111,   73,    0
194728,20061112,  110,    0
194728,20061113,   99,    0
194728,20061114,  110,    0
194728,20061115,   98,    0
194728,20061116,   97,    0
194728,20061117,  115,    0
194728,20061118,   89,    0
194728,20061119,   83,    0
194728,20061120,   73,    0
194728,20061121,   56,    0
194728,20061122,   54,    0
194728,20061123,   78,    0
194728,20061124,   50,    0
194728,20061125,   89,    0
194728,20061126,  100,    0
194728,20061127,   65,    0
194728,20061128,   44,    0
194728,20061129,   44,    0
194728,20061130,   45,    0
194728,20061201,   51,    0
194728,20061202,   42,    0
194728,20061203,   60,    0
194728,20061204,   64,    0
194728,20061205,   96,    0
194728,20061206,   97,    0
194728,20061207,   76,    0
194728,20061208,   86,    0
194728,20061209,   59,    0
194728,20061210,   38,    0
194728,20061211,   15,    0
194728,20061212,   26,    0
194728,20061213,   31,    0
194728,20061214,   53,    0
194728,20061215,   67,    0
194728,20061216,   66,    0
194728,20061217,   34,    0
194728,20061218,   17,    0
194728,20061219,    3,    0
194728,20061220,   -2,    0
194728,20061221,    1,    0
194728,20061222,    0,    0
194728,20061223,   -6,    0
194728,20061224,   37,    0
194728,20061225,   69,    0
194728,20061226,   32,    0
194728,20061227,   14,    0
194728,20061228,   38,    0
194728,20061229,   38,    0
194728,20061230,   36,    0
194728,20061231,   73,    0
194728,20070101,  105,    0
194728,20070102,   52,    0
194728,20070103,   45,    0
194728,20070104,   52,    0
194728,20070105,   52,    0
194728,20070106,   59,    0
194728,20070107,   59,    0
194728,20070108,   46,    0
194728,20070109,   59,    0
194728,20070110,   68,    0
194728,20070111,   77,    0
194728,20070112,  119,    0
194728,20070113,  116,    0
194728,20070114,   70,    0
194728,20070115,   46,    0
194728,20070116,   58,    0
194728,20070117,   44,    0
194728,20070118,   74,    0
194728,20070119,  161,    0
194728,20070120,  132,    0
194728,20070121,   83,    0
194728,20070122,   79,    0
194728,20070123,   60,    0
194728,20070124,    0,    0
194728,20070125,  -24,    0
194728,20070126,  -35,    0
194728,20070127,    4,    0
194728,20070128,   45,    0
194728,20070129,   54,    0
194728,20070130,   50,    0
194728,20070131,   43,    0
194728,20070201,   61,    0
194728,20070202,   37,    0
194728,20070203,   81,    0
194728,20070204,   39,    0
194728,20070205,   57,    0
194728,20070206,   44,    0
194728,20070207,   20,    0
194728,20070208,   33,    0
194728,20070209,   29,    0
194728,20070210,   35,    0
194728,20070211,   58,    0
194728,20070212,   49,    0
194728,20070213,   73,    0
194728,20070214,   51,    0
194728,20070215,   66,    0
194728,20070216,   70,    0
194728,20070217,   33,    0
194728,20070218,   13,    0
194728,20070219,   16,    0
194728,20070220,   34,    0
194728,20070221,   60,    0
194728,20070222,   60,    0
194728,20070223,   60,    0
194728,20070224,   56,    0
194728,20070225,   54,    0
